863  945  SP2_SP3  N  3:  2:1:1:  P-3_2_2  O-3_0:O-3:O-3  665_6448_0  694_3198_0  1.4885  0.0189  4  1.4885  0.0189  4  
863  945  SP2_SP3  N  3:  2:2:1:  P-3_3_2  O-3:O-6_3:O-6_3  665_6448_0  694_3207_0  1.5068  0.0000  1  1.5068  0.0000  1  
863  945  SP2_SP3  N  3:  2:2:1:  P-3_3_2  O-3_3:O-3_3:O-3  665_6448_0  694_3045_0  1.4653  0.0000  1  1.4653  0.0000  1  
863  945  SP2_SP3  N  3:  3:2:1:  P-3_2_2  C[6a]-3_2_2:O-3_3:O-3  665_6300_0  694_1406_0  1.4658  0.0000  1  1.4658  0.0000  1  
863  945  SP2_SP3  N  3:  3:3:1:  P-2_2_2  C[6a]-3_2_2:C[6a]-3_2_2:O-3  665_6169_0  694_2319_0  1.5181  0.0000  1  1.5181  0.0000  1  
863  945  SP2_SP3  N  3:  3:4:1:  P-3_2_2  C-3_3_3_3:C[5a]-3_2_2:O-3  665_6130_0  694_1037_0  1.4871  0.0000  1  1.4871  0.0000  1  
863  945  SP2_SP3  N  3:  3:4:1:  P-3_2_2  C-3_3_3_3:C[5a]-3_2_2:O-3  665_6130_0  694_1078_0  1.4830  0.0000  1  1.4830  0.0000  1  
863  945  SP2_SP3  N  3:  4:3:1:  P-3_2_2  C[5]-10_3_3_3:C[6a]-3_2_2:O-3  665_6255_0  694_866_0  1.4974  0.0095  2  1.4974  0.0095  2  
863  952  SP2_SP3  N  4:  1:1:1:1:  S-2_2_0_0  Cl-3:F-3:O-3:O-3  665_6911_0  749_2237_0  1.4217  0.0147  4  1.4217  0.0147  4  
863  952  SP2_SP3  N  4:  1:1:1:1:  S-2_2_0_0  F-3:F-3:O-3:O-3  665_6915_0  749_2240_0  1.4150  0.0007  2  1.4150  0.0007  2  
863  952  SP2_SP3  N  4:  1:1:1:1:  S-2_2_2_0  F-3:O-3:O-3:O-3  665_6917_0  749_2239_0  1.4510  0.0602  6  1.4510  0.0602  6  
863  952  SP2_SP3  N  4:  1:1:1:1:  S-2_2_2_0  O-3:O-3:O-3:S-3  665_6953_0  749_2604_0  1.4779  0.0100  42  1.4779  0.0100  42  
863  952  SP2_SP3  N  4:  1:1:1:1:  S-2_2_2_2  O-3:O-3:O-3:O-3  665_6947_0  749_2605_0  1.4700  0.0177  1506  1.4700  0.0177  1506  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_0_0  F-3:F-3:N-3_2:O-3  665_6914_0  749_2301_0  1.3882  0.0016  3  1.3882  0.0016  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_0  F-3:N-3_2:O-3:O-3  665_6916_0  749_2415_0  1.4074  0.0052  2  1.4074  0.0052  2  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_0  F-3:N-3_3:O-3:O-3  665_6916_0  749_2425_0  1.4145  0.0191  12  1.4145  0.0191  12  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_0  F-3:O-3_2:O-3:O-3  665_6917_0  749_2649_0  1.4171  0.0235  4  1.4171  0.0235  4  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_1  C-3_0:O-3:O-3:O-3  665_6768_0  749_516_0  1.4359  0.0437  9  1.4359  0.0437  9  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_1  C-3_1:O-3:O-3:O-3  665_6768_0  749_74_0  1.4458  0.0026  3  1.4458  0.0026  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_2  N-3_2:O-3:O-3:O-3  665_6922_0  749_2379_0  1.4289  0.0199  3  1.4289  0.0199  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_2  N-3_3:O-3:O-3:O-3  665_6922_0  749_2359_0  1.4567  0.0075  3  1.4567  0.0075  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_2  O-3:O-3:O-3:S-3_2  665_6953_0  749_2897_0  1.4404  0.0097  20  1.4404  0.0097  20  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-2_2_2_2  O-3_2:O-3:O-3:O-3  665_6947_0  749_2654_0  1.4320  0.0059  14  1.4320  0.0059  14  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_0  Cl-3:O-3_3:O-3:O-3  665_6913_0  749_2640_0  1.3868  0.0105  2  1.3868  0.0105  2  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:O-5_3  665_6947_0  749_2659_0  1.4714  0.0163  3  1.4714  0.0163  3  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:O-5_3  665_6947_0  749_2661_0  1.4642  0.0146  33  1.4642  0.0146  33  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:O-6_3  665_6947_0  749_2658_0  1.4751  0.0088  6  1.4751  0.0088  6  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:O-6_3  665_6947_0  749_2673_0  1.4688  0.0106  12  1.4688  0.0106  12  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:O-6_3  665_6947_0  749_2674_0  1.4648  0.0110  24  1.4648  0.0110  24  
863  952  SP2_SP3  N  4:  2:1:1:1:  S-3_2_2_2  O-3:O-3:O-3:O-6_3  665_6947_0  749_2682_0  1.4756  0.0129  15  1.4756  0.0129  15  
