727    930     SP2_SP2    N    2:2:3:    3:3:2:    C-2_2_2:N[5a]-2_2:O[5a]-2_2     C[5a]-2_2_2:C[6a]-2_2_2:N-2_2     C[5a](N[5a]N[5a])(O[5a]C[5a])(CC[6a]N)    C(C[5a]N[5a]O[5a])(C[6a]C[6a]2)(NO)     C[5a](N[5a]N[5a])(O[5a]C[5a])(CC[6a]N){1|N<3>}    C(C[5a]N[5a]O[5a])(C[6a]C[6a]2)(NO)   1.4567    0.0000    1     1.4567     0.0000    1
727    930     SP2_SP2    N    2:2:3:    3:3:3:    C-2_2_2:N[5a]-2_2:O[5a]-2_2     C-2_2_2:C[5a]-2_2_2:C[5a]-2_2_2     C[5a](N[5a]C[5a,6a])(O[5a]C[5a,6a])(CC[5a]C)    C(C[5a]N[5a]O[5a])2(CC[5a]2)     C[5a](N[5a]C[5a,6a])(O[5a]C[5a,6a])(CC[5a]C){2|C<3>}    C(C[5a]N[5a]O[5a])2(CC[5a]2)   1.4698    0.0175    2     1.4698     0.0175    2
727    930     SP2_SP2    N    2:2:3:    3:3:4:    C-3_2_2:N[5a]-2_2:O[5a]-2_2     C-2_2_0:C-3_2_0_0:C[5a]-2_2_2     C[5a](N[5a]C[5a])(O[5a]C[5a])(CCC)    C(C[5a]N[5a]O[5a])(CC[5a]H)(CHHO)     C[5a](N[5a]C[5a])(O[5a]C[5a])(CCC){1|C<4>,1|H<1>}    C(C[5a]N[5a]O[5a])(CC[5a]H)(CHHO)   1.4519    0.0000    1     1.4519     0.0000    1
727    930     SP2_SP2    N    2:2:3:    3:4:2:    C-3_2_2:N[5a]-2_2:N[5a]-3_2     C-2_0_0_0:C[5a]-2_2_2:N-2_2     C[5a](N[5a]C[5a])(N[5a]N[5a])(CCN)    C(C[5a]N[5a]2)(CH3)(NN)     C[5a](N[5a]C[5a])(N[5a]N[5a])(CCN){1|Pt<4>,1|C<3>}    C(C[5a]N[5a]2)(CH3)(NN)   1.4657    0.0000    1     1.4657     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]C[5a]H)(N[5a]O[5a])(CHO)    C(C[5a]C[5a]N[5a])(H)(O)     C[5a](C[5a]C[5a]H)(N[5a]O[5a])(CHO){1|C<3>}    C(C[5a]C[5a]N[5a])(H)(O)   1.4766    0.0000    1     1.4766     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]N[5a]H)(N[5a]C[5a])(CHO)    C(C[5a]C[5a]N[5a])(H)(O)     C[5a](C[5a]N[5a]H)(N[5a]C[5a])(CHO){1|C<3>,1|H<1>}    C(C[5a]C[5a]N[5a])(H)(O)   1.4642    0.0000    1     1.4517     0.0178    2
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]N[5a]H)(N[5a]C[5a])(CHO)    C(C[5a]C[5a]N[5a])(H)(O)     C[5a](C[5a]N[5a]H)(N[5a]C[5a])(CHO){2|H<1>}    C(C[5a]C[5a]N[5a])(H)(O)   1.4391    0.0000    1     1.4517     0.0178    2
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO)    C(C[5a]C[5a]O[5a])(H)(O)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO){1|B<3>,1|H<1>}    C(C[5a]C[5a]O[5a])(H)(O)   1.4301    0.0000    1     1.4394     0.0096    10
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO)    C(C[5a]C[5a]O[5a])(H)(O)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO){1|C<3>,1|C<4>}    C(C[5a]C[5a]O[5a])(H)(O)   1.4480    0.0055    4     1.4394     0.0096    10
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO)    C(C[5a]C[5a]O[5a])(H)(O)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO){1|C<3>,1|H<1>}    C(C[5a]C[5a]O[5a])(H)(O)   1.4224    0.0000    1     1.4394     0.0096    10
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO)    C(C[5a]C[5a]O[5a])(H)(O)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO){1|C<4>,1|H<1>}    C(C[5a]C[5a]O[5a])(H)(O)   1.4381    0.0047    3     1.4394     0.0096    10
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO)    C(C[5a]C[5a]O[5a])(H)(O)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHO){2|H<1>}    C(C[5a]C[5a]O[5a])(H)(O)   1.4357    0.0000    1     1.4394     0.0096    10
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CHO)    C(C[5a]C[5a]O[5a])(H)(O)     C[5a](C[5a]C[5a]H)(O[5a]N[5a])(CHO){1|C<3>}    C(C[5a]C[5a]O[5a])(H)(O)   1.4600    0.0000    1     1.4600     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:C[5a]-3_2_2:N[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](C[5a]O[5a]C)(N[5a]C[5a])(CHO)    C(C[5a]C[5a]N[5a])(H)(O)     C[5a](C[5a]O[5a]C)(N[5a]C[5a])(CHO){1|C<3>}    C(C[5a]C[5a]N[5a])(H)(O)   1.4631    0.0000    1     1.4631     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_0:N[5a]-2_2_2:N[5a]-2_2     C[5a]-2_2_2:H-2:O-2     C[5a](N[5a]C[5a,6a]N[5a])(N[5a]C[5a,6a])(CHO)    C(C[5a]N[5a]2)(H)(O)     C[5a](N[5a]C[5a,6a]N[5a])(N[5a]C[5a,6a])(CHO){4|C<3>}    C(C[5a]N[5a]2)(H)(O)   1.4669    0.0005    2     1.4669     0.0005    2
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_2:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:O-2:O-2     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO)    C(C[5a]C[5a]N[5a])(O)2     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO){1|C<3>,1|H<1>}    C(C[5a]C[5a]N[5a])(O)2   1.4936    0.0130    3     1.4936     0.0130    3
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_2:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:O-2:O-2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(COO)    C(C[5a]C[5a]O[5a])(O)2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(COO){1|C<3>,1|H<1>}    C(C[5a]C[5a]O[5a])(O)2   1.4829    0.0098    5     1.4829     0.0098    5
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_2:C[5a]-2_2_2:N[5a]-2_2     C[5a]-2_2_2:O-2:O-2     C[5a](C[5a]N[5a]C)(N[5a]C[5a])(COO)    C(C[5a]C[5a]N[5a])(O)2     C[5a](C[5a]N[5a]C)(N[5a]C[5a])(COO){1|C<3>,1|H<1>}    C(C[5a]C[5a]N[5a])(O)2   1.4847    0.0000    1     1.4847     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:1:1:    C-2_2_2:C[5a]-2_2_2:O[5a]-2_2     C[5a]-2_2_2:O-2:O-2     C[5a](C[5a]C[5a,6a]C)(O[5a]C[5a,6a])(COO)    C(C[5a]C[5a]O[5a])(O)2     C[5a](C[5a]C[5a,6a]C)(O[5a]C[5a,6a])(COO){2|C<3>}    C(C[5a]C[5a]O[5a])(O)2   1.4734    0.0320    5     1.4734     0.0320    5
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a,6]-3_2_2:O[5a]-2_2     C[5a]-2_2_2:H-2:N-3_2     C[5a](C[5a,6]C[5a,6]C[6])(O[5a]N[5a])(CHN)    C(C[5a]C[5a,6]O[5a])(NO)(H)     C[5a](C[5a,6]C[5a,6]C[6])(O[5a]N[5a])(CHN){2|C<4>,2|H<1>}    C(C[5a]C[5a,6]O[5a])(NO)(H)   1.4483    0.0000    1     1.4483     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]N[5a]H)(N[5a]C[5a])(CHN)    C(C[5a]C[5a]N[5a])(NN)(H)     C[5a](C[5a]N[5a]H)(N[5a]C[5a])(CHN){1|C<4>,1|H<1>}    C(C[5a]C[5a]N[5a])(NN)(H)   1.4392    0.0180    2     1.4413     0.0133    3
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]N[5a]H)(N[5a]C[5a])(CHN)    C(C[5a]C[5a]N[5a])(NN)(H)     C[5a](C[5a]N[5a]H)(N[5a]C[5a])(CHN){2|H<1>}    C(C[5a]C[5a]N[5a])(NN)(H)   1.4456    0.0000    1     1.4413     0.0133    3
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]N[5a]H)(N[5a]N[5a])(CHN)    C(C[5a]C[5a]N[5a])(NC[6a])(H)     C[5a](C[5a]N[5a]H)(N[5a]N[5a])(CHN){1|C<3>}    C(C[5a]C[5a]N[5a])(NC[6a])(H)   1.4537    0.0000    1     1.4537     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]N[5a]H)(N[5a]N[5a])(CHN)    C(C[5a]C[5a]N[5a])(NN)(H)     C[5a](C[5a]N[5a]H)(N[5a]N[5a])(CHN){1|C<3>}    C(C[5a]C[5a]N[5a])(NN)(H)   1.4467    0.0000    1     1.4467     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:N-3_2     C[5a](C[5a]N[5a]H)(N[5a]N[5a])(CHN)    C(C[5a]C[5a]N[5a])(NC)(H)     C[5a](C[5a]N[5a]H)(N[5a]N[5a])(CHN){1|C<3>}    C(C[5a]C[5a]N[5a])(NC)(H)   1.4509    0.0144    3     1.4509     0.0144    3
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NC[5])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){2|H<1>}    C(C[5a]C[5a]O[5a])(NC[5])(H)   1.4272    0.0062    5     1.4272     0.0062    5
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NC[5a])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|C<4>,1|H<1>}    C(C[5a]C[5a]O[5a])(NC[5a])(H)   1.4382    0.0000    1     1.4382     0.0001    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NC[5a])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|H<1>,1|N<3>}    C(C[5a]C[5a]O[5a])(NC[5a])(H)   1.4381    0.0000    1     1.4382     0.0001    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NC[6a])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|C<3>,1|H<1>}    C(C[5a]C[5a]O[5a])(NC[6a])(H)   1.4425    0.0086    7     1.4363     0.0108    12
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NC[6a])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|C<4>,1|H<1>}    C(C[5a]C[5a]O[5a])(NC[6a])(H)   1.4256    0.0062    4     1.4363     0.0108    12
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NC[6a])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){2|H<1>}    C(C[5a]C[5a]O[5a])(NC[6a])(H)   1.4361    0.0000    1     1.4363     0.0108    12
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NN)(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|C<3>,1|H<1>}    C(C[5a]C[5a]O[5a])(NN)(H)   1.4396    0.0000    1     1.4309     0.0053    31
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NN)(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|C<4>,1|H<1>}    C(C[5a]C[5a]O[5a])(NN)(H)   1.4304    0.0056    8     1.4309     0.0053    31
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NN)(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){2|H<1>}    C(C[5a]C[5a]O[5a])(NN)(H)   1.4306    0.0051    22     1.4309     0.0053    31
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NN[5])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|C<3>,1|H<1>}    C(C[5a]C[5a]O[5a])(NN[5])(H)   1.4343    0.0000    1     1.4386     0.0068    30
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NN[5])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|H<1>,1|N<3>}    C(C[5a]C[5a]O[5a])(NN[5])(H)   1.4389    0.0071    26     1.4386     0.0068    30
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NN[5])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){2|H<1>}    C(C[5a]C[5a]O[5a])(NN[5])(H)   1.4370    0.0046    3     1.4386     0.0068    30
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-3_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NC)(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|C<4>,1|H<1>}    C(C[5a]C[5a]O[5a])(NC)(H)   1.4121    0.0000    1     1.4121     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-3_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NC[6])(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){2|H<1>}    C(C[5a]C[5a]O[5a])(NC[6])(H)   1.4470    0.0035    2     1.4470     0.0035    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-3_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NO)(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|Cl<1>,1|H<1>}    C(C[5a]C[5a]O[5a])(NO)(H)   1.4392    0.0000    1     1.4441     0.0070    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:H-2:N-3_2     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN)    C(C[5a]C[5a]O[5a])(NO)(H)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CHN){1|H<1>,1|N<3>}    C(C[5a]C[5a]O[5a])(NO)(H)   1.4491    0.0000    1     1.4441     0.0070    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_0:O[5a]-2_2     C[5a]-2_2_2:O-2:Se-2_0     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CSeO)    C(C[5a]C[5a]O[5a])(SeSe)(O)     C[5a](C[5a]C[5a]H)(O[5a]C[5a])(CSeO){2|H<1>}    C(C[5a]C[5a]O[5a])(SeSe)(O)   1.4494    0.0000    1     1.4494     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_2:N[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](C[5a]C[5a]C[6a])(N[5a]N[5a])(CHN)    C(C[5a]C[5a]N[5a])(NC[6a])(H)     C[5a](C[5a]C[5a]C[6a])(N[5a]N[5a])(CHN){1|H<1>,3|C<3>}    C(C[5a]C[5a]N[5a])(NC[6a])(H)   1.4586    0.0000    1     1.4586     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:C[5a]-2_2_2:N[5a]-2_2     Cl-2:C[5a]-2_2_2:N-3_2     C[5a](C[5a]N[5a]C)(N[5a]O[5a])(CClN)    C(C[5a]C[5a]N[5a])(NO)(Cl)     C[5a](C[5a]N[5a]C)(N[5a]O[5a])(CClN){}    C(C[5a]C[5a]N[5a])(NO)(Cl)   1.4660    0.0118    2     1.4660     0.0118    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:N[5a]-2_2:N[5a]-3_2_2     C[5a]-2_2_2:H-2:N-3_2     C[5a](N[5a]C[5a]C)(N[5a]C[5a])(CHN)    C(C[5a]N[5a]2)(NC)(H)     C[5a](N[5a]C[5a]C)(N[5a]C[5a])(CHN){2|H<1>}    C(C[5a]N[5a]2)(NC)(H)   1.4539    0.0028    2     1.4539     0.0028    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:N[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](N[5a]C[5a]H)(N[5a]C[5a])(CHN)    C(C[5a]N[5a]2)(NC[6a])(H)     C[5a](N[5a]C[5a]H)(N[5a]C[5a])(CHN){2|H<1>}    C(C[5a]N[5a]2)(NC[6a])(H)   1.4422    0.0092    2     1.4422     0.0092    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:N[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:N-2_2     C[5a](N[5a]C[5a]H)(N[5a]C[5a])(CHN)    C(C[5a]N[5a]2)(NN)(H)     C[5a](N[5a]C[5a]H)(N[5a]C[5a])(CHN){2|H<1>}    C(C[5a]N[5a]2)(NN)(H)   1.4385    0.0011    2     1.4385     0.0011    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_0:N[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:N-3_2     C[5a](N[5a]C[5a]H)(N[5a]C[5a])(CHN)    C(C[5a]N[5a]2)(NC)(H)     C[5a](N[5a]C[5a]H)(N[5a]C[5a])(CHN){2|H<1>}    C(C[5a]N[5a]2)(NC)(H)   1.4447    0.0038    2     1.4447     0.0038    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a,6]-3_2_2:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a,6]N[5a,6]S[6])(N[5a]C[5a])(COO)    C(C[5a]C[5a,6]N[5a])(OC)(O)     C[5a](C[5a,6]N[5a,6]S[6])(N[5a]C[5a])(COO){1|H<1>,2|C<3>}    C(C[5a]C[5a,6]N[5a])(OC)(O)   1.4620    0.0000    1     1.4620     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a,6a]-2_2_2:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(COO)    C(C[5a]C[5a,6a]N[5a])(OC)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(COO){1|H<1>,3|C<3>}    C(C[5a]C[5a,6a]N[5a])(OC)(O)   1.4574    0.0000    1     1.4574     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a,6a]-2_2_2:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a,6a]C[6a,6a]N[5a,6a])(N[5a]C[5a])(COO)    C(C[5a]C[5a,6a]N[5a])(OC)(O)     C[5a](C[5a,6a]C[6a,6a]N[5a,6a])(N[5a]C[5a])(COO){1|H<1>,3|C<3>}    C(C[5a]C[5a,6a]N[5a])(OC)(O)   1.4751    0.0000    1     1.4751     0.0000    1
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a,6a]-2_2_2:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a,6a]N[5a,6a]C[6a])(N[5a]C[5a])(COO)    C(C[5a]C[5a,6a]N[5a])(OC)(O)     C[5a](C[5a,6a]N[5a,6a]C[6a])(N[5a]C[5a])(COO){1|H<1>,3|C<3>}    C(C[5a]C[5a,6a]N[5a])(OC)(O)   1.4613    0.0037    2     1.4613     0.0037    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO)    C(C[5a]C[5a]N[5a])(OC)(O)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO){1|C<3>,1|C<4>}    C(C[5a]C[5a]N[5a])(OC)(O)   1.4719    0.0000    1     1.4694     0.0064    8
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO)    C(C[5a]C[5a]N[5a])(OC)(O)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO){1|C<3>,1|H<1>}    C(C[5a]C[5a]N[5a])(OC)(O)   1.4690    0.0026    2     1.4694     0.0064    8
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO)    C(C[5a]C[5a]N[5a])(OC)(O)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO){1|C<3>,1|O<2>}    C(C[5a]C[5a]N[5a])(OC)(O)   1.4772    0.0018    2     1.4694     0.0064    8
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO)    C(C[5a]C[5a]N[5a])(OC)(O)     C[5a](C[5a]C[5a]H)(N[5a]N[5a])(COO){2|C<3>}    C(C[5a]C[5a]N[5a])(OC)(O)   1.4636    0.0051    3     1.4694     0.0064    8
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a]C[5a]H)(N[5a]O[5a])(COO)    C(C[5a]C[5a]N[5a])(OC)(O)     C[5a](C[5a]C[5a]H)(N[5a]O[5a])(COO){1|C<3>}    C(C[5a]C[5a]N[5a])(OC)(O)   1.4820    0.0017    2     1.4820     0.0017    2
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a]N[5a,6a]H)(N[5a]C[5a,6a])(COO)    C(C[5a]C[5a]N[5a])(OC)(O)     C[5a](C[5a]N[5a,6a]H)(N[5a]C[5a,6a])(COO){2|C<3>}    C(C[5a]C[5a]N[5a])(OC)(O)   1.4758    0.0046    3     1.4758     0.0046    3
727    930     SP2_SP2    N    3:2:3:    3:2:1:    C-2_2_2:C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:O-2:O-3_2     C[5a](C[5a]N[5a]H)(N[5a]N[5a])(COO)    C(C[5a]C[5a]N[5a])(OC)(O)     C[5a](C[5a]N[5a]H)(N[5a]N[5a])(COO){1|B<4>}    C(C[5a]C[5a]N[5a])(OC)(O)   1.4506    0.0000    1     1.4638     0.0073    7
