727    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-2_2_0:C[5a]-3_2_2:F-2     C[5a]-2_2_0     C[5a](C[5a]N[5a]C)(C[5a]N[5a]H)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]N[5a]C)(C[5a]N[5a]H)(F){1|C<4>}    F(C[5a]C[5a]2)   1.3558    0.0000    1     1.3558     0.0000    1
727    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-2_2_0:F-2:N[5a]-2_2_0     C[5a]-2_2_0     C[5a](C[5a]C[5a]H)(N[5a]C[5a]H)(F)    F(C[5a]C[5a]N[5a])     C[5a](C[5a]C[5a]H)(N[5a]C[5a]H)(F){1|C<3>,1|C<4>}    F(C[5a]C[5a]N[5a])   1.3410    0.0011    2     1.3410     0.0011    2
727    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-2_2_0:F-2:N[5a]-3_2_2     C[5a]-2_2_0     C[5a](N[5a]C[5a]C[5])(C[5a]N[5a]H)(F)    F(C[5a]C[5a]N[5a])     C[5a](N[5a]C[5a]C[5])(C[5a]N[5a]H)(F){1|C<4>,1|O<2>,2|H<1>}    F(C[5a]C[5a]N[5a])   1.3280    0.0000    1     1.3280     0.0000    1
727    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-2_2_1:C[5a]-2_2_2:F-2     C[5a]-2_2_0     C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]C)(F)    F(C[5a]C[5a]2)     C[5a](C[5a]C[6a]O[5a])(C[5a]C[5a]C)(F){3|C<3>}    F(C[5a]C[5a]2)   1.3446    0.0000    1     1.3446     0.0000    1
727    830     SP-NON_SP2    N    3:3:1:    3:    C[5a]-2_2_2:C[5a]-2_2_2:F-2     C[5a]-2_2_0     C[5a](C[5a]C[5a]C[6a])(C[5a]C[6a]O[5a])(F)    F(C[5a]C[5a]2)     C[5a](C[5a]C[5a]C[6a])(C[5a]C[6a]O[5a])(F){5|C<3>}    F(C[5a]C[5a]2)   1.3546    0.0000    1     1.3546     0.0000    1
727    846     SP2_SP2    N    3:3:3:    3:3:4:    C[4]-3_2_2:C[5a]-2_2_0:C[5a]-3_2_2     C[4]-3_2_0_0:C[4]-3_2_2:C[5a]-2_2_2     C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2)    C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF)     C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2){1|C<3>,2|C<4>,2|F<1>}    C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF){1|C<4>,1|H<1>,1|O<2>,2|F<1>,3|C<3>}   1.4473    0.0111    4     1.4493     0.0081    8
727    846     SP2_SP2    N    3:3:3:    3:3:4:    C[4]-3_2_2:C[5a]-2_2_0:C[5a]-3_2_2     C[4]-3_2_0_0:C[4]-3_2_2:C[5a]-2_2_2     C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2)    C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF)     C[5a](C[5a]C[5a]H)(C[5a]O[5a]C)(C[4]C[4]2){1|C<4>,2|C<3>,2|F<1>}    C[4](C[4]C[5a]C[4])(C[5a]C[5a]2)(C[4]C[4]FF){1|C<4>,1|H<1>,1|O<2>,2|F<1>,3|C<3>}   1.4514    0.0041    4     1.4493     0.0081    8
727    846     SP2_SP2    N    3:3:3:    3:3:4:    C[4]-3_2_2:C[5a]-2_2_2:N[5a]-3_2_2     C[4]-3_3_2_2:C[5a]-2_2_2:N[4]-2_2_2     C[5a](N[5a]C[5a,6a]C[4])(C[5a]C[5a,6a]N)(C[4]C[4]N[4])    C[4](C[5a]C[5a]N[5a])(N[4]C[6a]C[4])(C[4]C[4]CC)     C[5a](N[5a]C[5a,6a]C[4])(C[5a]C[5a,6a]N)(C[4]C[4]N[4]){1|H<1>,1|N<3>,3|C<4>,4|C<3>}    C[4](C[5a]C[5a]N[5a])(N[4]C[6a]C[4])(C[4]C[4]CC){1|C<4>,1|N<2>,1|O<1>,4|C<3>}   1.3375    0.0000    1     1.3375     0.0000    1
727    891     SP2_SP2    Y    3:3:1:    3:3:3:    C[5a]-2_2_0:H-2:P[3a,5a]-2_2_2     C[5a]-2_2_0:N[3a]-2_2_2:P[3a,5a]-2_2_2     C[5a](P[3a,5a]P[3a,5a]N[3a])(C[5a]N[5a]H)(H)    P[3a,5a](N[3a]P[3a,5a]C[6a])(P[3a,5a]N[3a]N[5a])(C[5a]C[5a]H)     C[5a](P[3a,5a]P[3a,5a]N[3a])(C[5a]N[5a]H)(H){2|C<3>}    P[3a,5a](N[3a]P[3a,5a]C[6a])(P[3a,5a]N[3a]N[5a])(C[5a]C[5a]H){1|H<1>,3|C<3>}   1.7933    0.0000    1     1.7933     0.0000    1
727    914     SP2_SP2    Y    3:2:2:    3:2:    N[5a,6]-2_2_2:N[5a]-2_2:N[6]-2_2     C[5a,6]-2_2_2:N[6]-2_2     C[5a,6](N[5a,6]C[6,6a]N[5a])(N[5a]C[5a])(N[6]N[6])    N[6](C[5a,6]N[5a,6]N[5a])(N[6]C[6,6a])     C[5a,6](N[5a,6]C[6,6a]N[5a])(N[5a]C[5a])(N[6]N[6]){1|H<1>,2|C<3>}    N[6](C[5a,6]N[5a,6]N[5a])(N[6]C[6,6a]){1|N<2>,3|C<3>}   1.3632    0.0000    1     1.3632     0.0000    1
