490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2{1|Ni<4>,1|N<3>}   1.8542    0.0039    2     1.8580     0.0056    16
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2{1|Rh<6>,1|C<4>}   1.8586    0.0114    4     1.8580     0.0056    16
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_2_1:N[4]-3_3_1     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C[5])(N[4]Ge[4]Si)(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C[5])(N[4]Ge[4]Si)(CH3)2{2|N<3>}   1.8458    0.0047    2     1.8458     0.0047    2
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2{1|Cl<1>,1|P<3>}   1.8640    0.0043    6     1.8626     0.0040    9
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2{2|Se<2>}   1.8600    0.0005    3     1.8626     0.0040    9
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2{1|N<3>,1|O<1>}   1.8484    0.0039    2     1.8484     0.0039    2
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Ge[4]C)2(CH3)2{2|S<2>}   1.8638    0.0007    2     1.8638     0.0007    2
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2{1|C<4>}   1.8710    0.0019    2     1.8687     0.0034    4
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]P[4]C)2(CH3)2{1|Ni<4>,1|N<2>}   1.8665    0.0033    2     1.8687     0.0034    4
490    996     SP3_SP3    N    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:Si[4]-3_3_3_3     C-3_0_0_0:C-3_0_0_0:N[4]-3_3_3:N[4]-3_3_3     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Si[4]Si)2(CH3)2     C(Si[4]N[4]2C)(H)3    Si[4](N[4]Si[4]Si)2(CH3)2{2|C<4>}   1.8954    0.0265    2     1.8954     0.0265    2
