762  874  SP2_SP3  Y  4:4:3:  3:3:3:2:  B[6]-3_2_2_2:C-3_2_2:C[6]-3_2_0_0  C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_3_2:O[6]-3_3  449_113_1  225_118_1  1.6366  0.0000  1  1.6366  0.0000  1  
762  876  SP-NON_SP2  N  3:3:2:  3:1:  C[6]-3_2_0:C[6]-3_2_2:H-2_2  C[6]-2_2_0:O-0  449_18032_1  567_6394_0  0.9586  0.0000  1  0.9586  0.0000  1  
762  880  SP2_SP3  N  2:2:4:  3:2:1:1:  C[6]-2_1:C[6]-2_1:Si-3_2_0_0  C-3:C-3:C[6]-3_1_1:O-3_3  449_19561_1  787_1055_0  1.8746  0.0016  2  1.8746  0.0016  2  
762  880  SP2_SP3  N  3:2:4:  3:4:4:4:  C[6]-2_2_0:P[6]-2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_0  449_22427_1  787_1097_0  1.8932  0.0000  1  1.8930  0.0003  2  
762  880  SP2_SP3  N  3:2:4:  3:4:4:4:  C[6]-2_2_0:P[6]-2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_0  449_22427_2  787_1097_0  1.8928  0.0000  1  1.8930  0.0003  2  
762  880  SP2_SP3  N  3:2:4:  3:4:4:4:  C[6]-2_2_2:P[6]-2_2:Si-3_3_3_2  C-3_0_0_0:C-3_0_0_0:C-3_0_0_0:C[6]-3_2_0  449_26699_1  787_1097_0  1.8961  0.0056  2  1.8961  0.0056  2  
762  880  SP2_SP3  N  3:2:4:  3:4:4:4:  C[6]-3_2_0:Si-3_3_3_2:S[6]-2_2  C-3_3_3_0:C-3_3_3_0:C-3_3_3_0:C[6]-3_2_2  449_29629_1  787_1099_0  1.9124  0.0006  2  1.9124  0.0006  2  
762  880  SP2_SP3  N  3:3:4:  3:3:3:3:  C[6]-2_1_0:C[6]-2_2_0:Si-2_2_2_2  C[6a]-3_2_2:C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_2  449_22656_1  787_1444_0  1.8807  0.0030  2  1.8807  0.0030  2  
762  880  SP2_SP3  N  3:3:4:  3:3:3:3:  C[6]-2_2_0:C[6]-2_2_2:Si-2_2_2_2  C[6a]-3_2_2:C[6a]-3_2_2:C[6a]-3_2_2:C[6]-3_2_2  449_18634_1  787_1444_0  1.8820  0.0000  1  1.8820  0.0000  1  
762  880  SP2_SP3  N  3:3:4:  3:3:4:4:  C[6]-2_2_0:C[6]-2_2_2:Si-3_3_2_2  C-3_0_0_0:C-3_0_0_0:C[6]-3_2_2:C[6]-3_2_2  449_21855_1  787_1057_0  1.8851  0.0073  8  1.8851  0.0073  8  
