958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_0_0:H-0_0     H(OC)2    O(CC[4]O)(HO)     H(OC)2    O(CC[4]O)(HO)   1.2499    0.2079    4     1.2499     0.2079    4
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_0_0:H-0_0     H(OC)2    O(CC[6,6]O)(HO)     H(OC)2    O(CC[6,6]O)(HO)   1.2202    0.1537    4     1.2202     0.1537    4
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_0_0:H-0_0     H(OC)2    O(CC[6a]C)(HO)     H(OC)2    O(CC[6a]C)(HO)   1.2219    0.0000    1     1.2219     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_0_0:H-0_0     H(OC)2    O(CC[6a]H)(HO)     H(OC)2    O(CC[6a]H)(HO)   1.2135    0.0097    2     1.2135     0.0097    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_0_0:H-0_0     H(OC)2    O(CC[6a]N)(HO)     H(OC)2    O(CC[6a]N)(HO)   1.3907    0.0000    1     1.3907     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_0_0:H-0_0     H(OC)2    O(CHO)(HO)     H(OC)2    O(CHO)(HO)   1.1968    0.1203    7     1.1968     0.1203    7
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_0_0:H-0_0     H(OC[6])(OC)    O(CCO)(HO)     H(OC[6])(OC)    O(CCO)(HO)   1.2312    0.0449    2     1.2312     0.0449    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_0_0:H-0_0     H(OC[6a])(OC)    O(CCO)(HO)     H(OC[6a])(OC)    O(CCO)(HO)   1.4118    0.0000    1     1.4118     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC)(OP)    O(CCO)(HO)     H(OC)(OP)    O(CCO)(HO)   1.2046    0.1373    7     1.2046     0.1373    7
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC)2    O(CCO)(HO)     H(OC)2    O(CCO)(HO)   1.2283    0.1158    295     1.2283     0.1158    295
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC)2    O(CC[5]C)(HO)     H(OC)2    O(CC[5]C)(HO)   1.3429    0.0000    1     1.3429     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC)2    O(CC[5]O)(HO)     H(OC)2    O(CC[5]O)(HO)   1.2350    0.1267    22     1.2350     0.1267    22
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC)2    O(CC[5a]O)(HO)     H(OC)2    O(CC[5a]O)(HO)   1.2448    0.1539    10     1.2448     0.1539    10
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC)2    O(CC[6]O)(HO)     H(OC)2    O(CC[6]O)(HO)   1.2179    0.1020    30     1.2179     0.1020    30
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC)2    O(CC[6a]2)(HO)     H(OC)2    O(CC[6a]2)(HO)   1.2250    0.0000    1     1.2250     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC)2    O(CC[6a]C[5])(HO)     H(OC)2    O(CC[6a]C[5])(HO)   1.2241    0.0990    10     1.2241     0.0990    10
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC[6])(OC)    O(CC[6]O)(HO)     H(OC[6])(OC)    O(CC[6]O)(HO)   1.4277    0.0000    1     1.4277     0.0000    1
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC[6])(OC)    O(CC[6a]O)(HO)     H(OC[6])(OC)    O(CC[6a]O)(HO)   1.2037    0.0368    3     1.2037     0.0368    3
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C-1_1_0:H-0_0     H(OC[6a])(OC)    O(CC[6a]O)(HO)     H(OC[6a])(OC)    O(CC[6a]O)(HO)   1.2566    0.1637    3     1.2566     0.1637    3
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[4]-1_1_0:H-0_0     H(OC[4])2    O(C[4]C[4]2)(HO)     H(OC[4])2    O(C[4]C[4]2)(HO)   1.2421    0.0008    3     1.2421     0.0008    3
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[4]-1_1_0:H-0_0     H(OC[4a])(OC[4])    O(C[4]C[4]2)(HO)     H(OC[4a])(OC[4])    O(C[4]C[4]2)(HO)   1.1432    0.1248    2     1.1432     0.1248    2
958    960     SP-NON_SP3    N    2:2:    3:2:    O-1_0:O-1_0     C[4a]-1_1_0:H-0_0     H(OC[4a])(OC[4])    O(C[4a]C[4a]2)(HO)     H(OC[4a])(OC[4])    O(C[4a]C[4a]2)(HO)   1.4103    0.0000    1     1.4103     0.0000    1
