474    542     3:2:1:1:    4:4:3:    N[5]-3:S[5]-2:H-1:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](N[5]C[5]C)(S[5]C[5])(H)2    N[5](C[5]C[5]CH)(C[5]S[5]HH)(COO)     C[5](N[5]C[5]C)(S[5]C[5])(H)2{1|C<4>,3|H<1>}    N[5](C[5]C[5]CH)(C[5]S[5]HH)(COO){2|H<1>}   1.4529    0.0000    1     1.4529     0.0000    1
474    542     3:2:1:1:    4:4:4:    N[5,5]-3:S[5]-2:H-1:H-1:     C[3x5]-4:C[5,5]-4:C[5]-4:     Y    C[5](N[5,5]C[3x5]C[5,5])(S[5]C[5])(H)2    N[5,5](C[3x5]C[5,5,6]C[5,6a]C[5,5])(C[5,5]C[5]2H)(C[5]S[5]HH)     C[5](N[5,5]C[3x5]C[5,5])(S[5]C[5])(H)2{1|C<3>,3|C<4>,3|H<1>}    N[5,5](C[3x5]C[5,5,6]C[5,6a]C[5,5])(C[5,5]C[5]2H)(C[5]S[5]HH){1|C<4>,1|N<3>,1|O<2>,3|H<1>,5|C<3>}   1.4551    0.0000    1     1.4551     0.0000    1
474    542     3:2:1:1:    4:4:4:    N[5,5]-3:S[5]-2:H-1:H-1:     C[5,5]-4:C[5,5]-4:C[5]-4:     Y    C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2    N[5,5](C[5,5]C[5,5]C[5]2)(C[5,5]C[5]2H)(C[5]S[5]HH)     C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2{2|C<3>,2|C<4>,3|H<1>}    N[5,5](C[5,5]C[5,5]C[5]2)(C[5,5]C[5]2H)(C[5]S[5]HH){1|C<4>,2|O<1>,3|H<1>,4|C<3>}   1.4609    0.0031    3     1.4609     0.0031    3
474    542     3:2:1:1:    4:4:4:    N[5,5]-3:S[5]-2:H-1:H-1:     C[5,5]-4:C[5,5]-4:C[5]-4:     Y    C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2    N[5,5](C[5,5]C[5,6a]C[5,5]C[5])(C[5,5]C[5]2H)(C[5]S[5]HH)     C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2{2|C<3>,2|C<4>,3|H<1>}    N[5,5](C[5,5]C[5,6a]C[5,5]C[5])(C[5,5]C[5]2H)(C[5]S[5]HH){1|N<2>,1|O<1>,3|H<1>,5|C<3>}   1.4632    0.0000    1     1.4632     0.0000    1
474    542     3:2:1:1:    4:4:4:    N[5,5]-3:S[5]-2:H-1:H-1:     C[5,5]-4:C[5,5]-4:C[5]-4:     Y    C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2    N[5,5](C[5,5]C[5,6a]C[5,6]C[5])(C[5,5]C[5]2H)(C[5]S[5]HH)     C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2{2|C<3>,2|C<4>,3|H<1>}    N[5,5](C[5,5]C[5,6a]C[5,6]C[5])(C[5,5]C[5]2H)(C[5]S[5]HH){1|C<4>,1|N<3>,1|O<1>,3|H<1>,4|C<3>}   1.4459    0.0000    1     1.4457     0.0046    5
474    542     3:2:1:1:    4:4:4:    N[5,5]-3:S[5]-2:H-1:H-1:     C[5,5]-4:C[5,5]-4:C[5]-4:     Y    C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2    N[5,5](C[5,5]C[5,6a]C[5,6]C[5])(C[5,5]C[5]2H)(C[5]S[5]HH)     C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2{2|C<3>,2|C<4>,3|H<1>}    N[5,5](C[5,5]C[5,6a]C[5,6]C[5])(C[5,5]C[5]2H)(C[5]S[5]HH){1|C<4>,1|O<1>,3|H<1>,5|C<3>}   1.4457    0.0053    4     1.4457     0.0046    5
474    542     3:2:1:1:    4:4:4:    N[5,5]-3:S[5]-2:H-1:H-1:     C[5,5]-4:C[5,5]-4:C[5]-4:     Y    C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2    N[5,5](C[5,5]C[5,6a]C[5]2)(C[5,5]C[5]2H)(C[5]S[5]HH)     C[5](N[5,5]C[5,5]2)(S[5]C[5])(H)2{2|C<3>,2|C<4>,3|H<1>}    N[5,5](C[5,5]C[5,6a]C[5]2)(C[5,5]C[5]2H)(C[5]S[5]HH){1|O<1>,4|C<3>,5|H<1>}   1.4507    0.0000    1     1.4507     0.0000    1
474    542     3:2:1:1:    4:4:4:    N[5,5]-3:S[5]-2:H-1:H-1:     C[5,5]-4:C[5]-4:C[5]-4:     Y    C[5](N[5,5]C[5,5]C[5])(S[5]C[5])(H)2    N[5,5](C[5,5]C[5]O[5]H)(C[5]C[6a]C[5]H)(C[5]S[5]HH)     C[5](N[5,5]C[5,5]C[5])(S[5]C[5])(H)2{1|C<3>,1|C<4>,1|O<2>,4|H<1>}    N[5,5](C[5,5]C[5]O[5]H)(C[5]C[6a]C[5]H)(C[5]S[5]HH){3|C<3>,3|H<1>}   1.4572    0.0000    1     1.4572     0.0000    1
474    542     3:2:2:1:    3:3:4:    N[5a]-3:S[5]-2:S[5]-2:H-1:     C[5a,6a]-3:C[5a]-3:C[5]-4:     N    C[5](N[5a]C[5a,6a]C[5a])(S[5]C[5])2(H)    N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]H)(C[5]S[5]2H)     C[5](N[5a]C[5a,6a]C[5a])(S[5]C[5])2(H){1|N<2>,2|C<3>,5|H<1>}    N[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]N[5a]H)(C[5]S[5]2H){1|H<1>,2|C<3>,2|C<4>}   1.4626    0.0000    1     1.4626     0.0000    1
474    542     3:2:3:1:    3:4:4:    N[5]-3:N[5]-2:C[5]-3:H-1:     C[5,6a]-3:C[5]-4:C-4:     Y    C[5](N[5]C[5,6a]C)(N[5]C[5,6a])(C[5]N[5]2)(H)    N[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]N[5]H)(CH3)     C[5](N[5]C[5,6a]C)(N[5]C[5,6a])(C[5]N[5]2)(H){1|Rh<6>,1|C<4>,4|C<3>}    N[5](C[5,6a]C[5,6a]C[6a])(C[5]C[5]N[5]H)(CH3){1|H<1>,2|C<3>,2|N<3>}   1.4589    0.0000    1     1.4589     0.0000    1
474    542     3:2:3:1:    4:4:4:    C[6a]-3:S[5]-2:N[5]-3:H-1:     C[5]-4:C[5]-4:C-4:     Y    C[5](C[6a]C[6a]2)(S[5]C[4,5])(N[5]C[5]C)(H)    N[5](C[5]C[4,5]C[6a]H)(C[5]C[6a]S[5]H)(CH3)     C[5](C[6a]C[6a]2)(S[5]C[4,5])(N[5]C[5]C)(H){2|C<4>,3|C<3>,3|H<1>}    N[5](C[5]C[4,5]C[6a]H)(C[5]C[6a]S[5]H)(CH3){2|C<4>,4|C<3>}   1.4625    0.0000    1     1.4625     0.0000    1
474    542     3:2:3:3:    4:3:4:    N[5]-3:S[5]-2:C-3:C-3:     C[5]-4:C[6a]-3:C[5]-4:     Y    C[5](N[5]C[6a]C[5])(S[5]C[5])(COO)2    N[5](C[5]C[6a]C[5]H)(C[6a]C[6a]2)(C[5]S[5]CC)     C[5](N[5]C[6a]C[5])(S[5]C[5])(COO)2{1|H<1>,5|C<3>}    N[5](C[5]C[6a]C[5]H)(C[6a]C[6a]2)(C[5]S[5]CC){2|H<1>,6|C<3>}   1.4547    0.0015    2     1.4547     0.0015    2
474    542     3:2:4:1:    3:4:3:    N[5,6]-3:O[5]-2:C[6]-4:H-1:     C[5,6a]-3:C[5,6]-4:C[6]-3:     Y    C[5,6](N[5,6]C[5,6a]C[6])(O[5]C[5,6a])(C[6]C[6]HH)(H)    N[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[6]O[5]H)(C[6]C[6]H)     C[5,6](N[5,6]C[5,6a]C[6])(O[5]C[5,6a])(C[6]C[6]HH)(H){2|H<1>,4|C<3>}    N[5,6](C[5,6a]C[5,6a]C[6a])(C[5,6]C[6]O[5]H)(C[6]C[6]H){1|C<4>,3|C<3>,3|H<1>}   1.4564    0.0000    1     1.4564     0.0000    1
474    542     3:2:4:1:    3:4:4:    N[5,5]-3:O[5]-2:C[5]-4:H-1:     C[5,6a]-3:C[5,5]-4:C[5]-4:     Y    C[5,5](N[5,5]C[5,6a]C[5])(O[5]C[5,6a])(C[5]C[5]HH)(H)    N[5,5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]O[5]H)(C[5]C[5]HH)     C[5,5](N[5,5]C[5,6a]C[5])(O[5]C[5,6a])(C[5]C[5]HH)(H){2|C<3>,4|H<1>}    N[5,5](C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]O[5]H)(C[5]C[5]HH){1|C<4>,2|C<3>,4|H<1>}   1.4741    0.0000    1     1.4741     0.0000    1
474    542     3:2:4:1:    4:3:4:    N[5,6]-3:O[5,6]-2:C[5]-4:H-1:     C[5,6]-4:C[5,6]-3:C[5]-4:     Y    C[5,6](N[5,6]C[5,6]C[5])(O[5,6]C[5,6])(C[5]C[5]HH)(H)    N[5,6](C[5,6]O[5,6]C[5]H)(C[5,6]C[6]N[5])(C[5]C[5]HH)     C[5,6](N[5,6]C[5,6]C[5])(O[5,6]C[5,6])(C[5]C[5]HH)(H){1|C<3>,1|C<4>,1|N<3>,5|H<1>}    N[5,6](C[5,6]O[5,6]C[5]H)(C[5,6]C[6]N[5])(C[5]C[5]HH){1|N<3>,3|C<4>,4|H<1>}   1.4613    0.0000    1     1.4613     0.0000    1
474    542     3:2:4:1:    4:3:4:    N[5,6]-3:O[5]-2:C-4:H-1:     C[5,6]-4:C[6]-3:C[5]-4:     Y    C[5](N[5,6]C[5,6]C[6])(O[5]C[5])(CC3)(H)    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[5,6]O)(C[5]O[5]CH)     C[5](N[5,6]C[5,6]C[6])(O[5]C[5])(CC3)(H){1|C<3>,1|O<1>,2|C<4>,2|H<1>}    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[5,6]O)(C[5]O[5]CH){1|C<3>,1|C<4>,1|H<1>,1|N<3>,1|O<1>,1|O<2>}   1.4708    0.0000    1     1.4708     0.0000    1
