474    542     3:3:4:1:    4:3:3:    N[5]-3:C[6a]-3:C[5]-4:H-1:     C[5]-4:C[6a]-3:C[5]-3:     Y    C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(C[5]N[5]CH)(H)    N[5](C[5]C[6a]C[5]H)(C[6a]C[6a]2)(C[5]N[5]O)     C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(C[5]N[5]CH)(H){1|C<4>,1|O<1>,2|H<1>,4|C<3>}    N[5](C[5]C[6a]C[5]H)(C[6a]C[6a]2)(C[5]N[5]O){2|C<4>,2|H<1>,5|C<3>}   1.4676    0.0000    1     1.4676     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[5,6a]-3:N[5,6]-3:C[6]-4:H-1:     C[5,6]-4:C[5]-3:C[6]-4:     Y    C[5,6](C[5,6a]C[5,6a]C[6a])(N[5,6]C[5]C[6])(C[6]C[6]HH)(H)    N[5,6](C[5,6]C[5,6a]C[6]H)(C[5]C[5,6a]O)(C[6]C[6]2H)     C[5,6](C[5,6a]C[5,6a]C[6a])(N[5,6]C[5]C[6])(C[6]C[6]HH)(H){1|C<4>,1|O<1>,3|H<1>,4|C<3>}    N[5,6](C[5,6]C[5,6a]C[6]H)(C[5]C[5,6a]O)(C[6]C[6]2H){1|C<4>,4|C<3>,4|H<1>}   1.4670    0.0000    1     1.4670     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[5,6a]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5]C)(CC[6a]HO)(H)    N[5](C[5]C[5,6a]CH)(C[5]C[5,6a]O)(CCHH)     C[5](C[5,6a]C[5,6a]C[6a])(N[5]C[5]C)(CC[6a]HO)(H){1|H<1>,1|O<1>,2|C<3>}    N[5](C[5]C[5,6a]CH)(C[5]C[5,6a]O)(CCHH){2|C<3>}   1.4642    0.0014    3     1.4642     0.0014    3
474    542     3:3:4:1:    4:3:4:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](C[5]C[5]C)(N[5]C[5]C)(CH3)(H)    N[5](C[5]C[5]CH)(C[5]C[5]C)(CH3)     C[5](C[5]C[5]C)(N[5]C[5]C)(CH3)(H){1|C<4>,1|H<1>}    N[5](C[5]C[5]CH)(C[5]C[5]C)(CH3){1|C<3>,1|H<1>}   1.4706    0.0000    1     1.4706     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](C[5]C[5]O)(N[5]C[5]C)(CCHH)(H)    N[5](C[5]C[5]CH)(C[5]C[5]O)(CC[6a]CH)     C[5](C[5]C[5]O)(N[5]C[5]C)(CCHH)(H){1|H<1>,1|O<1>}    N[5](C[5]C[5]CH)(C[5]C[5]O)(CC[6a]CH){1|H<1>,1|O<2>}   1.4474    0.0000    1     1.4474     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](C[5]C[5]O)(N[5]C[5]C)(CCHH)(H)    N[5](C[5]C[5]CH)(C[5]C[5]O)(CH3)     C[5](C[5]C[5]O)(N[5]C[5]C)(CCHH)(H){1|C<3>,1|O<1>}    N[5](C[5]C[5]CH)(C[5]C[5]O)(CH3){1|C<3>,1|O<1>}   1.4592    0.0000    1     1.4592     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](C[5]C[5]O)(N[5]C[5]C)(CCHO)(H)    N[5](C[5]C[5]CH)(C[5]C[5]O)(CH3)     C[5](C[5]C[5]O)(N[5]C[5]C)(CCHO)(H){1|C<3>,1|H<1>,1|O<1>}    N[5](C[5]C[5]CH)(C[5]C[5]O)(CH3){1|C<3>,1|H<1>,1|O<1>}   1.4539    0.0000    1     1.4539     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](C[5]C[5]O)(N[5]C[5]C)(CC[6a]HH)(H)    N[5](C[5]C[5]CH)(C[5]C[5]O)(CC[6a]HH)     C[5](C[5]C[5]O)(N[5]C[5]C)(CC[6a]HH)(H){1|C<3>,1|O<1>}    N[5](C[5]C[5]CH)(C[5]C[5]O)(CC[6a]HH){1|C<3>,1|O<1>}   1.4581    0.0000    1     1.4581     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](C[5]N[5]O)(N[5]C[5]C)(CCCH)(H)    N[5](C[5]C[5]CH)(C[5]N[5]O)(CC3)     C[5](C[5]N[5]O)(N[5]C[5]C)(CCCH)(H){1|C<4>,1|O<1>}    N[5](C[5]C[5]CH)(C[5]N[5]O)(CC3){1|C<4>,1|O<1>}   1.4597    0.0000    1     1.4597     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](C[5]N[5]O)(N[5]C[5]C)(CCCH)(H)    N[5](C[5]C[5]CH)(C[5]N[5]O)(CC[6a]HH)     C[5](C[5]N[5]O)(N[5]C[5]C)(CCCH)(H){1|C<3>,1|O<1>}    N[5](C[5]C[5]CH)(C[5]N[5]O)(CC[6a]HH){1|C<3>,1|O<1>}   1.4518    0.0000    1     1.4518     0.0000    1
474    542     3:3:4:1:    4:3:4:    C[6,6a]-3:N[5,5]-3:C[5,6]-4:H-1:     C[5,6]-4:C[5,6a]-3:C[5,5]-4:     Y    C[5,6](C[6,6a]C[6,6a]C[6a])(N[5,5]C[5,6a]C[5,5])(C[5,6]C[5]C[6]H)(H)    N[5,5](C[5,6]C[6,6a]C[5,6]H)(C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]2H)     C[5,6](C[6,6a]C[6,6a]C[6a])(N[5,5]C[5,6a]C[5,5])(C[5,6]C[5]C[6]H)(H){1|C<4>,1|O<2>,5|C<3>,5|H<1>}    N[5,5](C[5,6]C[6,6a]C[5,6]H)(C[5,6a]C[5,6a]C[6a])(C[5,5]C[5]2H){1|C<4>,5|C<3>,5|H<1>}   1.4681    0.0000    1     1.4681     0.0000    1
474    542     3:3:4:1:    4:3:4:    N[5,5]-3:C[6a]-3:C[5]-4:H-1:     C[5]-4:N[5,5]-3:C[5]-4:     Y    C[5](N[5,5]N[5,5]C[5])(C[6a]C[6a]2)(C[5]C[5]CH)(H)    N[5,5](C[5]C[6a]C[5]H)(N[5,5]C[5]2)(C[5]C[5]CC)     C[5](N[5,5]N[5,5]C[5])(C[6a]C[6a]2)(C[5]C[5]CH)(H){3|C<3>,3|C<4>,4|H<1>}    N[5,5](C[5]C[6a]C[5]H)(N[5,5]C[5]2)(C[5]C[5]CC){1|O<1>,3|C<3>,5|H<1>}   1.4624    0.0000    1     1.4624     0.0000    1
474    542     3:3:4:1:    4:3:4:    N[5,5]-3:C[6a]-3:C[5]-4:H-1:     C[5]-4:N[5,5]-3:C[5]-4:     Y    C[5](N[5,5]N[5,5]C[5])(C[6a]C[6a]2)(C[5]C[5]CH)(H)    N[5,5](C[5]C[6a]C[5]H)(N[5,5]C[5]2)(C[5]C[5]HH)     C[5](N[5,5]N[5,5]C[5])(C[6a]C[6a]2)(C[5]C[5]CH)(H){2|C<4>,3|C<3>,5|H<1>}    N[5,5](C[5]C[6a]C[5]H)(N[5,5]C[5]2)(C[5]C[5]HH){1|C<4>,1|O<1>,3|C<3>,4|H<1>}   1.4677    0.0004    2     1.4677     0.0004    2
474    542     3:3:4:1:    4:3:4:    N[5,5]-3:C[6a]-3:C[5]-4:H-1:     C[5]-4:N[5,5]-3:C[5]-4:     Y    C[5](N[5,5]N[5,5]C[5])(C[6a]C[6a]2)(C[5]C[5]HH)(H)    N[5,5](C[5]C[6a]C[5]H)(N[5,5]C[5]2)(C[5]C[5]HH)     C[5](N[5,5]N[5,5]C[5])(C[6a]C[6a]2)(C[5]C[5]HH)(H){1|C<4>,4|C<3>,4|H<1>}    N[5,5](C[5]C[6a]C[5]H)(N[5,5]C[5]2)(C[5]C[5]HH){1|O<1>,3|C<3>,4|H<1>}   1.4784    0.0000    1     1.4784     0.0000    1
474    542     3:3:4:1:    4:3:4:    N[5,6]-3:C[6]-3:C[5]-4:H-1:     C[5,6]-4:C[6]-3:C[5]-4:     Y    C[5,6](N[5,6]C[5]C[6])(C[6]N[5,6]O)(C[5]C[5]HH)(H)    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[5,6]O)(C[5]C[5]CH)     C[5,6](N[5,6]C[5]C[6])(C[6]N[5,6]O)(C[5]C[5]HH)(H){1|O<1>,2|C<3>,2|C<4>,2|H<1>}    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[5,6]O)(C[5]C[5]CH){1|C<3>,1|C<4>,1|N<3>,1|O<1>,4|H<1>}   1.4691    0.0000    1     1.4691     0.0000    1
474    542     3:3:4:1:    4:3:4:    N[5,6]-3:C[6]-3:C[5]-4:H-1:     C[5,6]-4:C[6]-3:C[5]-4:     Y    C[5,6](N[5,6]C[5]C[6])(C[6]N[5,6]O)(C[5]C[5]HH)(H)    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[5,6]O)(C[5]C[5]HH)     C[5,6](N[5,6]C[5]C[6])(C[6]N[5,6]O)(C[5]C[5]HH)(H){1|O<1>,1|O<2>,2|C<4>,3|H<1>}    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[5,6]O)(C[5]C[5]HH){1|C<4>,1|N<3>,1|O<1>,1|O<2>,4|H<1>}   1.4748    0.0000    1     1.4720     0.0028    4
474    542     3:3:4:1:    4:3:4:    N[5,6]-3:C[6]-3:C[5]-4:H-1:     C[5,6]-4:C[6]-3:C[5]-4:     Y    C[5,6](N[5,6]C[5]C[6])(C[6]N[5,6]O)(C[5]C[5]HH)(H)    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[5,6]O)(C[5]C[5]HH)     C[5,6](N[5,6]C[5]C[6])(C[6]N[5,6]O)(C[5]C[5]HH)(H){1|O<1>,2|C<4>,4|H<1>}    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[5,6]O)(C[5]C[5]HH){1|C<4>,1|N<3>,1|O<1>,5|H<1>}   1.4710    0.0026    3     1.4720     0.0028    4
474    542     3:3:4:1:    4:3:4:    N[5,6]-3:C[6]-3:C[5]-4:H-1:     C[5,6]-4:C[6]-3:C[5]-4:     Y    C[5,6](N[5,6]C[5]C[6])(C[6]N[6,6]O)(C[5]C[5]HH)(H)    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[6,6]O)(C[5]C[5]HH)     C[5,6](N[5,6]C[5]C[6])(C[6]N[6,6]O)(C[5]C[5]HH)(H){1|O<1>,2|C<4>,4|H<1>}    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[6,6]O)(C[5]C[5]HH){1|C<3>,1|N<3>,1|O<1>,1|O<2>,4|H<1>}   1.4586    0.0000    1     1.4597     0.0016    2
474    542     3:3:4:1:    4:3:4:    N[5,6]-3:C[6]-3:C[5]-4:H-1:     C[5,6]-4:C[6]-3:C[5]-4:     Y    C[5,6](N[5,6]C[5]C[6])(C[6]N[6,6]O)(C[5]C[5]HH)(H)    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[6,6]O)(C[5]C[5]HH)     C[5,6](N[5,6]C[5]C[6])(C[6]N[6,6]O)(C[5]C[5]HH)(H){1|O<1>,2|C<4>,4|H<1>}    N[5,6](C[5,6]C[5]C[6]H)(C[6]C[6,6]O)(C[5]C[5]HH){1|C<4>,1|N<3>,1|O<1>,1|O<2>,4|H<1>}   1.4608    0.0000    1     1.4597     0.0016    2
474    542     3:3:4:1:    4:3:4:    N[5,6]-3:C[6a]-3:C[5]-4:H-1:     C[5,6]-4:C[6,6]-3:C[5]-4:     Y    C[5](N[5,6]C[5,6]C[6,6])(C[6a]C[6a]N[6a])(C[5]C[6a]C[5]H)(H)    N[5,6](C[5,6]C[6a]C[5]C[6])(C[6,6]C[6,6]C[6])(C[5]C[6a]C[5]H)     C[5](N[5,6]C[5,6]C[6,6])(C[6a]C[6a]N[6a])(C[5]C[6a]C[5]H)(H){2|C<4>,2|H<1>,7|C<3>}    N[5,6](C[5,6]C[6a]C[5]C[6])(C[6,6]C[6,6]C[6])(C[5]C[6a]C[5]H){2|C<4>,2|N<2>,5|C<3>,6|H<1>}   1.4667    0.0000    1     1.4667     0.0000    1
474    542     3:3:4:1:    4:3:4:    N[5,6]-3:N[5,6]-3:C[5]-4:H-1:     C[5,6]-4:C[5,6]-3:C[5]-4:     Y    C[5,6](N[5,6]C[5,6]C[6a])(N[5,6]C[5,6]C[5])(C[5]C[5]HH)(H)    N[5,6](C[5,6]N[5,6]C[5]H)(C[5,6]C[6]N[5])(C[5]C[5]HH)     C[5,6](N[5,6]C[5,6]C[6a])(N[5,6]C[5,6]C[5])(C[5]C[5]HH)(H){1|C<4>,1|N<3>,3|C<3>,5|H<1>}    N[5,6](C[5,6]N[5,6]C[5]H)(C[5,6]C[6]N[5])(C[5]C[5]HH){1|C<3>,1|N<3>,3|C<4>,4|H<1>}   1.4642    0.0000    1     1.4642     0.0000    1
474    542     3:3:4:1:    4:3:4:    N[5]-3:C[6a]-3:C[5]-4:H-1:     C[5]-4:C[6a]-3:C[5]-4:     Y    C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(C[5]C[5]HH)(H)    N[5](C[5]C[6a]C[5]H)(C[6a]C[6a]2)(C[5]C[5]CH)     C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(C[5]C[5]HH)(H){1|O<2>,4|H<1>,5|C<3>}    N[5](C[5]C[6a]C[5]H)(C[6a]C[6a]2)(C[5]C[5]CH){1|O<2>,4|C<3>,5|H<1>}   1.4695    0.0000    1     1.4695     0.0000    1
474    542     3:3:4:1:    4:3:4:    N[5]-3:C[6a]-3:C[5]-4:H-1:     C[5]-4:C[6a]-3:C[5]-4:     Y    C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(C[5]C[5]HH)(H)    N[5](C[5]C[6a]C[5]H)(C[6a]C[6a]2)(C[5]C[5]CO)     C[5](N[5]C[6a]C[5])(C[6a]C[6a]2)(C[5]C[5]HH)(H){1|O<1>,1|O<2>,2|H<1>,5|C<3>}    N[5](C[5]C[6a]C[5]H)(C[6a]C[6a]2)(C[5]C[5]CO){1|O<1>,4|C<3>,4|H<1>}   1.4730    0.0000    1     1.4730     0.0000    1
474    542     3:3:4:1:    4:3:4:    N[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-3:C-4:     Y    C[5](N[5]C[5]C)2(CC[6a]HH)(H)    N[5](C[5]N[5]CH)(C[5]C[5]O)(CC3)     C[5](N[5]C[5]C)2(CC[6a]HH)(H){2|O<1>}    N[5](C[5]N[5]CH)(C[5]C[5]O)(CC3){1|C<4>,1|O<1>}   1.4717    0.0026    3     1.4717     0.0026    3
474    542     3:3:4:1:    4:3:4:    N[5]-3:N[5]-3:C[5,5]-4:H-1:     C[5,5]-4:C[6a]-3:C[5]-4:     Y    C[5,5](N[5]C[6a]C[5])2(C[5,5]N[5]2H)(H)    N[5](C[5,5]C[5,5]N[5]H)(C[6a]C[6a]2)(C[5]N[5]HH)     C[5,5](N[5]C[6a]C[5])2(C[5,5]N[5]2H)(H){4|H<1>,6|C<3>}    N[5](C[5,5]C[5,5]N[5]H)(C[6a]C[6a]2)(C[5]N[5]HH){1|C<4>,1|N<3>,3|H<1>,4|C<3>}   1.4647    0.0010    2     1.4647     0.0010    2
474    542     3:3:4:1:    4:3:4:    N[5]-3:N[5]-3:C[5]-4:H-1:     C[5]-4:C[6a]-3:C[5]-4:     Y    C[5](N[5]C[6a]C[5])2(C[5]N[5]2H)(H)    N[5](C[5]C[5]N[5]H)(C[6a]C[6a]2)(C[5]C[5]HN)     C[5](N[5]C[6a]C[5])2(C[5]N[5]2H)(H){2|C<4>,2|H<1>,2|N<3>,6|C<3>}    N[5](C[5]C[5]N[5]H)(C[6a]C[6a]2)(C[5]C[5]HN){3|C<3>,3|N<3>,4|H<1>}   1.4528    0.0000    1     1.4528     0.0000    1
474    542     3:3:4:1:    4:4:1:    C[5,6]-3:N[5]-3:C-4:H-1:     C[5,5]-4:C[5]-4:H-1:     Y    C[5](C[5,6]C[5,6]C[6])(N[5]C[5,5]H)(CC[6a]HH)(H)    N[5](C[5,5]C[5,6a]C[5,6]C[5])(C[5]C[5,6]CH)(H)     C[5](C[5,6]C[5,6]C[6])(N[5]C[5,5]H)(CC[6a]HH)(H){1|O<1>,4|C<3>}    N[5](C[5,5]C[5,6a]C[5,6]C[5])(C[5]C[5,6]CH)(H){1|N<3>,1|O<1>,4|C<3>}   1.4778    0.0000    1     1.4778     0.0000    1
474    542     3:3:4:1:    4:4:1:    C[6a]-3:N[5]-3:C[5]-4:H-1:     P[5,6]-4:C[5]-4:H-1:     Y    C[5](C[6a]C[6a]2)(N[5]P[5,6]H)(C[5]O[5]HH)(H)    N[5](P[5,6]N[6]2O[5])(C[5]C[6a]C[5]H)(H)     C[5](C[6a]C[6a]2)(N[5]P[5,6]H)(C[5]O[5]HH)(H){2|C<3>,2|H<1>,2|N<2>}    N[5](P[5,6]N[6]2O[5])(C[5]C[6a]C[5]H)(H){2|C<3>,2|H<1>,2|P<4>}   1.4607    0.0065    2     1.4607     0.0065    2
474    542     3:3:4:1:    4:4:1:    N[5,6]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:H-1:     Y    C[5](N[5,6]C[5,6]C[6])(N[5]C[5]H)(CCCH)(H)    N[5](C[5]C[5,6]C[6a]H)(C[5]N[5,6]CH)(H)     C[5](N[5,6]C[5,6]C[6])(N[5]C[5]H)(CCCH)(H){1|C<4>,1|O<2>,2|C<3>,3|H<1>}    N[5](C[5]C[5,6]C[6a]H)(C[5]N[5,6]CH)(H){1|C<4>,1|H<1>,3|C<3>}   1.4629    0.0008    2     1.4629     0.0008    2
474    542     3:3:4:1:    4:4:2:    C[6,6a]-3:N[5,6]-3:C[5]-4:H-1:     C[5,6]-4:C[6]-4:N[5]-2:     Y    C[5,6](C[6,6a]C[6,6a]C[6a])(N[5,6]C[6]N[5])(C[5]C[5]HH)(H)    N[5,6](C[5,6]C[6,6a]C[5]H)(C[6]C[6a]O[6]H)(N[5]C[5])     C[5,6](C[6,6a]C[6,6a]C[6a])(N[5,6]C[6]N[5])(C[5]C[5]HH)(H){1|C<4>,1|O<2>,2|H<1>,3|C<3>}    N[5,6](C[5,6]C[6,6a]C[5]H)(C[6]C[6a]O[6]H)(N[5]C[5]){1|C<4>,2|H<1>,4|C<3>}   1.4792    0.0000    1     1.4792     0.0000    1
474    542     3:3:4:1:    4:4:2:    N[5,5]-3:C[6a]-3:C[5]-4:H-1:     C[5]-4:C[5,5]-4:O[5]-2:     Y    C[5](N[5,5]C[5,5]O[5])(C[6a]C[6a]2)(C[5]C[5]CC)(H)    N[5,5](C[5]C[6a]C[5]H)(C[5,5]C[5]2H)(O[5]C[5])     C[5](N[5,5]C[5,5]O[5])(C[6a]C[6a]2)(C[5]C[5]CC)(H){2|C<3>,2|C<4>,5|H<1>}    N[5,5](C[5]C[6a]C[5]H)(C[5,5]C[5]2H)(O[5]C[5]){4|C<3>,6|H<1>}   1.4713    0.0000    1     1.4713     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5,6]-3:N[5,6]-3:C[6,6]-4:H-1:     C[5,6,6]-4:C[5,6]-4:C[6]-3:     Y    C[5,6,6](C[5,6]C[6,6a]C[5])(N[5,6]C[5,6]C[6])(C[6,6]C[6]2H)(H)    N[5,6](C[5,6,6]C[5,6]C[6,6]H)(C[5,6]C[5]C[6]2)(C[6]O[6]O)     C[5,6,6](C[5,6]C[6,6a]C[5])(N[5,6]C[5,6]C[6])(C[6,6]C[6]2H)(H){1|O<1>,1|O<2>,4|H<1>,5|C<3>}    N[5,6](C[5,6,6]C[5,6]C[6,6]H)(C[5,6]C[5]C[6]2)(C[6]O[6]O){2|C<4>,3|H<1>,4|C<3>}   1.4451    0.0018    2     1.4451     0.0018    2
474    542     3:3:4:1:    4:4:3:    C[5,6a]-3:N[5,5]-3:C[5,5]-4:H-1:     C[5,5]-4:C[5,5]-4:C[5]-3:     Y    C[5,5](C[5,6a]C[5,6a]C[6a])(N[5,5]C[5,5]C[5])(C[5,5]C[5]O[5]H)(H)    N[5,5](C[5,5]C[5,6a]C[5,5]H)(C[5,5]C[5]O[5]C)(C[5]C[5]O)     C[5,5](C[5,6a]C[5,6a]C[6a])(N[5,5]C[5,5]C[5])(C[5,5]C[5]O[5]H)(H){1|O<1>,2|C<3>,3|C<4>,3|H<1>}    N[5,5](C[5,5]C[5,6a]C[5,5]H)(C[5,5]C[5]O[5]C)(C[5]C[5]O){2|C<4>,3|C<3>,3|H<1>}   1.4718    0.0000    1     1.4718     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5,6a]-3:N[5,6]-3:C[6]-4:H-1:     C[5,6]-4:C[6]-4:C[5]-3:     Y    C[5,6](C[5,6a]C[5,6a]C[6a])(N[5,6]C[5]C[6])(C[6]C[6]HH)(H)    N[5,6](C[5,6]C[5,6a]C[6]H)(C[6]C[6a]C[6]H)(C[5]C[5,6a]O)     C[5,6](C[5,6a]C[5,6a]C[6a])(N[5,6]C[5]C[6])(C[6]C[6]HH)(H){1|C<4>,1|O<1>,3|H<1>,4|C<3>}    N[5,6](C[5,6]C[5,6a]C[6]H)(C[6]C[6a]C[6]H)(C[5]C[5,6a]O){1|C<4>,4|C<3>,4|H<1>}   1.4670    0.0000    1     1.4657     0.0018    2
474    542     3:3:4:1:    4:4:3:    C[5,6a]-3:N[5,6]-3:C[6]-4:H-1:     C[5,6]-4:C[6]-4:C[5]-3:     Y    C[5,6](C[5,6a]C[5,6a]C[6a])(N[5,6]C[5]C[6])(C[6]C[6]HH)(H)    N[5,6](C[5,6]C[5,6a]C[6]H)(C[6]C[6a]C[6]H)(C[5]C[5,6a]O)     C[5,6](C[5,6a]C[5,6a]C[6a])(N[5,6]C[5]C[6])(C[6]C[6]HH)(H){1|C<4>,2|H<1>,2|O<1>,3|C<3>}    N[5,6](C[5,6]C[5,6a]C[6]H)(C[6]C[6a]C[6]H)(C[5]C[5,6a]O){4|H<1>,5|C<3>}   1.4645    0.0000    1     1.4657     0.0018    2
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]N[5]O)(N[5]C[5]C)(CC[6a]HH)(H)    N[5](C[5]C[6a]N[5]C)(C[5]C[5]CH)(CCH)     C[5](C[5]N[5]O)(N[5]C[5]C)(CC[6a]HH)(H){1|C<3>,2|C<4>}    N[5](C[5]C[6a]N[5]C)(C[5]C[5]CH)(CCH){1|C<4>,1|O<1>,2|C<3>}   1.4691    0.0000    1     1.4691     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CCCH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]CC)(CC[6a]O)     C[5](C[5]O[5]O)(N[5]C[5]C)(CCCH)(H){2|C<4>}    N[5](C[5]C[5]CH)(C[5]O[5]CC)(CC[6a]O){1|O<1>}   1.4684    0.0000    1     1.4684     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CCCH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]HH)(CC[6a]O)     C[5](C[5]O[5]O)(N[5]C[5]C)(CCCH)(H){2|H<1>}    N[5](C[5]C[5]CH)(C[5]O[5]HH)(CC[6a]O){1|O<1>}   1.4626    0.0000    1     1.4626     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CCCH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]HH)(COO)     C[5](C[5]O[5]O)(N[5]C[5]C)(CCCH)(H){2|H<1>}    N[5](C[5]C[5]CH)(C[5]O[5]HH)(COO){1|O<1>}   1.4550    0.0000    1     1.4550     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CCHH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]CC)(CC[6a]O)     C[5](C[5]O[5]O)(N[5]C[5]C)(CCHH)(H){2|C<4>}    N[5](C[5]C[5]CH)(C[5]O[5]CC)(CC[6a]O){1|O<1>}   1.4540    0.0066    8     1.4540     0.0066    8
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CCHH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]CH)(CC[6a]O)     C[5](C[5]O[5]O)(N[5]C[5]C)(CCHH)(H){1|C<4>,1|H<1>}    N[5](C[5]C[5]CH)(C[5]O[5]CH)(CC[6a]O){1|O<1>}   1.4657    0.0000    1     1.4657     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CC[6a]HH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]CC)(CC[6a]O)     C[5](C[5]O[5]O)(N[5]C[5]C)(CC[6a]HH)(H){2|C<4>}    N[5](C[5]C[5]CH)(C[5]O[5]CC)(CC[6a]O){1|O<1>}   1.4615    0.0000    1     1.4615     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CC[6a]HH)(H)    N[5](C[5]C[5]CH)(C[5]O[5]HH)(COO)     C[5](C[5]O[5]O)(N[5]C[5]C)(CC[6a]HH)(H){2|H<1>}    N[5](C[5]C[5]CH)(C[5]O[5]HH)(COO){1|O<1>}   1.4553    0.0000    1     1.4553     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CH3)(H)    N[5](C[5]C[5]CH)(C[5]O[5]CC)(CC[6a]O)     C[5](C[5]O[5]O)(N[5]C[5]C)(CH3)(H){2|C<4>}    N[5](C[5]C[5]CH)(C[5]O[5]CC)(CC[6a]O){1|O<1>}   1.4580    0.0000    1     1.4580     0.0000    1
474    542     3:3:4:1:    4:4:3:    C[5]-3:N[5]-3:C-4:H-1:     C[5]-4:C[5]-4:C-3:     Y    C[5](C[5]O[5]O)(N[5]C[5]C)(CH3)(H)    N[5](C[5]C[5]CH)(C[5]O[5]HH)(COO)     C[5](C[5]O[5]O)(N[5]C[5]C)(CH3)(H){2|H<1>}    N[5](C[5]C[5]CH)(C[5]O[5]HH)(COO){1|O<1>}   1.4491    0.0000    1     1.4491     0.0000    1
