670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])(N[6a]N[6a])(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])(N[6a]N[6a])(NHH){1|C<3>,1|N<3>}   1.3353    0.0108    7     1.3342     0.0096    9
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|C<4>,1|N<3>}   1.3504    0.0117    5     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|H<1>,1|N<3>}   1.3433    0.0062    3     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|H<1>,1|O<2>}   1.3495    0.0012    2     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|N<2>,1|N<3>}   1.3338    0.0084    135     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|N<2>,1|S<2>}   1.3335    0.0000    1     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|N<3>,1|O<2>}   1.3288    0.0086    20     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,1|N<3>,1|S<2>}   1.3421    0.0000    1     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|C<4>}   1.3340    0.0108    34     1.3354     0.0099    403
670    762     3:1:1:    2:2:3:    C[6a]-3:H-1:H-1:     N[6a]-2:N[6a]-2:N-3:     N    N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH)     N(C[6a]N[6a]2)(H)2    C[6a](N[6a]C[6a])2(NHH){1|C<3>,2|H<1>}   1.3372    0.0084    36     1.3354     0.0099    403
