818    972     3:2:3:    3:3:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-3:H-1:     Y    C[5a,6](N[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]O)(H)     C[5a,6](N[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a])(N[6]C[6]H){1|C<4>,1|H<1>,1|O<1>,3|C<3>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]O)(H){1|C<4>,2|C<3>,2|H<1>}   1.3728    0.0000    1     1.3728     0.0000    1
818    972     3:2:3:    3:3:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-3:H-1:     Y    C[5a,6](N[5a,6]C[6,6a]N[5a])(N[5a]C[5a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6,6a]S)(H)     C[5a,6](N[5a,6]C[6,6a]N[5a])(N[5a]C[5a])(N[6]C[6]H){1|S<1>,1|S<2>,2|C<3>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6,6a]S)(H){1|N<2>,3|C<3>}   1.3601    0.0000    1     1.3601     0.0000    1
818    972     3:2:3:    3:3:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-3:H-1:     Y    C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]C)(H)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H){1|C<4>,1|H<1>,1|S<2>,2|C<3>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]C)(H){1|C<4>,1|N<2>,2|C<3>}   1.3543    0.0016    2     1.3543     0.0016    2
818    972     3:2:3:    3:3:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-3:H-1:     Y    C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]H)(H)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H){1|C<3>,1|N<3>,2|H<1>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]H)(H){1|H<1>,1|N<2>,2|C<3>}   1.3460    0.0000    1     1.3460     0.0000    1
818    972     3:2:3:    3:3:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-3:H-1:     Y    C[5a,6](N[5a,6]N[5a]C[6])(N[5a]N[5a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]C)(H)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]N[5a])(N[6]C[6]H){1|C<4>,1|H<1>,2|C<3>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]C)(H){1|C<3>,1|C<4>,2|N<2>}   1.3532    0.0054    3     1.3532     0.0054    3
818    972     3:2:3:    3:3:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-3:H-1:     Y    C[5a,6](N[5a,6]N[5a]C[6])(N[5a]N[5a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]O)(H)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]N[5a])(N[6]C[6]H){1|C<4>,2|O<1>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6]O)(H){1|C<3>,2|C<4>,2|N<2>}   1.3658    0.0000    1     1.3658     0.0000    1
818    972     3:2:3:    3:3:4:    C[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-3:C-4:     Y    C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]C)    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)(CH3)     C[5a,6](C[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]C){1|Cu<6>,1|N<2>,1|N<3>,2|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6]N[6]H)(CH3){1|N<3>,2|C<3>}   1.3805    0.0000    1     1.3805     0.0000    1
818    972     3:2:3:    3:3:4:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:N[6]-3:C-4:     Y    C[5a,6](N[5a,6]N[5a]C[6])(N[5a]N[5a])(N[6]N[6]C)    N[6](C[5a,6]N[5a,6]N[5a])(N[6]C[6]H)(CH3)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]N[5a])(N[6]N[6]C){1|C<3>,3|H<1>}    N[6](C[5a,6]N[5a,6]N[5a])(N[6]C[6]H)(CH3){1|C<4>,1|O<1>,2|N<2>}   1.3764    0.0000    1     1.3764     0.0000    1
818    972     3:2:3:    3:4:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-4:H-1:     Y    C[5a,6](N[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H)     C[5a,6](N[5a,6]C[5a,6a]C[6])(N[5a]C[5a,6a])(N[6]C[6]H){1|C<4>,1|H<1>,1|O<1>,3|C<3>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H){2|H<1>,5|C<3>}   1.3434    0.0000    1     1.3434     0.0000    1
818    972     3:2:3:    3:4:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-4:H-1:     Y    C[5a,6](N[5a,6]C[6,6]N[5a])(N[5a]C[5a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H)     C[5a,6](N[5a,6]C[6,6]N[5a])(N[5a]C[5a])(N[6]C[6]H){1|C<4>,1|O<2>,2|C<3>,2|H<1>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H){1|C<4>,1|N<2>,2|H<1>,3|C<3>}   1.3498    0.0000    1     1.3498     0.0000    1
818    972     3:2:3:    3:4:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-4:H-1:     Y    C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H){1|C<3>,1|H<1>,1|O<2>,1|S<2>,2|C<4>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]C[6a]C[6]H)(H){1|C<4>,1|H<1>,1|N<2>,4|C<3>}   1.3377    0.0000    1     1.3377     0.0000    1
818    972     3:2:3:    3:4:1:    N[5a,6]-3:N[5a]-2:N[6]-3:     C[5a,6]-3:C[6]-4:H-1:     Y    C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H)    N[6](C[5a,6]N[5a,6]N[5a])(C[6]N[6]CC)(H)     C[5a,6](N[5a,6]N[5a]C[6])(N[5a]C[5a])(N[6]C[6]H){1|C<3>,1|N<2>,1|N<3>,2|C<4>}    N[6](C[5a,6]N[5a,6]N[5a])(C[6]N[6]CC)(H){1|N<2>,2|C<3>}   1.3403    0.0000    1     1.3403     0.0000    1
818    972     3:2:3:    3:4:3:    N[5,6]-3:S[5]-2:N[6]-3:     C[5,6]-3:C[6]-4:C-3:     Y    C[5,6](N[5,6]C[5,6]C[6])(S[5]C[5,6])(N[6]C[6]C)    N[6](C[5,6]N[5,6]S[5])(C[6]C[6a]C[6]H)(CCO)     C[5,6](N[5,6]C[5,6]C[6])(S[5]C[5,6])(N[6]C[6]C){1|C<4>,3|C<3>,3|H<1>}    N[6](C[5,6]N[5,6]S[5])(C[6]C[6a]C[6]H)(CCO){1|H<1>,2|C<4>,4|C<3>}   1.3642    0.0000    1     1.3642     0.0000    1
818    972     3:2:3:    3:4:3:    N[5,6]-3:S[5]-2:N[6]-3:     C[5,6]-3:C[6]-4:C-3:     Y    C[5,6](N[5,6]C[5,6a]C[6])(S[5]C[5,6a])(N[6]C[6]C)    N[6](C[5,6]N[5,6]S[5])(C[6]C[6a]C[6]H)(CCO)     C[5,6](N[5,6]C[5,6a]C[6])(S[5]C[5,6a])(N[6]C[6]C){1|C<4>,3|C<3>,3|H<1>}    N[6](C[5,6]N[5,6]S[5])(C[6]C[6a]C[6]H)(CCO){1|H<1>,2|C<4>,4|C<3>}   1.3642    0.0000    1     1.3642     0.0000    1
818    972     3:2:3:    3:4:4:    C[5]-3:S[5]-2:N[6]-3:     C[5]-3:C[6]-4:C[6]-4:     N    C[5](C[5]C[5,5]H)(S[5]C[5,5])(N[6]C[6]2)    N[6](C[5]C[5]S[5])(C[6]C[6]HH)2     C[5](C[5]C[5,5]H)(S[5]C[5,5])(N[6]C[6]2){1|C<3>,1|S<2>,2|C<4>,4|H<1>}    N[6](C[5]C[5]S[5])(C[6]C[6]HH)2{1|O<2>,2|C<3>,5|H<1>}   1.3945    0.0000    1     1.3945     0.0000    1
818    972     3:2:3:    3:4:4:    C[5a,6a]-3:N[5a]-2:N[6]-3:     C[5a]-3:C[6]-4:C[6]-4:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(N[6]C[6]2)    N[6](C[5a]C[5a,6a]N[5a])(C[6]C[6]HH)2     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(N[6]C[6]2){2|C<3>,2|C<4>,6|H<1>}    N[6](C[5a]C[5a,6a]N[5a])(C[6]C[6]HH)2{1|N<3>,1|S<2>,2|C<3>,4|H<1>}   1.3889    0.0000    1     1.3878     0.0029    3
818    972     3:2:3:    3:4:4:    C[5a,6a]-3:N[5a]-2:N[6]-3:     C[5a]-3:C[6]-4:C[6]-4:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(N[6]C[6]2)    N[6](C[5a]C[5a,6a]N[5a])(C[6]C[6]HH)2     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]N[5a])(N[6]C[6]2){2|C<3>,2|C<4>,6|H<1>}    N[6](C[5a]C[5a,6a]N[5a])(C[6]C[6]HH)2{2|C<3>,2|N<3>,4|H<1>}   1.3873    0.0039    2     1.3878     0.0029    3
818    972     3:2:3:    3:4:4:    C[5a,6a]-3:N[5a]-2:N[6]-3:     C[5a]-3:C[6]-4:C[6]-4:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]O[5a])(N[6]C[6]2)    N[6](C[5a]C[5a,6a]N[5a])(C[6]C[6]HH)2     C[5a](C[5a,6a]C[5a,6a]C[6a])(N[5a]O[5a])(N[6]C[6]2){2|C<3>,2|C<4>,5|H<1>}    N[6](C[5a]C[5a,6a]N[5a])(C[6]C[6]HH)2{1|N<3>,1|O<2>,2|C<3>,4|H<1>}   1.3725    0.0000    1     1.3725     0.0000    1
818    972     3:2:3:    3:4:4:    C[5a]-3:N[5a]-2:N[6]-3:     C[5a]-3:C[6]-4:C[6]-4:     N    C[5a](C[5a]N[5a]N)(N[5a]C[5a])(N[6]C[6]2)    N[6](C[5a]C[5a]N[5a])(C[6]C[6]HH)2     C[5a](C[5a]N[5a]N)(N[5a]C[5a])(N[6]C[6]2){3|C<4>,5|H<1>}    N[6](C[5a]C[5a]N[5a])(C[6]C[6]HH)2{1|C<3>,1|O<2>,2|N<3>,4|H<1>}   1.3597    0.0084    5     1.3597     0.0084    5
818    972     3:2:3:    3:4:4:    C[5a]-3:N[5a]-2:N[6]-3:     C[5a]-3:C[6]-4:C[6]-4:     N    C[5a](C[5a]N[5a]N)(N[5a]O[5a])(N[6]C[6]2)    N[6](C[5a]C[5a]N[5a])(C[6]C[6]HH)2     C[5a](C[5a]N[5a]N)(N[5a]O[5a])(N[6]C[6]2){2|C<4>,4|H<1>}    N[6](C[5a]C[5a]N[5a])(C[6]C[6]HH)2{1|N<2>,1|N<3>,2|O<2>,4|H<1>}   1.3626    0.0000    1     1.3591     0.0050    2
818    972     3:2:3:    3:4:4:    C[5a]-3:N[5a]-2:N[6]-3:     C[5a]-3:C[6]-4:C[6]-4:     N    C[5a](C[5a]N[5a]N)(N[5a]O[5a])(N[6]C[6]2)    N[6](C[5a]C[5a]N[5a])(C[6]C[6]HH)2     C[5a](C[5a]N[5a]N)(N[5a]O[5a])(N[6]C[6]2){2|C<4>,4|H<1>}    N[6](C[5a]C[5a]N[5a])(C[6]C[6]HH)2{2|N<2>,2|O<2>,4|H<1>}   1.3556    0.0000    1     1.3591     0.0050    2
818    972     3:2:3:    3:4:4:    N[5a]-3:N[5a]-2:N[6]-3:     C[5a]-3:C[6]-4:C[6]-4:     N    C[5a](N[5a]C[5a,6a]C)(N[5a]C[5a,6a])(N[6]C[6]2)    N[6](C[5a]N[5a]2)(C[6]C[6]HH)2     C[5a](N[5a]C[5a,6a]C)(N[5a]C[5a,6a])(N[6]C[6]2){2|C<3>,2|C<4>,4|H<1>}    N[6](C[5a]N[5a]2)(C[6]C[6]HH)2{1|C<4>,1|N<3>,2|C<3>,4|H<1>}   1.3812    0.0025    2     1.3812     0.0025    2
818    972     3:3:2:    3:3:1:    C[5a,6]-3:N[6]-3:N[5a]-2:     C[5a,6]-3:C[6,6]-3:H-1:     Y    C[5a,6](C[5a,6]C[5a]C[6])(N[6]C[6,6]H)(N[5a]N[5a])    N[6](C[5a,6]C[5a,6]N[5a])(C[6,6]C[6,6]C[6])(H)     C[5a,6](C[5a,6]C[5a]C[6])(N[6]C[6,6]H)(N[5a]N[5a]){2|C<3>,2|C<4>,2|H<1>}    N[6](C[5a,6]C[5a,6]N[5a])(C[6,6]C[6,6]C[6])(H){1|N<3>,2|C<3>,2|C<4>,2|H<1>}   1.3915    0.0018    2     1.3915     0.0018    2
818    972     3:3:2:    3:3:1:    C[5a,6]-3:N[6]-3:O[5a]-2:     C[5a,6]-3:C[6,6]-3:H-1:     Y    C[5a,6](C[5a,6]C[5,6]C[5a])(N[6]C[6,6]H)(O[5a]N[5a])    N[6](C[5a,6]C[5a,6]O[5a])(C[6,6]C[6,6]C[6])(H)     C[5a,6](C[5a,6]C[5,6]C[5a])(N[6]C[6,6]H)(O[5a]N[5a]){2|C<4>,3|C<3>}    N[6](C[5a,6]C[5a,6]O[5a])(C[6,6]C[6,6]C[6])(H){1|N<2>,2|C<3>,2|C<4>,2|H<1>}   1.3546    0.0002    2     1.3546     0.0002    2
818    972     3:3:2:    3:3:1:    C[5a,6a]-3:N[6a]-3:N[5a]-2:     C[5a,6a]-3:C[6a]-3:H-1:     Y    C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[6a]H)(N[5a]C[5a])    N[6a](C[5a,6a]C[5a,6a]N[5a])(C[6a]N[6a]H)(H)     C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[6a]H)(N[5a]C[5a]){1|Cl<1>,1|N<2>,3|H<1>}    N[6a](C[5a,6a]C[5a,6a]N[5a])(C[6a]N[6a]H)(H){3|C<3>}   1.3391    0.0000    1     1.3391     0.0000    1
818    972     3:3:2:    3:3:1:    N[5,6]-3:N[6]-3:S[5]-2:     C[5,6]-3:C[6]-3:H-1:     Y    C[5,6](N[5,6]C[5]C[6])(N[6]C[6]H)(S[5]C[5])    N[6](C[5,6]N[5,6]S[5])(C[6]C[6]C)(H)     C[5,6](N[5,6]C[5]C[6])(N[6]C[6]H)(S[5]C[5]){2|C<3>,2|C<4>,2|H<1>}    N[6](C[5,6]N[5,6]S[5])(C[6]C[6]C)(H){1|C<4>,3|C<3>}   1.3635    0.0000    1     1.3635     0.0000    1
818    972     3:3:2:    3:3:1:    N[5a,6a]-3:N[6a]-3:N[5a]-2:     C[5a,6a]-3:C[6a]-3:H-1:     Y    C[5a,6a](N[5a,6a]C[6a,6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a])    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a,6a]O)(H)     C[5a,6a](N[5a,6a]C[6a,6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a]){1|O<1>,1|O<2>,2|C<3>}    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a,6a]O)(H){1|N<2>,3|C<3>}   1.3656    0.0000    1     1.3637     0.0021    3
818    972     3:3:2:    3:3:1:    N[5a,6a]-3:N[6a]-3:N[5a]-2:     C[5a,6a]-3:C[6a]-3:H-1:     Y    C[5a,6a](N[5a,6a]C[6a,6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a])    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a,6a]O)(H)     C[5a,6a](N[5a,6a]C[6a,6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a]){1|O<1>,1|S<2>,2|C<3>}    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a,6a]O)(H){1|N<2>,3|C<3>}   1.3614    0.0000    1     1.3637     0.0021    3
818    972     3:3:2:    3:3:1:    N[5a,6a]-3:N[6a]-3:N[5a]-2:     C[5a,6a]-3:C[6a]-3:H-1:     Y    C[5a,6a](N[5a,6a]C[6a,6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a])    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a,6a]O)(H)     C[5a,6a](N[5a,6a]C[6a,6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a]){1|O<1>,1|S<4>,2|C<3>}    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a,6a]O)(H){1|N<2>,3|C<3>}   1.3642    0.0000    1     1.3637     0.0021    3
818    972     3:3:2:    3:3:1:    N[5a,6a]-3:N[6a]-3:N[5a]-2:     C[5a,6a]-3:C[6a]-3:H-1:     Y    C[5a,6a](N[5a,6a]C[6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a])    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a]C)(H)     C[5a,6a](N[5a,6a]C[6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a]){1|C<3>,1|C<4>,1|H<1>,1|O<1>}    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a]C)(H){1|H<1>,1|N<2>,2|C<3>}   1.3462    0.0000    1     1.3490     0.0024    3
818    972     3:3:2:    3:3:1:    N[5a,6a]-3:N[6a]-3:N[5a]-2:     C[5a,6a]-3:C[6a]-3:H-1:     Y    C[5a,6a](N[5a,6a]C[6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a])    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a]C)(H)     C[5a,6a](N[5a,6a]C[6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a]){1|C<3>,1|O<1>,2|C<4>}    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]C[6a]C)(H){1|H<1>,1|N<2>,2|C<3>}   1.3503    0.0000    2     1.3490     0.0024    3
818    972     3:3:2:    3:3:1:    N[5a,6a]-3:N[6a]-3:N[5a]-2:     C[5a,6a]-3:C[6a]-3:H-1:     Y    C[5a,6a](N[5a,6a]C[6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a])    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]N[6a]O)(H)     C[5a,6a](N[5a,6a]C[6a]N[5a])(N[6a]C[6a]H)(N[5a]C[5a]){1|C<3>,1|N<2>,1|N<3>,1|O<1>}    N[6a](C[5a,6a]N[5a,6a]N[5a])(C[6a]N[6a]O)(H){1|N<2>,2|C<3>}   1.3578    0.0000    1     1.3578     0.0000    1
818    972     3:3:2:    3:3:3:    C[5,6]-3:N[6]-3:Se[5]-2:     C[5,6]-3:C[6a]-3:C[6]-3:     Y    C[5,6](C[5,6]C[5]N[6])(N[6]C[6a]C[6])(Se[5]C[5])    N[6](C[5,6]C[5,6]Se[5])(C[6a]C[6a]2)(C[6]C[6]S)     C[5,6](C[5,6]C[5]N[6])(N[6]C[6a]C[6])(Se[5]C[5]){1|C<4>,1|S<2>,5|C<3>}    N[6](C[5,6]C[5,6]Se[5])(C[6a]C[6a]2)(C[6]C[6]S){1|C<4>,1|N<3>,2|H<1>,4|C<3>}   1.3664    0.0000    1     1.3664     0.0000    1
818    972     3:3:2:    3:3:3:    C[5]-3:N[6]-3:N[5]-2:     C[5]-3:C[6]-3:C[6]-3:     N    C[5](C[5]N[5]C)(N[6]C[6]2)(N[5]C[5])    N[6](C[5]C[5]N[5])(C[6]C[6]H)2     C[5](C[5]N[5]C)(N[6]C[6]2)(N[5]C[5]){2|H<1>,3|C<3>}    N[6](C[5]C[5]N[5])(C[6]C[6]H)2{1|N<2>,2|H<1>,3|C<3>}   1.4439    0.0000    1     1.4439     0.0000    1
818    972     3:3:2:    3:3:3:    N[6]-3:C[5]-3:S[5]-2:     C[6,6a]-3:C[6,6a]-3:C[5]-3:     N    C[5](N[6]C[6,6a]2)(C[5]C[5]H)(S[5]C[5])    N[6](C[6,6a]C[6,6a]C[6a])2(C[5]C[5]S[5])     C[5](N[6]C[6,6a]2)(C[5]C[5]H)(S[5]C[5]){1|H<1>,1|N<3>,4|C<3>}    N[6](C[6,6a]C[6,6a]C[6a])2(C[5]C[5]S[5]){1|S<2>,3|H<1>,6|C<3>}   1.4101    0.0077    2     1.4101     0.0077    2
818    972     3:3:2:    3:3:3:    N[6]-3:C[5]-3:Se[5]-2:     C[6,6a]-3:C[6,6a]-3:C[5]-3:     N    C[5](N[6]C[6,6a]2)(C[5]C[5]H)(Se[5]C[5])    N[6](C[6,6a]C[6,6a]C[6a])2(C[5]Se[5]C[5])     C[5](N[6]C[6,6a]2)(C[5]C[5]H)(Se[5]C[5]){1|H<1>,1|N<3>,4|C<3>}    N[6](C[6,6a]C[6,6a]C[6a])2(C[5]Se[5]C[5]){1|S<2>,3|H<1>,6|C<3>}   1.4107    0.0048    2     1.4107     0.0048    2
818    972     3:3:2:    3:3:3:    N[6a,6a]-3:C[5,6a]-3:S[5]-2:     C[5,6a]-3:C[6a,6a]-3:C[6a]-3:     Y    C[5,6a](N[6a,6a]C[6a,6a]C[6a])(C[5,6a]C[6a]C[5])(S[5]C[5])    N[6a,6a](C[5,6a]C[5,6a]S[5])(C[6a,6a]C[6a]N[6a])(C[6a]C[6a,6a]O)     C[5,6a](N[6a,6a]C[6a,6a]C[6a])(C[5,6a]C[6a]C[5])(S[5]C[5]){1|N<3>,2|C<3>,2|C<4>,2|O<1>}    N[6a,6a](C[5,6a]C[5,6a]S[5])(C[6a,6a]C[6a]N[6a])(C[6a]C[6a,6a]O){1|H<1>,6|C<3>}   1.4132    0.0000    1     1.4132     0.0000    1
818    972     3:3:2:    3:3:3:    N[6a]-3:C[5,6a]-3:S[5]-2:     C[6a,6a]-3:C[5,6a]-3:C[6a]-3:     Y    C[5,6a](N[6a]C[6a,6a]C[6a])(C[5,6a]C[6a]C[5])(S[5]S[5])    N[6a](C[6a,6a]C[6a,6a]C[6a])(C[5,6a]C[5,6a]S[5])(C[6a]C[6a]2)     C[5,6a](N[6a]C[6a,6a]C[6a])(C[5,6a]C[6a]C[5])(S[5]S[5]){1|N<2>,1|O<1>,4|C<3>}    N[6a](C[6a,6a]C[6a,6a]C[6a])(C[5,6a]C[5,6a]S[5])(C[6a]C[6a]2){1|S<2>,3|H<1>,6|C<3>}   1.3578    0.0000    1     1.3578     0.0000    1
818    972     3:3:2:    3:3:4:    C[5,6]-3:N[6]-3:N[5]-2:     C[5,6]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5])    N[6](C[5,6]C[5,6]N[5])2(CCHH)     C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5]){1|C<3>,1|F<1>,1|N<2>}    N[6](C[5,6]C[5,6]N[5])2(CCHH){1|C<3>,4|S<2>}   1.3851    0.0045    10     1.3843     0.0047    14
818    972     3:3:2:    3:3:4:    C[5,6]-3:N[6]-3:N[5]-2:     C[5,6]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5])    N[6](C[5,6]C[5,6]N[5])2(CCHH)     C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5]){1|C<3>,1|H<1>,1|N<2>}    N[6](C[5,6]C[5,6]N[5])2(CCHH){1|C<3>,4|S<2>}   1.3794    0.0063    2     1.3843     0.0047    14
818    972     3:3:2:    3:3:4:    C[5,6]-3:N[6]-3:N[5]-2:     C[5,6]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5])    N[6](C[5,6]C[5,6]N[5])2(CCHH)     C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5]){1|Cl<1>,1|C<3>,1|N<2>}    N[6](C[5,6]C[5,6]N[5])2(CCHH){1|C<3>,4|S<2>}   1.3849    0.0022    2     1.3843     0.0047    14
818    972     3:3:2:    3:3:4:    C[5,6]-3:N[6]-3:N[5]-2:     C[5,6]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5])    N[6](C[5,6]C[5,6]N[5])2(CH3)     C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5]){1|C<3>,1|C<4>,1|N<2>}    N[6](C[5,6]C[5,6]N[5])2(CH3){1|C<3>,4|S<2>}   1.3926    0.0036    2     1.3916     0.0106    14
818    972     3:3:2:    3:3:4:    C[5,6]-3:N[6]-3:N[5]-2:     C[5,6]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5])    N[6](C[5,6]C[5,6]N[5])2(CH3)     C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5]){1|C<3>,1|F<1>,1|N<2>}    N[6](C[5,6]C[5,6]N[5])2(CH3){1|C<3>,4|S<2>}   1.3953    0.0117    8     1.3916     0.0106    14
818    972     3:3:2:    3:3:4:    C[5,6]-3:N[6]-3:N[5]-2:     C[5,6]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5])    N[6](C[5,6]C[5,6]N[5])2(CH3)     C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]S[5]){1|Cl<1>,1|C<3>,1|N<2>}    N[6](C[5,6]C[5,6]N[5])2(CH3){1|C<3>,4|S<2>}   1.3839    0.0066    4     1.3916     0.0106    14
818    972     3:3:2:    3:3:4:    C[5,6]-3:N[6]-3:N[5]-2:     C[5,6]-3:C[5,6]-3:C-4:     Y    C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]Se[5])    N[6](C[5,6]C[5,6]N[5])2(CCHH)     C[5,6](C[5,6]C[6]S[5])(N[6]C[5,6]C)(N[5]Se[5]){1|Br<1>,1|C<3>,1|N<2>}    N[6](C[5,6]C[5,6]N[5])2(CCHH){2|Se<2>,1|C<3>,2|S<2>}   1.3913    0.0068    2     1.3963     0.0087    9
