818    969     3:2:3:    3:3:1:    C[5a]-3:O[5a]-2:S-3:     C[5a]-3:C[6a]-3:O-1:     N    C[5a](C[5a]C[5a]C)(O[5a]C[5a])(SC[6a]O)    S(C[5a]C[5a]O[5a])(C[6a]C[6a]2)(O)     C[5a](C[5a]C[5a]C)(O[5a]C[5a])(SC[6a]O){2|H<1>}    S(C[5a]C[5a]O[5a])(C[6a]C[6a]2)(O)   1.7546    0.0000    1     1.7546     0.0000    1
818    969     3:2:3:    3:4:1:    C[5a]-3:N[5a]-2:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a]N[5a,6a]S)(N[5a]C[5a,6a])(SCO)    S(C[5a]C[5a]N[5a])(CCHH)(O)     C[5a](C[5a]N[5a,6a]S)(N[5a]C[5a,6a])(SCO){2|C<3>}    S(C[5a]C[5a]N[5a])(CCHH)(O)   1.7966    0.0000    1     1.7966     0.0000    1
818    969     3:2:3:    3:4:1:    N[5a]-3:N[5a]-2:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](N[5a]C[5a,6a]H)(N[5a]C[5a,6a])(SCO)    S(C[5a]N[5a]2)(CC[6a]HH)(O)     C[5a](N[5a]C[5a,6a]H)(N[5a]C[5a,6a])(SCO){2|C<3>}    S(C[5a]N[5a]2)(CC[6a]HH)(O)   1.7775    0.0027    3     1.7775     0.0027    3
818    969     3:2:3:    3:4:1:    N[5a]-3:N[5a]-2:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](N[5a]C[5a]C)(N[5a]C[5a])(SCO)    S(C[5a]N[5a]2)(CH3)(O)     C[5a](N[5a]C[5a]C)(N[5a]C[5a])(SCO){2|C<3>}    S(C[5a]N[5a]2)(CH3)(O)   1.7827    0.0000    1     1.7827     0.0000    1
818    969     3:2:3:    3:4:1:    N[5a]-3:N[5a]-2:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](N[5a]C[5a]H)(N[5a]C[5a])(SCO)    S(C[5a]N[5a]2)(CH3)(O)     C[5a](N[5a]C[5a]H)(N[5a]C[5a])(SCO){2|H<1>}    S(C[5a]N[5a]2)(CH3)(O)   1.7719    0.0000    1     1.7719     0.0000    1
818    969     3:3:3:    3:3:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C[6a]-3:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SC[6a]O)    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SC[6a]O){5|C<3>}    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)   1.7666    0.0014    4     1.7666     0.0014    4
818    969     3:3:3:    3:3:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C[6a]-3:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]O[5a]C)(SC[6a]O)    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]O[5a]C)(SC[6a]O){3|C<3>}    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)   1.7608    0.0032    3     1.7608     0.0032    3
818    969     3:3:3:    3:3:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C[6a]-3:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SC[6a]O)    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SC[6a]O){1|H<1>,4|C<3>}    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)   1.7705    0.0053    16     1.7705     0.0053    16
818    969     3:3:3:    3:3:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C[6a]-3:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6a]O)    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6a]O){1|C<4>,2|C<3>}    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)   1.7594    0.0050    24     1.7567     0.0051    67
818    969     3:3:3:    3:3:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C[6a]-3:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6a]O)    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[6a]O){1|H<1>,2|C<3>}    S(C[5a]C[5a,6a]C[5a])(C[6a]C[6a]2)(O)   1.7552    0.0046    43     1.7567     0.0051    67
818    969     3:3:3:    3:3:1:    C[5a]-3:C[5a]-3:S-3:     C[5a]-3:C[6a]-3:O-1:     N    C[5a](C[5a]C[5,5a]H)(C[5a]N[5,5a]H)(SC[6a]O)    S(C[5a]C[5a]2)(C[6a]C[6a]2)(O)     C[5a](C[5a]C[5,5a]H)(C[5a]N[5,5a]H)(SC[6a]O){1|C<3>,1|C<4>}    S(C[5a]C[5a]2)(C[6a]C[6a]2)(O)   1.7579    0.0004    2     1.7579     0.0004    2
818    969     3:3:3:    3:3:3:    C[5a]-3:C[5a]-3:S-3:     C[5a]-3:C[6a]-3:C[6a]-3:     N    C[5a](C[5a]C[5a]H)(C[5a]N[5a]H)(SC[6a]2)    S(C[5a]C[5a]2)(C[6a]C[6a]2)2     C[5a](C[5a]C[5a]H)(C[5a]N[5a]H)(SC[6a]2){1|C<3>,1|H<1>}    S(C[5a]C[5a]2)(C[6a]C[6a]2)2   1.7300    0.0000    1     1.7300     0.0000    1
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SCO)    S(C[5a]C[5a,6a]C[5a])(CCHH)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SCO){5|C<3>}    S(C[5a]C[5a,6a]C[5a])(CCHH)(O)   1.7687    0.0000    1     1.7687     0.0000    1
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SCO)    S(C[5a]C[5a,6a]C[5a])(CH3)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]C[6a]O[5a])(SCO){5|C<3>}    S(C[5a]C[5a,6a]C[5a])(CH3)(O)   1.7647    0.0058    3     1.7647     0.0058    3
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]O[5a]C)(SCO)    S(C[5a]C[5a,6a]C[5a])(CH3)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a,6a])(C[5a]O[5a]C)(SCO){3|C<3>}    S(C[5a]C[5a,6a]C[5a])(CH3)(O)   1.7602    0.0000    1     1.7602     0.0000    1
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO)    S(C[5a]C[5a,6a]C[5a])(CCCH)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO){1|H<1>,4|C<3>}    S(C[5a]C[5a,6a]C[5a])(CCCH)(O)   1.7774    0.0000    1     1.7774     0.0000    1
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO)    S(C[5a]C[5a,6a]C[5a])(CCHH)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO){1|H<1>,4|C<3>}    S(C[5a]C[5a,6a]C[5a])(CCHH)(O)   1.7697    0.0043    20     1.7697     0.0043    20
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO)    S(C[5a]C[5a,6a]C[5a])(CH3)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]C[6a]O[5a])(SCO){1|H<1>,4|C<3>}    S(C[5a]C[5a,6a]C[5a])(CH3)(O)   1.7668    0.0041    42     1.7668     0.0041    42
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO)    S(C[5a]C[5a,6a]C[5a])(CCHH)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO){1|H<1>,2|C<3>}    S(C[5a]C[5a,6a]C[5a])(CCHH)(O)   1.7604    0.0000    1     1.7604     0.0000    1
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO)    S(C[5a]C[5a,6a]C[5a])(CH3)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SCO){1|H<1>,2|C<3>}    S(C[5a]C[5a,6a]C[5a])(CH3)(O)   1.7615    0.0054    35     1.7615     0.0054    35
818    969     3:3:3:    3:4:1:    C[5a,6a]-3:C[5a]-3:S-3:     C[5a]-3:C[5]-4:O-1:     N    C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[5]O)    S(C[5a]C[5a,6a]C[5a])(C[5]C[5]2H)(O)     C[5a](C[5a,6a]C[5a,6a]C[6a])(C[5a]O[5a]C)(SC[5]O){1|H<1>,2|C<3>}    S(C[5a]C[5a,6a]C[5a])(C[5]C[5]2H)(O)   1.7595    0.0040    2     1.7595     0.0040    2
