818    874     SP2_SP3    N    4:3:3:    4:4:3:1:    B[6,6]-3_3_2_0:N[5]-2_2_2:N[5]-3_2_2     C[5]-3_2_2:C[6,6]-3_3_3_0:C[6,6]-3_3_3_0:I-3     C[5](B[6,6]C[6,6]2I)(N[5]B[6,6]C[5])(N[5]C[5]C)    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)(I)     C[5](B[6,6]C[6,6]2I)(N[5]B[6,6]C[5])(N[5]C[5]C){4|H<1>,6|C<4>}    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)(I){1|B<3>,2|C<3>,3|C<4>,8|H<1>}   1.5949    0.0000    1     1.5949     0.0000    1
818    874     SP2_SP3    N    4:3:3:    4:4:3:1:    B[6,6]-3_3_2_0:N[5]-3_2_2:N[5]-3_2_2     C[5]-3_2_2:C[6,6]-3_3_3_0:C[6,6]-3_3_3_0:H-3     C[5](B[6,6]C[6,6]2H)(N[5]C[5]C)2    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)(H)     C[5](B[6,6]C[6,6]2H)(N[5]C[5]C)2{2|Cl<1>,2|H<1>,4|C<4>}    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)(H){2|C<3>,4|C<4>,8|H<1>}   1.6343    0.0000    1     1.6379     0.0041    8
818    874     SP2_SP3    N    4:3:3:    4:4:3:1:    B[6,6]-3_3_2_0:N[5]-3_2_2:N[5]-3_2_2     C[5]-3_2_2:C[6,6]-3_3_3_0:C[6,6]-3_3_3_0:H-3     C[5](B[6,6]C[6,6]2H)(N[5]C[5]C)2    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)(H)     C[5](B[6,6]C[6,6]2H)(N[5]C[5]C)2{2|H<1>,6|C<4>}    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)(H){2|C<3>,4|C<4>,8|H<1>}   1.6369    0.0006    2     1.6379     0.0041    8
818    874     SP2_SP3    N    4:3:3:    4:4:3:1:    B[6,6]-3_3_2_0:N[5]-3_2_2:N[5]-3_2_2     C[5]-3_2_2:C[6,6]-3_3_3_0:C[6,6]-3_3_3_0:H-3     C[5](B[6,6]C[6,6]2H)(N[5]C[5]C)2    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)(H)     C[5](B[6,6]C[6,6]2H)(N[5]C[5]C)2{4|C<4>,4|H<1>}    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)(H){2|C<3>,4|C<4>,8|H<1>}   1.6390    0.0049    5     1.6379     0.0041    8
818    874     SP2_SP3    N    4:3:3:    4:4:3:3:    B[6,6]-3_3_2_2:N[5]-3_2_2:N[5]-3_2_2     C[5]-3_2_2:C[5]-3_2_2:C[6,6]-3_3_3_0:C[6,6]-3_3_3_0     C[5](B[6,6]C[6,6]2C[5])(N[5]C[5]C)2    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)2     C[5](B[6,6]C[6,6]2C[5])(N[5]C[5]C)2{2|Cl<1>,2|H<1>,2|N<3>,4|C<4>}    B[6,6](C[6,6]C[6]2H)2(C[5]N[5]2)2{4|C<3>,6|C<4>,8|H<1>}   1.6785    0.0084    2     1.6785     0.0084    2
818    874     SP2_SP3    Y    3:3:4:    3:2:4:4:    B[6]-3_3_2_2:N[5,6]-2_2_2:N[5]-2_2_2     C-3_3_0_0:C-3_3_0_0:C[5,6]-3_2_2:O[6]-3_2     C[5,6](N[5,6]C[6,6a]C[5])(N[5]C[6a]N[5])(B[6]O[6]CC)    B[6](C[5,6]N[5,6]N[5])(O[6]C[6,6a])(CCHH)2     C[5,6](N[5,6]C[6,6a]C[5])(N[5]C[6a]N[5])(B[6]O[6]CC){1|H<1>,4|C<3>}    B[6](C[5,6]N[5,6]N[5])(O[6]C[6,6a])(CCHH)2{1|N<2>,4|C<3>}   1.6401    0.0023    2     1.6401     0.0023    2
818    874     SP2_SP3    Y    3:3:4:    3:2:4:4:    B[6]-3_3_3_2:N[5,6]-3_2_2:N[5]-2_2_2     C-3_3_0_0:C-3_3_0_0:C[5,6]-3_2_2:O[6]-3_3     C[5,6](N[5,6]C[5]C[6])(N[5]C[6a]C[5])(B[6]O[6]CC)    B[6](C[5,6]N[5,6]N[5])(O[6]C[6])(CCHH)2     C[5,6](N[5,6]C[5]C[6])(N[5]C[6a]C[5])(B[6]O[6]CC){2|C<3>,2|H<1>,3|C<4>}    B[6](C[5,6]N[5,6]N[5])(O[6]C[6])(CCHH)2{1|C<4>,1|H<1>,4|C<3>}   1.6504    0.0000    1     1.6504     0.0000    1
818    874     SP2_SP3    Y    3:3:4:    3:4:1:1:    B[6]-3_2_0_0:N[5,6]-3_2_2:N[5]-2_2_2     C[5,6]-3_2_2:H-3:H-3:N[6]-3_3_3_0     C[5,6](N[5,6]C[5]C[6])(N[5]C[6a]C[5])(B[6]N[6]HH)    B[6](C[5,6]N[5,6]N[5])(N[6]C[6]CH)(H)2     C[5,6](N[5,6]C[5]C[6])(N[5]C[6a]C[5])(B[6]N[6]HH){2|C<3>,2|C<4>,5|H<1>}    B[6](C[5,6]N[5,6]N[5])(N[6]C[6]CH)(H)2{1|C<4>,2|H<1>,3|C<3>}   1.5952    0.0000    1     1.5952     0.0000    1
818    874     SP2_SP3    Y    3:3:4:    3:4:3:1:    B[6]-3_2_2_0:N[5,6]-2_2_2:N[5]-2_2_2     C[5,6]-3_2_2:C[6]-3_3_3_2:H-3:N-3_3_3     C[5,6](N[5,6]C[6,6a]C[5])(N[5]C[6a]C[5])(B[6]C[6]HN)    B[6](C[5,6]N[5,6]N[5])(C[6]C[6,6a]CC)(NCC)(H)     C[5,6](N[5,6]C[6,6a]C[5])(N[5]C[6a]C[5])(B[6]C[6]HN){2|C<4>,2|H<1>,4|C<3>}    B[6](C[5,6]N[5,6]N[5])(C[6]C[6,6a]CC)(NCC)(H){5|C<3>}   1.6572    0.0000    1     1.6572     0.0000    1
818    874     SP2_SP3    Y    3:4:3:    3:2:4:4:    B[6]-3_3_3_2:C[5]-2_2_0:N[5,6]-3_2_2     C-3_3_0_0:C-3_3_0_0:C[5,6]-3_2_2:O[6]-3_3     C[5,6](N[5,6]C[5]C[6])(B[6]O[6]CC)(C[5]N[5]H)    B[6](C[5,6]N[5,6]C[5])(O[6]C[6])(CCHH)2     C[5,6](N[5,6]C[5]C[6])(B[6]O[6]CC)(C[5]N[5]H){2|C<4>,3|H<1>}    B[6](C[5,6]N[5,6]C[5])(O[6]C[6])(CCHH)2{1|C<3>,1|N<3>,2|C<4>,2|H<1>}   1.6427    0.0000    1     1.6427     0.0000    1
