490    762     SP2_SP3    N:O    3:1:1:1:    2:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:N[6]-2_2     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3)     C(C[6]C[6]N[6])(H)3    C[6](N[6]C[6,6a])(C[6]N[6]C)(CH3){1|Ag<6>,1|C<3>,1|N<3>}   1.4784    0.0000    1     1.4784     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_1:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_2:C[6]-2_2     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]N[5])(C[6]C[6])(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]N[5])(C[6]C[6])(CH3){1|C<2>,2|C<3>,2|C<4>}   1.4758    0.0000    1     1.4758     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:F-3:F-3:F-3     C-2_0_0_0:C[6]-3_2_0:O[6]-2_2     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6]H)(O[6]C[6])(CF3)     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6]H)(O[6]C[6])(CF3){1|C<3>,1|C<4>,1|H<1>,1|O<1>}   1.4631    0.0000    1     1.4631     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:F-3:F-3:F-3     C-2_0_0_0:C[6]-3_3_2:O[6]-2_2     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6]C)(O[6]C[6])(CF3)     C(C[6]C[6]O[6])(F)3    C[6](C[6]C[6]C)(O[6]C[6])(CF3){1|C<3>,1|C<4>,1|H<1>,1|O<1>}   1.4630    0.0000    1     1.4630     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:N[6]-2_1     C(C[6]C[6]N[6])(H)3    C[6](C[6]C[6]H)(N[6]C[6])(CH3)     C(C[6]C[6]N[6])(H)3    C[6](C[6]C[6]H)(N[6]C[6])(CH3){1|Sn<4>,1|C<3>,1|H<1>}   1.4771    0.0000    1     1.4771     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:N[6]-2_2     C(C[6]C[6]N[6])(H)3    C[6](C[6]C[6]H)(N[6]C[6])(CH3)     C(C[6]C[6]N[6])(H)3    C[6](C[6]C[6]H)(N[6]C[6])(CH3){1|C<4>,1|N<2>,1|N<3>}   1.4791    0.0000    1     1.4794     0.0005    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:N[6]-2_2     C(C[6]C[6]N[6])(H)3    C[6](C[6]C[6]H)(N[6]C[6])(CH3)     C(C[6]C[6]N[6])(H)3    C[6](C[6]C[6]H)(N[6]C[6])(CH3){1|H<1>,2|N<3>}   1.4798    0.0000    1     1.4794     0.0005    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:N[6]-2_2     C(C[6]C[6]N[6])(H)3    C[6](C[6]N[6]H)(N[6]C[6])(CH3)     C(C[6]C[6]N[6])(H)3    C[6](C[6]N[6]H)(N[6]C[6])(CH3){1|Sn<6>,1|C<3>,1|H<1>}   1.4783    0.0000    1     1.4737     0.0065    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:N[6]-2_2     C(C[6]C[6]N[6])(H)3    C[6](C[6]N[6]H)(N[6]C[6])(CH3)     C(C[6]C[6]N[6])(H)3    C[6](C[6]N[6]H)(N[6]C[6])(CH3){1|U<16>,1|C<3>,1|C<4>}   1.4692    0.0000    1     1.4737     0.0065    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:O[6]-2_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6,6]H)(O[6]C[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6,6]H)(O[6]C[6])(CH3){1|H<1>,2|C<3>}   1.4771    0.0000    1     1.4771     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:O[6]-2_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]C[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]C[6])(CH3){1|C<3>,2|O<1>}   1.4778    0.0014    2     1.4783     0.0009    4
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:O[6]-2_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]C[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]C[6])(CH3){1|C<4>,2|C<3>}   1.4787    0.0001    2     1.4783     0.0009    4
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:O[6]-3_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]S[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]S[6])(CH3){1|N<2>,1|O<2>,2|O<1>}   1.4751    0.0000    1     1.4773     0.0027    8
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:O[6]-3_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]S[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]S[6])(CH3){1|N<2>,3|O<1>}   1.4758    0.0047    2     1.4773     0.0027    8
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:O[6]-3_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]S[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]H)(O[6]S[6])(CH3){1|N<3>,3|O<1>}   1.4784    0.0018    5     1.4773     0.0027    8
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_0:O[6]-2_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[5,6]H)(O[6]C[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[5,6]H)(O[6]C[6])(CH3){1|C<3>,1|C<4>,1|H<1>,1|O<1>}   1.4750    0.0000    1     1.4750     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:N[6]-2_2     C(C[6]C[6]N[6])(H)3    C[6](C[6]N[6]C)(N[6]C[6])(CH3)     C(C[6]C[6]N[6])(H)3    C[6](C[6]N[6]C)(N[6]C[6])(CH3){1|C<3>,1|N<3>}   1.4764    0.0000    1     1.4764     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:O[6]-2_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]C)(O[6]C[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]C)(O[6]C[6])(CH3){1|C<3>,1|C<4>,1|H<1>,1|O<1>}   1.4775    0.0000    1     1.4755     0.0029    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:O[6]-2_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]C)(O[6]C[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]C)(O[6]C[6])(CH3){1|H<1>,1|O<1>,2|C<4>}   1.4734    0.0000    1     1.4755     0.0029    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:O[6]-2_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]O)(O[6]C[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]O)(O[6]C[6])(CH3){1|C<3>,1|H<1>,1|O<2>}   1.4788    0.0015    2     1.4711     0.0096    14
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:O[6]-2_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]O)(O[6]C[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]O)(O[6]C[6])(CH3){1|C<3>,1|H<1>,1|S<2>}   1.4698    0.0098    12     1.4711     0.0096    14
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:O[6]-3_2     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]C)(O[6]P[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]C)(O[6]P[6])(CH3){1|Cl<1>,1|N<3>,2|O<1>}   1.4779    0.0000    1     1.4779     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:N[6]-2_2_0:N[6]-2_2     C(C[6]N[6]2)(H)3    C[6](N[6]C[6]H)(N[6]C[6])(CH3)     C(C[6]N[6]2)(H)3    C[6](N[6]C[6]H)(N[6]C[6])(CH3){1|N<2>,2|N<3>}   1.4717    0.0059    2     1.4717     0.0059    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_3_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_2:O[6]-2_0     C(C[6]C[6]O[6])(H)3    C[6](C[6]N[5a]C[6])(O[6]H[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]N[5a]C[6])(O[6]H[6])(CH3){1|C<3>,1|C<4>,1|N<2>,1|O<2>}   1.4752    0.0000    1     1.4752     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:2:4:    C[6]-3_3_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:O[6]-2_0     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]S)(O[6]H[6])(CH3)     C(C[6]C[6]O[6])(H)3    C[6](C[6]C[6]S)(O[6]H[6])(CH3){1|C<4>,1|O<2>}   1.4792    0.0000    1     1.4792     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    Br-3:C[6]-3_2_2:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:C[6]-3_2_2     C(C[6]C[6]2)(Br)(H)2    C[6](C[6]C[6,6a]H)(C[6]C[6,6]O)(CBrHH)     C(C[6]C[6]2)(Br)(H)2    C[6](C[6]C[6,6a]H)(C[6]C[6,6]O)(CBrHH){1|C<4>,1|O<2>,2|C<3>}   1.4789    0.0000    1     1.4789     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    Br-3:C[6]-3_2_2:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:N[6]-2_2_2     C(C[6]C[6]N[6])(Br)(H)2    C[6](N[6]C[6,6a]O)(C[6]N[6]C)(CBrHH)     C(C[6]C[6]N[6])(Br)(H)2    C[6](N[6]C[6,6a]O)(C[6]N[6]C)(CBrHH){1|O<1>,2|C<3>}   1.4795    0.0000    1     1.4763     0.0044    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    Br-3:C[6]-3_2_2:H-3:H-3     C-2_0_0_0:C[6]-3_2_2:N[6]-2_2_2     C(C[6]C[6]N[6])(Br)(H)2    C[6](N[6]C[6,6a]O)(C[6]N[6]C)(CBrHH)     C(C[6]C[6]N[6])(Br)(H)2    C[6](N[6]C[6,6a]O)(C[6]N[6]C)(CBrHH){2|C<3>}   1.4732    0.0000    1     1.4763     0.0044    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:F-3:F-3:F-3     C-2_0_0_0:C[6]-2_1_0:C[6]-2_2_0     C(C[6]C[6]2)(F)3    C[6](C[6]C[6]H)2(CF3)     C(C[6]C[6]2)(F)3    C[6](C[6]C[6]H)2(CF3){1|Ir<6>,1|C<3>,1|H<1>}   1.4630    0.0000    1     1.4630     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:F-3:F-3:F-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(F)3    C[6](C[6]C[6]H)(C[6]N[6]S)(CF3)     C(C[6]C[6]2)(F)3    C[6](C[6]C[6]H)(C[6]N[6]S)(CF3){1|Zn<6>,1|C<3>,1|H<1>}   1.4775    0.0000    1     1.4775     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:F-3:F-3:F-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(F)3    C[6](C[6]C[6]H)2(CF3)     C(C[6]C[6]2)(F)3    C[6](C[6]C[6]H)2(CF3){1|Pt<4>,3|C<4>}   1.4715    0.0000    1     1.4715     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:F-3:F-3:F-3     C-2_0_0_0:C[6]-3_2_0:N[6]-3_3_2     C(C[6]C[6]N[6])(F)3    C[6](C[6]C[6]H)(N[6]C[6]S)(CF3)     C(C[6]C[6]N[6])(F)3    C[6](C[6]C[6]H)(N[6]C[6]S)(CF3){1|C<3>,1|C<4>,1|O<2>,2|H<1>}   1.4752    0.0000    1     1.4752     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:F-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_2:N[6]-2_2_0     C(C[6]C[6]N[6])(F)(H)2    C[6](C[6]C[6a]C[6])(N[6]C[6]H)(CFHH)     C(C[6]C[6]N[6])(F)(H)2    C[6](C[6]C[6a]C[6])(N[6]C[6]H)(CFHH){1|N<2>,2|C<3>,2|N<3>}   1.4746    0.0000    1     1.4746     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[5a,6]-2_2_2:N[6]-2_2_2     C(C[6]C[5a,6]N[6])(H)3    C[6](C[5a,6]C[5a,6]O[5a])(N[6]C[6]O)(CH3)     C(C[6]C[5a,6]N[6])(H)3    C[6](C[5a,6]C[5a,6]O[5a])(N[6]C[6]O)(CH3){1|C<4>,3|C<3>}   1.4784    0.0000    1     1.4784     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6,6]-2_2_2:C[6]-3_2_2     C(C[6]C[6,6]C[6])(H)3    C[6](C[6,6]C[6,6]O[6])(C[6]C[6]C)(CH3)     C(C[6]C[6,6]C[6])(H)3    C[6](C[6,6]C[6,6]O[6])(C[6]C[6]C)(CH3){1|C<3>,1|O<1>,2|C<4>}   1.4750    0.0000    1     1.4750     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6,6]-3_2_2:C[6]-2_2_2     C(C[6]C[6,6]C[6])(H)3    C[6](C[6,6]C[6,6]C[6])(C[6]C[6]O)(CH3)     C(C[6]C[6,6]C[6])(H)3    C[6](C[6,6]C[6,6]C[6])(C[6]C[6]O)(CH3){1|C<3>,1|O<2>,2|C<4>,2|H<1>}   1.4739    0.0000    1     1.4739     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6,6a]-2_2_2:C[6]-2_2_0     C(C[6]C[6,6a]C[6])(H)3    C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]H)(CH3)     C(C[6]C[6,6a]C[6])(H)3    C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]H)(CH3){1|N<3>,2|C<3>,2|H<1>}   1.4788    0.0000    1     1.4788     0.0000    1
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6,6a]-2_2_2:C[6]-3_2_2     C(C[6]C[6,6a]C[6])(H)3    C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C)(CH3)     C(C[6]C[6,6a]C[6])(H)3    C[6](C[6,6a]C[6,6a]C[6a])(C[6]C[6]C)(CH3){1|N<3>,2|C<3>,2|H<1>}   1.4573    0.0205    2     1.4573     0.0205    2
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_1_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3){1|Ir<6>,1|C<3>,1|H<1>}   1.4741    0.0000    1     1.5323     0.1317    5
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_1_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3){1|Pd<4>,1|C<3>,1|H<1>}   1.5876    0.1505    3     1.5323     0.1317    5
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_1_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3){1|Pd<5>,1|C<3>,1|H<1>}   1.4248    0.0000    1     1.5323     0.1317    5
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3){1|C<3>,2|H<1>}   1.4783    0.0000    1     1.4724     0.0060    5
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3){1|Cu<4>,1|C<3>,1|H<1>}   1.4639    0.0000    1     1.4724     0.0060    5
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3){1|Fe<4>,1|C<3>,1|H<1>}   1.4683    0.0000    1     1.4724     0.0060    5
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3){1|Os<6>,1|C<3>,1|H<1>}   1.4761    0.0000    1     1.4724     0.0060    5
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)(C[6]N[6]H)(CH3){1|Zn<4>,1|C<3>,1|H<1>}   1.4754    0.0000    1     1.4724     0.0060    5
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3){1|C<3>,1|H<1>,1|O<1>}   1.4658    0.0000    1     1.4732     0.0089    12
490    762     SP2_SP3    N:O    3:1:1:1:    3:3:4:    C[6]-3_2_2:H-3:H-3:H-3     C-2_0_0_0:C[6]-2_2_0:C[6]-2_2_0     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6]H)2(CH3){1|C<3>,2|C<4>}   1.4638    0.0216    2     1.4732     0.0089    12
