466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[6,6]-3_2_2_0:C[6,6]-3_3_2_0:H-3:I-3     C[6,6]-3_3_0_0     C[6,6](C[6,6]N[6]O[6]H)(C[6,6]C[6]2H)(H)(I)    I(C[6,6]C[6,6]2H)     C[6,6](C[6,6]N[6]O[6]H)(C[6,6]C[6]2H)(H)(I){2|H<1>,4|C<3>}    I(C[6,6]C[6,6]2H)   2.1481    0.0000    1     2.1481     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[6,6]-3_3_2_0:C[6]-3_3_0_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[6,6]C[4,6,6]O[6]H)(C[6]C[6]HH)(H)(I)    I(C[6]C[6,6]C[6]H)     C[6](C[6,6]C[4,6,6]O[6]H)(C[6]C[6]HH)(H)(I){1|C<3>,2|C<4>,3|H<1>}    I(C[6]C[6,6]C[6]H)   2.1756    0.0053    2     2.1756     0.0053    2
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[6]-3_2_0_0:C[6]-3_3_3_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[6]C[6,6a]HH)(C[6]C[6]HO)(H)(I)    I(C[6]C[6]2H)     C[6](C[6]C[6,6a]HH)(C[6]C[6]HO)(H)(I){2|C<3>,2|H<1>}    I(C[6]C[6]2H)   2.1744    0.0000    1     2.1744     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[6]-3_3_0_0:C[6]-3_3_0_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[6]C[6,6]HH)(C[6]C[6]HH)(H)(I)    I(C[6]C[6]2H)     C[6](C[6]C[6,6]HH)(C[6]C[6]HH)(H)(I){1|O<2>,4|C<4>}    I(C[6]C[6]2H)   2.1736    0.0013    3     2.1736     0.0013    3
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[6]-3_3_0_0:C[6]-3_3_3_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[6]C[6]HH)(C[6]C[6]HO)(H)(I)    I(C[6]C[6]2H)     C[6](C[6]C[6]HH)(C[6]C[6]HO)(H)(I){1|C<4>,1|N<3>,3|H<1>}    I(C[6]C[6]2H)   2.1860    0.0072    2     2.1860     0.0072    2
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[6]-3_3_0_0:C[6]-3_3_3_3:H-3:I-3     C[6]-3_3_0_0     C[6](C[6]C[6]HH)(C[6]O[6]CC)(H)(I)    I(C[6]C[6]2H)     C[6](C[6]C[6]HH)(C[6]O[6]CC)(H)(I){1|C<3>,1|C<4>,1|H<1>}    I(C[6]C[6]2H)   2.1723    0.0000    1     2.1723     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[6]-3_3_2_0:C[6]-3_3_2_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[6]C[6]HO)(C[6]O[6]HO)(H)(I)    I(C[6]C[6]2H)     C[6](C[6]C[6]HO)(C[6]O[6]HO)(H)(I){1|C<4>,1|H<1>,1|O<2>}    I(C[6]C[6]2H)   2.1695    0.0000    1     2.1695     0.0000    1
466    710     SP-NON_SP3    N    4:4:1:1:    4:    C[6]-3_3_2_0:C[6]-3_3_3_0:H-3:I-3     C[6]-3_3_0_0     C[6](C[6]C[6]HO)2(H)(I)    I(C[6]C[6]2H)     C[6](C[6]C[6]HO)2(H)(I){1|Br<1>,1|C<3>,1|H<1>,1|O<2>}    I(C[6]C[6]2H)   2.1585    0.0042    4     2.1585     0.0042    4
466    710     SP-NON_SP3    N    4:4:4:1:    4:    C-3_0_0_0:C[6,6]-3_3_3_0:C[6]-3_3_0_0:I-3     C[6]-3_3_3_0     C[6](C[6,6]N[5,6,6]C[6]H)(C[6]C[6]HH)(CH3)(I)    I(C[6]C[6,6]C[6]C)     C[6](C[6,6]N[5,6,6]C[6]H)(C[6]C[6]HH)(CH3)(I){3|H<1>,4|C<4>}    I(C[6]C[6,6]C[6]C)   2.2264    0.0000    1     2.2264     0.0000    1
466    710     SP-NON_SP3    N    4:4:4:1:    4:    C[5x6]-3_3_3_3:C[6,6]-3_3_0_0:C[6,6]-3_3_0_0:I-3     C[3x6]-3_3_3_0     C[3x6](C[5x6]C[5x6]C[6,6]2)(C[6,6]C[3x6]HH)2(I)    I(C[3x6]C[5x6]C[6,6]2)     C[3x6](C[5x6]C[5x6]C[6,6]2)(C[6,6]C[3x6]HH)2(I){6|C<4>,6|H<1>}    I(C[3x6]C[5x6]C[6,6]2)   2.2020    0.0000    1     2.2020     0.0000    1
