643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-2_2_2:C[6a]-2_2_2:P-3_2  C[6a]-2_2_0:P-2_2_0  451_14843_1  694_1775_0  1.8329  0.0000  1  1.8329  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-0_0_0:C[6a]-2_2_0  451_17192_1  694_1441_0  1.8460  0.0000  1  1.8460  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-0_0_0:C[6a]-2_2_0  451_17192_1  694_1559_0  1.8632  0.0034  2  1.8632  0.0034  2  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-1_1_0:C[6a]-2_2_0  451_17192_1  694_1466_0  1.8380  0.0000  1  1.8380  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-2_0_0:C[6a]-2_2_0  451_17192_1  694_1534_0  1.8534  0.0032  4  1.8534  0.0032  4  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-2_1_0:C[6a]-2_2_0  451_17192_1  694_1521_0  1.8334  0.0000  1  1.8334  0.0000  1  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-2_2_0:C[6a]-2_2_0  451_17192_1  694_1517_0  1.8359  0.0131  8  1.8359  0.0131  8  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-2_2_0:C[6a]-2_2_0  451_17192_1  694_1551_0  1.8479  0.0017  2  1.8479  0.0017  2  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-2_2_0:C[6a]-2_2_0  451_17192_2  694_1553_0  1.8430  0.0000  1  1.8452  0.0031  2  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-2_2_0:C[6a]-2_2_0  451_17192_1  694_1553_0  1.8474  0.0000  1  1.8452  0.0031  2  
643  940  SP-NON_SP2  N  3:3:2:  3:3:  C[6a]-3_2_2:C[6a]-3_2_2:P-2_2  C-3_0_0:C[6a]-2_2_0  451_17192_1  694_1440_0  1.8405  0.0000  1  1.8405  0.0000  1  
