537    727     SP2_SP2    Y:O    3:2:    2:2:4:    C[5a]-3_2_2:N[5a]-2_2     C-3_2_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CC[5]HH)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CC[5]HH){1|C<3>}   1.3303    0.0096    4     1.3303     0.0096    4
537    727     SP2_SP2    Y:O    3:2:    2:2:4:    C[5a]-3_2_2:N[5a]-2_2     C-3_2_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CHHS)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CHHS){1|C<3>}   1.3428    0.0063    7     1.3428     0.0063    7
537    727     SP2_SP2    Y:O    3:2:    2:2:4:    C[5a]-3_2_2:N[5a]-2_2     C-3_2_0_0:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C)(N[5a]C[5a])    C[5a](N[5a]C[5a])(O[5a]N[5a])(CN[6]HH)     O[5a](C[5a]N[5a]C)(N[5a]C[5a]){1|C<3>}    C[5a](N[5a]C[5a])(O[5a]N[5a])(CN[6]HH){1|C<3>}   1.3222    0.0000    1     1.3222     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:1:    C[5a]-2_2_0:N[5a]-2_2     C[5,5a]-3_2_2:H-2:O[5a]-2_2     O[5a](C[5a]C[5,5a]H)(N[5a]C[5,5a])    C[5a](C[5,5a]C[5,5a]C[5])(O[5a]N[5a])(H)     O[5a](C[5a]C[5,5a]H)(N[5a]C[5,5a]){2|C<4>}    C[5a](C[5,5a]C[5,5a]C[5])(O[5a]N[5a])(H){1|C<4>,1|N<3>,2|H<1>}   1.3565    0.0000    1     1.3565     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:1:    C[5a]-2_2_0:N[5a]-2_2     C[5a,6]-3_2_2:H-2:O[5a]-2_2     O[5a](C[5a]C[5a,6]H)(N[5a]C[5a,6])    C[5a](C[5a,6]C[5a,6]C[6])(O[5a]N[5a])(H)     O[5a](C[5a]C[5a,6]H)(N[5a]C[5a,6]){2|C<4>}    C[5a](C[5a,6]C[5a,6]C[6])(O[5a]N[5a])(H){1|C<4>,1|O<2>,2|H<1>}   1.3432    0.0000    1     1.3432     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:1:    C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_0:H-2:O[5a]-2_2     O[5a](C[5a]C[5a]H)(N[5a]C[5a])    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(H)     O[5a](C[5a]C[5a]H)(N[5a]C[5a]){1|H<1>,1|O<2>}    C[5a](C[5a]C[5a]H)(O[5a]N[5a])(H){1|O<2>}   1.3370    0.0132    3     1.3370     0.0132    3
537    727     SP2_SP2    Y:O    3:2:    3:2:1:    C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:O[5a]-2_2     O[5a](C[5a]C[5a]H)(N[5a]C[5a])    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(H)     O[5a](C[5a]C[5a]H)(N[5a]C[5a]){1|C<3>,1|C<4>}    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(H){1|C<4>}   1.3312    0.0000    1     1.3316     0.0102    8
537    727     SP2_SP2    Y:O    3:2:    3:2:1:    C[5a]-2_2_0:N[5a]-2_2     C[5a]-2_2_2:H-2:O[5a]-2_2     O[5a](C[5a]C[5a]H)(N[5a]C[5a])    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(H)     O[5a](C[5a]C[5a]H)(N[5a]C[5a]){2|C<3>}    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(H){1|C<3>}   1.3317    0.0110    7     1.3316     0.0102    8
537    727     SP2_SP2    Y:O    3:2:    3:2:1:    C[5a]-2_2_0:N[5a]-2_2     C[5a]-3_2_2:H-2:O[5a]-2_2     O[5a](C[5a]C[5a]H)(N[5a]C[5a])    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(H)     O[5a](C[5a]C[5a]H)(N[5a]C[5a]){2|C<4>}    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(H){1|C<4>}   1.3412    0.0000    1     1.3412     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:1:    C[5a]-2_2_2:N[5a]-2_2     N[5a]-2_2_0:O-2:O[5a]-2_2     O[5a](C[5a]N[5a]O)(N[5a]C[5a])    C[5a](N[5a]C[5a]H)(O[5a]N[5a])(O)     O[5a](C[5a]N[5a]O)(N[5a]C[5a]){1|C<3>,1|H<1>}    C[5a](N[5a]C[5a]H)(O[5a]N[5a])(O){1|C<3>}   1.3553    0.0049    2     1.3553     0.0049    2
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a,6]-2_2_2:N[5a]-2_2     C[5a,6]-3_2_2:O[5a]-2_2:O[6]-3_2     O[5a](C[5a,6]C[5a,6]O[6])(N[5a]C[5a])    C[5a,6](C[5a,6]C[6,6]C[5a])(O[5a]N[5a])(O[6]C[6])     O[5a](C[5a,6]C[5a,6]O[6])(N[5a]C[5a]){1|C<3>,2|C<4>}    C[5a,6](C[5a,6]C[6,6]C[5a])(O[5a]N[5a])(O[6]C[6]){2|C<3>,4|C<4>}   1.3362    0.0000    1     1.3362     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a,6a]-2_2_2:N[5a]-2_2     C[5a,6a]-2_2_2:N[6a]-2_2:O[5a]-2_2     O[5a](C[5a,6a]C[5a,6a]N[6a])(N[5a]C[5a])    C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[5,6a])(O[5a]N[5a])     O[5a](C[5a,6a]C[5a,6a]N[6a])(N[5a]C[5a]){1|C<4>,2|C<3>}    C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[5,6a])(O[5a]N[5a]){2|C<3>,2|C<4>}   1.3489    0.0000    2     1.3489     0.0000    2
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a,6a]-2_2_2:N[5a]-2_2     C[5a,6a]-2_2_2:N[6a]-2_2:O[5a]-2_2     O[5a](C[5a,6a]C[5a,6a]N[6a])(N[5a]C[5a])    C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[6a])(O[5a]N[5a])     O[5a](C[5a,6a]C[5a,6a]N[6a])(N[5a]C[5a]){1|C<4>,2|C<3>}    C[5a,6a](C[5a,6a]C[5a]C[6a])(N[6a]C[6a])(O[5a]N[5a]){1|C<3>,1|C<4>,2|H<1>}   1.3512    0.0000    1     1.3512     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[5a]-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]C[5a]N[5a])(N[5a]C[5a])    C[5a](C[5a]C[5a,6]N[5a])(N[5a]C[5a])(O[5a]N[5a])     O[5a](C[5a]C[5a]N[5a])(N[5a]C[5a]){1|C<3>,1|C<4>,1|N<2>}    C[5a](C[5a]C[5a,6]N[5a])(N[5a]C[5a])(O[5a]N[5a]){1|C<3>,1|C<4>,2|N<3>}   1.3422    0.0058    2     1.3422     0.0058    2
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[5a]-3_2_2:N-2_2:O[5a]-2_2     O[5a](C[5a]C[5a]N)(N[5a]C[5a])    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(NC)     O[5a](C[5a]C[5a]N)(N[5a]C[5a]){2|C<4>}    C[5a](C[5a]C[5a]C)(O[5a]N[5a])(NC){1|C<4>}   1.3615    0.0026    8     1.3615     0.0026    8
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[6]-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]N[5a]C[6])(N[5a]C[5a])    C[5a](C[6]C[6]O[6])(N[5a]C[5a])(O[5a]N[5a])     O[5a](C[5a]N[5a]C[6])(N[5a]C[5a]){1|O<2>,2|C<3>}    C[5a](C[6]C[6]O[6])(N[5a]C[5a])(O[5a]N[5a]){1|C<4>,1|O<2>,2|C<3>}   1.3371    0.0000    1     1.3371     0.0000    1
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[6a]-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a])    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a])     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a]){1|C<4>,2|C<3>}    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a]){1|C<4>,2|C<3>,2|H<1>}   1.3421    0.0000    1     1.3447     0.0057    16
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[6a]-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a])    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a])     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a]){3|C<3>}    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a]){1|Cl<1>,1|H<1>,3|C<3>}   1.3518    0.0000    1     1.3447     0.0057    16
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[6a]-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a])    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a])     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a]){3|C<3>}    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a]){1|H<1>,1|N<3>,3|C<3>}   1.3317    0.0000    1     1.3447     0.0057    16
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[6a]-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a])    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a])     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a]){3|C<3>}    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a]){1|H<1>,1|O<2>,3|C<3>}   1.3458    0.0048    11     1.3447     0.0057    16
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[6a]-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a])    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a])     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a]){3|C<3>}    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a]){1|N<2>,2|C<3>,2|H<1>}   1.3415    0.0000    1     1.3447     0.0057    16
537    727     SP2_SP2    Y:O    3:2:    3:2:2:    C[5a]-2_2_2:N[5a]-2_2     C[6a]-2_2_2:N[5a]-2_2:O[5a]-2_2     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a])    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a])     O[5a](C[5a]C[6a]N[5a])(N[5a]C[5a]){3|C<3>}    C[5a](C[6a]C[6a]2)(N[5a]C[5a])(O[5a]N[5a]){2|H<1>,3|C<3>}   1.3441    0.0000    1     1.3447     0.0057    16
537    727     SP2_SP2    Y:O    3:2:    3:2:3:    C[5a]-2_2_2:N[5a]-2_2     C-2_2_0:C[5a,6]-3_2_2:O[5a]-2_2     O[5a](C[5a]C[5a,6]C)(N[5a]C[5a,6])    C[5a](C[5a,6]C[5a,6]C[6])(O[5a]N[5a])(CHN)     O[5a](C[5a]C[5a,6]C)(N[5a]C[5a,6]){2|C<4>}    C[5a](C[5a,6]C[5a,6]C[6])(O[5a]N[5a])(CHN){2|C<4>,2|H<1>}   1.3652    0.0000    1     1.3652     0.0000    1
