490    678     4:4:4:1:    3:4:4:4:    P[5]-4:C-4:C-4:H-1:     N[5]-3:C[5]-4:C-4:C-4:     N    C(P[5]C[5]N[5]C)(CH3)2(H)    P[5](N[5]C[6a]B[5])(C[5]C[5]CH)(CCCH)2     C(P[5]C[5]N[5]C)(CH3)2(H)    P[5](N[5]C[6a]B[5])(C[5]C[5]CH)(CCCH)2{2|H<1>,4|C<3>}   1.8263    0.0000    1     1.8263     0.0000    1
490    678     4:4:4:1:    5:3:4:4:    P[5]-4:C-4:C-4:H-1:     Lu[5,5]-5:C[5,6a]-3:C-4:C-4:     N    C(P[5]C[5,6a]Lu[5,5]C)(CH3)2(H)    P[5](Lu[5,5]N[5,5]P[5]CC)(C[5,6a]C[5,6a]C[6a])(CCCH)2     C(P[5]C[5,6a]Lu[5,5]C)(CH3)2(H)    P[5](Lu[5,5]N[5,5]P[5]CC)(C[5,6a]C[5,6a]C[6a])(CCCH)2{1|H<1>,2|C<4>,4|C<3>}   1.8489    0.0105    2     1.8489     0.0105    2
490    678     4:4:4:4:    2:2:4:1:    P[5]-4:C-4:C-4:C-4:     S[5]-2:S[5]-2:C-4:S-1:     N    C(P[5]S[5]2S)(CH3)3    P[5](S[5]C[5x3,6x5,20x6])2(CC3)(S)     C(P[5]S[5]2S)(CH3)3    P[5](S[5]C[5x3,6x5,20x6])2(CC3)(S){6|B<6>}   1.8552    0.0000    1     1.8552     0.0000    1
490    678     4:4:4:4:    2:2:4:4:    P[5]-4:C-4:C-4:C-4:     O[5]-2:O[5]-2:B-4:C-4:     N    C(P[5]O[5]2B)(CH3)3    P[5](O[5]C[5,6a])2(BC[6a]3)(CC3)     C(P[5]O[5]2B)(CH3)3    P[5](O[5]C[5,6a])2(BC[6a]3)(CC3){2|C<3>}   1.8401    0.0000    1     1.8401     0.0000    1
490    678     4:4:4:4:    3:3:3:4:    P[5]-4:C-4:C-4:C-4:     P[5]-3:P[5]-3:C[6a]-3:C-4:     N    C(P[5]C[6a]P[5]2)(CH3)3    P[5](P[5]C[6a]P[5])2(C[6a]C[6a]2)(CC3)     C(P[5]C[6a]P[5]2)(CH3)3    P[5](P[5]C[6a]P[5])2(C[6a]C[6a]2)(CC3){2|H<1>,8|C<3>}   1.8676    0.0000    1     1.8676     0.0000    1
490    678     4:4:4:4:    3:3:4:1:    P[5]-4:C-4:C-4:C-4:     C[5,5a]-3:C[5,6a]-3:C-4:O-1:     N    C(P[5]C[5,5a]C[5,6a]O)(CH3)3    P[5](C[5,5a]N[5,5a]N[5a])(C[5,6a]C[5,6a]C[6a])(CC3)(O)     C(P[5]C[5,5a]C[5,6a]O)(CH3)3    P[5](C[5,5a]N[5,5a]N[5a])(C[5,6a]C[5,6a]C[6a])(CC3)(O){1|H<1>,4|C<3>}   1.8267    0.0000    1     1.8267     0.0000    1
490    678     4:4:4:4:    3:3:4:4:    P[5]-4:C-4:C-4:C-4:     C[5,6a]-3:C[5,6a]-3:C-4:C-4:     N    C(P[5]C[5,6a]2C)(CH3)3    P[5](C[5,6a]C[5,6a]C[6a])2(CC3)2     C(P[5]C[5,6a]2C)(CH3)3    P[5](C[5,6a]C[5,6a]C[6a])2(CC3)2{2|H<1>,4|C<3>}   1.8580    0.0030    2     1.8580     0.0030    2
490    678     4:4:4:4:    3:4:4:4:    P[5]-4:C-4:C-4:C-4:     C[5,6a]-3:C[5]-4:C-4:C-4:     N    C(P[5]C[5,6a]C[5]C)(CH3)3    P[5](C[5,6a]C[5,6a]C[6a])(C[5]B[5]HH)(CC3)2     C(P[5]C[5,6a]C[5]C)(CH3)3    P[5](C[5,6a]C[5,6a]C[6a])(C[5]B[5]HH)(CC3)2{1|Cl<1>,1|F<1>,3|C<3>}   1.8567    0.0063    4     1.8584     0.0057    14
490    678     4:4:4:4:    3:4:4:4:    P[5]-4:C-4:C-4:C-4:     C[5,6a]-3:C[5]-4:C-4:C-4:     N    C(P[5]C[5,6a]C[5]C)(CH3)3    P[5](C[5,6a]C[5,6a]C[6a])(C[5]B[5]HH)(CC3)2     C(P[5]C[5,6a]C[5]C)(CH3)3    P[5](C[5,6a]C[5,6a]C[6a])(C[5]B[5]HH)(CC3)2{1|F<1>,1|H<1>,3|C<3>}   1.8663    0.0000    1     1.8584     0.0057    14
490    678     4:4:4:4:    3:4:4:4:    P[5]-4:C-4:C-4:C-4:     C[5,6a]-3:C[5]-4:C-4:C-4:     N    C(P[5]C[5,6a]C[5]C)(CH3)3    P[5](C[5,6a]C[5,6a]C[6a])(C[5]B[5]HH)(CC3)2     C(P[5]C[5,6a]C[5]C)(CH3)3    P[5](C[5,6a]C[5,6a]C[6a])(C[5]B[5]HH)(CC3)2{1|F<1>,1|O<2>,3|C<3>}   1.8594    0.0050    7     1.8584     0.0057    14
