643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4,6]-2_2_2:C[4]-2_2_2:C[6a]-2_2_2     C[6a](C[4]C[4,6]C[4])(C[6a]C[6a]H)2    C[4](C[4,6]C[4,6]C[6])(C[4]C[4,6]C[6a])(C[6a]C[6a]2)     C[6a](C[4]C[4,6]C[4])(C[6a]C[6a]H)2{2|F<1>,4|C<3>}    C[4](C[4,6]C[4,6]C[6])(C[4]C[4,6]C[6a])(C[6a]C[6a]2){1|C<4>,2|H<1>,6|C<3>}   1.4686    0.0055    2     1.4679     0.0034    6
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-2_2_2:C[4]-2_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[4]C[4]C[5])(C[6a]C[6a]2)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){2|H<1>,4|C<3>}    C[4](C[4]C[6a]C[4])(C[4]C[4]C[5])(C[6a]C[6a]2){2|H<1>,7|C<3>}   1.4618    0.0000    1     1.4618     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-2_2_2:C[4]-2_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]C)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){2|H<1>,4|C<3>}    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]C){1|O<1>,2|H<1>,4|C<3>}   1.4659    0.0000    1     1.4649     0.0025    5
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-2_2_2:C[4]-2_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]C)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){2|H<1>,4|C<3>}    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]C){2|H<1>,5|C<3>}   1.4647    0.0028    4     1.4649     0.0025    5
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-2_2_2:C[4]-2_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]N)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|N<2>,2|H<1>,3|C<3>}    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]N){1|N<2>,2|H<1>,4|C<3>}   1.4634    0.0056    2     1.4634     0.0056    2
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-2_2_2:C[4]-2_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]O)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|O<1>,2|H<1>,3|C<3>}    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]O){2|H<1>,5|C<3>}   1.4535    0.0000    1     1.4535     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-2_2_2:C[4]-2_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[6a]C[6a]2)(C[4]C[4]O)2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){2|C<3>,2|H<1>,2|O<1>}    C[4](C[6a]C[6a]2)(C[4]C[4]O)2{1|O<1>,2|C<3>,2|H<1>}   1.4479    0.0000    1     1.4479     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-2_2_2:C[4]-3_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]P)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|P<3>,2|H<1>,3|C<3>}    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]P){1|P<3>,2|H<1>,4|C<3>}   1.4555    0.0087    15     1.4555     0.0087    15
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_0:C[4]-3_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[6a]C[6a]2)(C[4]C[4]Pd)(C[4]C[4]N)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|Pd<4>,1|C<3>,1|C<4>,1|N<2>,2|H<1>}    C[4](C[6a]C[6a]2)(C[4]C[4]Pd)(C[4]C[4]N){2|C<3>,4|H<1>}   1.4605    0.0000    1     1.4605     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_0:C[6a]-2_2_2:Si[4]-3_3_2     C[6a](C[4]Si[4]C[4])(C[6a]C[6a]H)2    C[4](Si[4]Si[4]Si)(C[6a]C[6a]2)(C[4]Si[4]H)     C[6a](C[4]Si[4]C[4])(C[6a]C[6a]H)2{2|Si<4>,1|C<3>,3|H<1>}    C[4](Si[4]Si[4]Si)(C[6a]C[6a]2)(C[4]Si[4]H){1|Si<4>,2|H<1>,3|C<3>}   1.4886    0.0000    1     1.4886     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_2:C[4]-3_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]O)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|C<4>,1|O<1>,2|C<3>,2|H<1>}    C[4](C[4]C[6a]C[4])(C[6a]C[6a]2)(C[4]C[4]O){2|C<4>,2|H<1>,4|C<3>}   1.4696    0.0000    1     1.4696     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_2:C[4]-3_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[4]C[6a]P[4])(C[6a]C[6a]2)(C[4]P[4]O)     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|O<1>,1|P<4>,2|C<3>,2|H<1>}    C[4](C[4]C[6a]P[4])(C[6a]C[6a]2)(C[4]P[4]O){1|C<4>,1|W<6>,2|H<1>,4|C<3>}   1.4719    0.0000    1     1.4719     0.0000    1
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_2:C[4]-3_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[6a]C[6a]2)(C[4]C[4]C)2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|C<4>,2|H<1>,3|C<3>}    C[4](C[6a]C[6a]2)(C[4]C[4]C)2{1|C<4>,1|N<3>,2|C<3>,2|H<1>}   1.4661    0.0068    5     1.4661     0.0068    5
643    846     SP2_SP2    N    3:3:3:    3:3:3:    C[4]-2_2_2:C[6a]-2_2_0:C[6a]-2_2_0     C[4]-3_2_2:C[4]-3_2_2:C[6a]-2_2_2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2)    C[4](C[6a]C[6a]2)(C[4]C[4]O)2     C[6a](C[6a]C[6a]H)2(C[4]C[4]2){1|C<3>,1|C<4>,2|H<1>,2|O<1>}    C[4](C[6a]C[6a]2)(C[4]C[4]O)2{1|P<4>,2|H<1>,3|C<3>}   1.4562    0.0000    1     1.4562     0.0000    1
