542  931  SP2_SPD5  Y  5:3:3:  3:3:3:2:1:  C[5,6]-3_2_2:C[6]-2_2_0:Si[5,5]-2_2_2_2_0  Cl-5:C[6a]-5_2_2:N[5,5]-5_3_2:N[5,6]-5_2_2:S[5]-5_2  643_1217_1  827_24_2  1.9958  0.0000  1  1.9870  0.0125  2  
542  931  SP2_SPD5  Y  5:3:3:  3:3:3:2:2:  C[5,6]-3_2_2:C[6]-2_2_0:Si[5,5]-2_2_2_2_2  C[6a]-5_2_2:N-5_1:N[5,5]-5_3_2:N[5,6]-5_2_2:S[5]-5_2  643_1218_1  827_25_1  1.9966  0.0157  3  1.9966  0.0157  3  
542  931  SP2_SPD5  Y  5:3:3:  3:3:3:2:2:  C[5,6a]-2_2_2:C[6]-2_2_2:Si[5,6,6]-2_2_2_2_2  C[6a]-5_2_2:N[5,6]-5_2_2:N[5,6]-5_3_2:O[6]-5_2:O[6]-5_2  643_1226_1  828_2_1  2.0177  0.0022  2  2.0177  0.0022  2  
542  931  SP2_SPD5  Y  5:3:3:  3:3:3:2:2:  C[5,6a]-2_2_2:C[6]-2_2_2:Si[5,6]-2_2_2_2_2  C[6a]-5_2_2:N[5,6]-5_2_2:N[5a]-5_2_2:O[5]-5_2:O[6]-5_2  643_1233_1  829_15_1  1.8379  0.0091  2  1.8379  0.0091  2  
542  931  SP2_SPD5  Y  5:3:3:  3:3:3:2:4:  C[5,6a]-2_2_2:C[5]-2_2_0:Si[5,5]-3_2_2_2_2  C-5_0_0_0:C[6a]-5_2_2:N[5,5a]-5_2_2:N[5,5]-5_2_2:O[5]-5_2  636_536_1  827_27_1  1.8965  0.0004  2  1.8965  0.0004  2  
542  931  SP2_SPD5  Y  5:3:3:  3:3:3:3:2:  C[5,6a]-2_2_2:C[5]-2_2_2:Si[5,5]-2_2_2_2_2  C[6a]-5_2_2:C[6a]-5_2_2:N[5,5]-5_2_2:N[5,5]-5_2_2:O[5]-5_2  636_534_1  827_22_1  1.8277  0.0000  1  1.8277  0.0000  1  
542  931  SP2_SPD5  Y  5:3:3:  3:3:3:3:2:  C[5]-3_2_2:N[5,5]-2_2_2:Si[5,5]-2_2_2_2_2  C[6a]-5_2_2:C[6a]-5_2_2:N[5,5]-5_2_2:N[5,5]-5_2_2:O[5]-5_2  636_535_1  827_22_1  2.0174  0.0000  1  2.0174  0.0000  1  
542  931  SP2_SPD5  Y  5:3:3:  3:4:2:2:4:  C[5,6a]-2_2_2:C[6]-2_2_2:Si[5,6]-3_3_2_2_2  C-5_0_0_0:N[5,6]-5_2_2:O[5]-5_2:O[6]-5_2:Si[5]-5_3_2_2  643_1236_1  829_12_1  1.8876  0.0000  1  1.8876  0.0000  1  
542  931  SP2_SPD5  Y  5:3:4:  3:3:2:2:4:  C[5,6a]-2_2_2:C[5]-2_2_0_0:Si[5,5]-3_2_2_2_2  C-5_0_0_0:N[5,5]-5_3_2:N[5,6]-5_2_2:O-5_2:S[5]-5_2  636_540_1  827_26_1  1.7677  0.0000  1  1.7677  0.0000  1  
542  931  SP2_SPD5  Y  5:3:4:  3:3:3:2:1:  C[5,6a]-2_2_2:C[5]-2_2_0_0:Si[5,5]-2_2_2_2_0  Br-5:C[6a]-5_2_2:N[5,5]-5_3_2:N[5,6]-5_2_2:S[5]-5_2  636_537_1  827_23_1  1.7616  0.0000  1  1.7616  0.0000  1  
