490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-1_0_0:H-0:H-0:H-0     C-1_0_0_0:N[6]-1_1:S[6]-1_1     C(C[6]N[6]S[6])(H)3    C[6](N[6]C[6,6a])(S[6]C[6])(CH3)     C(C[6]N[6]S[6])(H)3    C[6](N[6]C[6,6a])(S[6]C[6])(CH3){3|C<3>}   1.5042    0.0000    1     1.5042     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-1_1_0:F-0:F-0:F-0     C-1_0_0_0:N[6]-1_0:N[6]-1_1     C(C[6]N[6]2)(F)3    C[6](N[6]C[6,6a])(N[6]N[6])(CF3)     C(C[6]N[6]2)(F)3    C[6](N[6]C[6,6a])(N[6]N[6])(CF3){3|C<3>}   1.5195    0.0000    1     1.5195     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-1_1_0:F-0:F-0:F-0     C-1_0_0_0:N[6]-1_0:N[6]-1_1     C(C[6]N[6]2)(F)3    C[6](N[6]C[6])(N[6]S[6])(CF3)     C(C[6]N[6]2)(F)3    C[6](N[6]C[6])(N[6]S[6])(CF3){1|C<3>,1|N<2>}   1.5240    0.0066    8     1.5240     0.0066    8
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-1_1_0:F-0:F-0:F-0     C-1_0_0_0:N[6]-1_0:N[6]-1_1     C(C[6]N[6]2)(F)3    C[6](N[6]C[6])2(CF3)     C(C[6]N[6]2)(F)3    C[6](N[6]C[6])2(CF3){1|F<1>,1|N<2>,2|C<4>}   1.4584    0.0000    1     1.4584     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:N[6]-1_0:N[6]-1_1     C(C[6]N[6]2)(H)3    C[6](N[6]C[6,6])(N[6]S[6])(CH3)     C(C[6]N[6]2)(H)3    C[6](N[6]C[6,6])(N[6]S[6])(CH3){2|C<3>,2|O<1>}   1.5030    0.0000    1     1.5030     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-1_1_0:H-0:H-0:H-0     C-1_0_0_0:N[6]-1_0:N[6]-1_1     C(C[6]N[6]2)(H)3    C[6](N[6]N[6])2(CH3)     C(C[6]N[6]2)(H)3    C[6](N[6]N[6])2(CH3){1|Cu<5>,1|C<3>}   1.4824    0.0040    5     1.4824     0.0040    5
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-2_2_0:F-0:F-0:F-0     C-1_0_0_0:C[6]-2_1:C[6]-2_1     C(C[6]C[6]2)(F)3    C[6](C[6]C[6])2(CF3)     C(C[6]C[6]2)(F)3    C[6](C[6]C[6])2(CF3){1|C<3>}   1.4995    0.0058    2     1.4995     0.0058    2
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-2_2_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-1_1:C[6]-1_1     C(C[6]C[6]2)(H)3    C[6](C[6]C[6])2(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6])2(CH3){1|C<3>,2|C<4>}   1.5174    0.0084    3     1.5174     0.0084    3
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    C[6]-2_2_0:H-0:H-0:H-0     C-1_0_0_0:C[6]-2_1:C[6]-2_1     C(C[6]C[6]2)(H)3    C[6](C[6]C[6])2(CH3)     C(C[6]C[6]2)(H)3    C[6](C[6]C[6])2(CH3){1|C<2>}   1.5530    0.0000    1     1.5530     0.0000    1
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    Cl-0:Cl-0:Cl-0:C[6]-1_0_0     C-1_0_0_0:N[6]-1_0:O[6]-1_0     C(C[6]N[6]O[6])(Cl)3    C[6](N[6]C[6])(O[6]C[6])(CCl3)     C(C[6]N[6]O[6])(Cl)3    C[6](N[6]C[6])(O[6]C[6])(CCl3){1|C<3>,2|C<4>,2|H<1>}   1.5214    0.0012    2     1.5232     0.0031    3
490    762     SP2_SP3    N    3:1:1:1:    2:2:4:    Cl-0:Cl-0:Cl-0:C[6]-1_0_0     C-1_0_0_0:N[6]-1_0:O[6]-1_0     C(C[6]N[6]O[6])(Cl)3    C[6](N[6]C[6])(O[6]C[6])(CCl3)     C(C[6]N[6]O[6])(Cl)3    C[6](N[6]C[6])(O[6]C[6])(CCl3){1|C<4>,2|C<3>,2|H<1>}   1.5266    0.0000    1     1.5232     0.0031    3
