490    610     4:4:1:1:    3:3:3:4:    B-4:C-4:H-1:H-1:     N[5]-3:C[6a]-3:C[6a]-3:C-4:     N    C(BC[6a]2N[5])(CCHH)(H)2    B(N[5]C[5,6a]C[5])(C[6a]C[6a]2)2(CCHH)     C(BC[6a]2N[5])(CCHH)(H)2    B(N[5]C[5,6a]C[5])(C[6a]C[6a]2)2(CCHH)   1.6232    0.0018    2     1.6232     0.0018    2
490    610     4:4:1:1:    3:3:3:4:    C[5]-4:B-4:H-1:H-1:     C[6a]-3:C[6a]-3:C[6a]-3:C-4:     N    C(C[5]C[5,5]N[5]H)(BC[6a]3)(H)2    B(C[6a]C[6a]2)3(CC[5]HH)     C(C[5]C[5,5]N[5]H)(BC[6a]3)(H)2    B(C[6a]C[6a]2)3(CC[5]HH)   1.6609    0.0000    1     1.6609     0.0000    1
490    610     4:4:1:1:    3:3:3:4:    P-4:B-4:H-1:H-1:     C[6a]-3:C[6a]-3:C[6a]-3:C-4:     N    C(PC[6a]2C)(BC[6a]3)(H)2    B(C[6a]C[6a]2)3(CHHP)     C(PC[6a]2C)(BC[6a]3)(H)2    B(C[6a]C[6a]2)3(CHHP)   1.6728    0.0000    1     1.6728     0.0000    1
490    610     4:4:1:1:    3:3:4:1:    B-4:C-4:H-1:H-1:     C[6a]-3:N[6]-3:C-4:H-1:     N    C(BC[6a]N[6]H)(CCHP)(H)2    B(C[6a]C[6a]2)(N[6]C[6]2)(CCHH)(H)     C(BC[6a]N[6]H)(CCHP)(H)2    B(C[6a]C[6a]2)(N[6]C[6]2)(CCHH)(H)   1.6157    0.0000    1     1.6157     0.0000    1
490    610     4:4:1:1:    3:3:4:2:    B-4:C-4:H-1:H-1:     C[6a]-3:C[6a]-3:C-4:O-2:     N    C(BC[6a]2O)(CCHH)(H)2    B(C[6a]C[6a]2)2(CCHH)(OP)     C(BC[6a]2O)(CCHH)(H)2    B(C[6a]C[6a]2)2(CCHH)(OP)   1.6243    0.0000    1     1.6243     0.0000    1
490    610     4:4:1:1:    3:3:4:2:    B-4:C-4:H-1:H-1:     C[6a]-3:C[6a]-3:C-4:O-2:     N    C(BC[6a]2O)(CCHP)(H)2    B(C[6a]C[6a]2)2(CCHH)(OC)     C(BC[6a]2O)(CCHP)(H)2    B(C[6a]C[6a]2)2(CCHH)(OC)   1.6228    0.0000    1     1.6228     0.0000    1
490    610     4:4:1:1:    3:3:4:3:    B-4:C-4:H-1:H-1:     C[6a]-3:N[6]-3:C-4:C-3:     N    C(BC[6a]N[6]C)(CHHP)(H)2    B(C[6a]C[6a]2)(N[6]C[6]2)(CCHH)(CCH)     C(BC[6a]N[6]C)(CHHP)(H)2    B(C[6a]C[6a]2)(N[6]C[6]2)(CCHH)(CCH)   1.6150    0.0000    1     1.6150     0.0000    1
490    610     4:4:1:1:    3:3:4:4:    B-4:C-4:H-1:H-1:     C[6a]-3:C[6a]-3:C-4:C-4:     N    C(BC[6a]2C)(CH3)(H)2    B(C[6a]C[6a]2)2(CCHH)2     C(BC[6a]2C)(CH3)(H)2    B(C[6a]C[6a]2)2(CCHH)2   1.6383    0.0000    1     1.6383     0.0000    1
490    610     4:4:1:1:    3:3:4:4:    B-4:C-4:H-1:H-1:     C[6a]-3:C[6a]-3:C-4:C-4:     N    C(BC[6a]2C)(CHHP)(H)2    B(C[6a]C[6a]2)2(CCHH)2     C(BC[6a]2C)(CHHP)(H)2    B(C[6a]C[6a]2)2(CCHH)2   1.6478    0.0000    1     1.6478     0.0000    1
490    610     4:4:1:1:    3:3:4:4:    B-4:C-4:H-1:H-1:     N[5]-3:N[5]-3:C-4:C-4:     N    C(BN[5]2C)(CH3)(H)2    B(N[5]C[5]N[5])2(CCHH)2     C(BN[5]2C)(CH3)(H)2    B(N[5]C[5]N[5])2(CCHH)2   1.6142    0.0000    1     1.6142     0.0000    1
490    610     4:4:1:1:    3:4:4:1:    B-4:C-4:H-1:H-1:     C[6a]-3:P-4:C-4:H-1:     N    C(BC[6a]HP)(CCHP)(H)2    B(C[6a]C[6a]2)(PC[6a]2C)(CCHH)(H)     C(BC[6a]HP)(CCHP)(H)2    B(C[6a]C[6a]2)(PC[6a]2C)(CCHH)(H)   1.6243    0.0000    1     1.6243     0.0000    1
