762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_1_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6]H)(N[6]C[6])(OC){1|Ir<6>,1|C<3>,1|O<2>}    O(C[6]C[6]N[6])(CH3)   1.3639    0.0042    5     1.3647     0.0043    6
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:N[6]-2_1:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6]H)(N[6]C[6])(OC){1|Ir<6>,1|C<3>,1|H<1>}    O(C[6]C[6]N[6])(CH3)   1.3283    0.0000    1     1.3283     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6,6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6,6]H)(N[6]C[6])(OC){1|C<3>,1|H<1>,1|N<3>}    O(C[6]C[6]N[6])(CH3)   1.3290    0.0000    1     1.3290     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6]H)(N[6]C[6])(OC){1|C<3>,2|H<1>}    O(C[6]C[6]N[6])(CH3)   1.3555    0.0025    4     1.3355     0.0110    27
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6]H)(N[6]C[6])(OC){1|C<4>,2|N<3>}    O(C[6]C[6]N[6])(CH3)   1.3285    0.0000    1     1.3355     0.0110    27
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6]H)(N[6]C[6])(OC){1|H<1>,2|C<3>}    O(C[6]C[6]N[6])(CH3)   1.3558    0.0000    1     1.3355     0.0110    27
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6]H)(N[6]C[6])(OC){1|N<3>,1|O<2>,1|S<2>}    O(C[6]C[6]N[6])(CH3)   1.3293    0.0000    1     1.3355     0.0110    27
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6]H)(N[6]C[6])(OC){1|O<2>,2|N<3>}    O(C[6]C[6]N[6])(CH3)   1.3311    0.0057    20     1.3355     0.0110    27
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:O-3_2:O[6]-2_2     C-3_2_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(O[6]C[6])(OC)    O(C[6]C[6]O[6])(CCHH)     C[6](C[6]C[6]H)(O[6]C[6])(OC){1|Cr<6>,1|C<3>,1|H<1>}    O(C[6]C[6]O[6])(CCHH)   1.2927    0.0000    1     1.2927     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_0:O-3_2:O[6]-3_2     C-3_2_0_0:C[6]-2_2_2     C[6](C[6]C[6]H)(O[6]B[6])(OC)    O(C[6]C[6]O[6])(CCHH)     C[6](C[6]C[6]H)(O[6]B[6])(OC){1|C<3>,1|O<2>,2|F<1>}    O(C[6]C[6]O[6])(CCHH)   1.3065    0.0000    1     1.3065     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_1:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]C[6]2)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]C[6]2)(N[6]C[6])(OC){1|Ir<6>,1|N<3>,1|O<2>,2|C<3>}    O(C[6]C[6]N[6])(CH3)   1.3620    0.0042    5     1.3620     0.0042    5
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-2_2_1:N[6]-2_2:O-3_2     C-3_3_3_2:C[6]-2_2_2     C[6](C[6]C[6]2)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CC3)     C[6](C[6]C[6]2)(N[6]C[6])(OC){1|Ir<6>,1|F<1>,1|N<3>,2|C<3>}    O(C[6]C[6]N[6])(CC3)   1.3417    0.0000    1     1.3417     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-3_2_0:N[6]-2_2:O-3_2     C-2_0_0_0:C[6]-2_2_2     C[6](C[6]N[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CH3)     C[6](C[6]N[6]H)(N[6]C[6])(OC){1|Cu<4>,1|C<3>,1|H<1>}    O(C[6]C[6]N[6])(CH3)   1.3342    0.0095    2     1.3342     0.0095    2
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-3_2_0:N[6]-2_2:O-3_2     C-2_2_0_0:C[6]-2_2_2     C[6](C[6]N[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CC[6a]HH)     C[6](C[6]N[6]H)(N[6]C[6])(OC){1|Mn<6>,1|C<3>,1|H<1>}    O(C[6]C[6]N[6])(CC[6a]HH)   1.3479    0.0000    1     1.3479     0.0000    1
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-3_2_0:N[6]-2_2:O-3_2     C-3_2_0_0:C[6]-2_2_2     C[6](C[6]N[6]H)(N[6]C[6])(OC)    O(C[6]C[6]N[6])(CCHH)     C[6](C[6]N[6]H)(N[6]C[6])(OC){1|Cu<4>,1|C<3>,1|H<1>}    O(C[6]C[6]N[6])(CCHH)   1.3435    0.0035    2     1.3435     0.0035    2
762    960     SP2_SP2    N:O    3:2:2:    3:4:    C[6]-3_2_2:C[6]-3_2:O-3_2     C-2_0_0_0:C[6]-2_2_1     C[6](C[6]C[6]O)(C[6]C[6])(OC)    O(C[6]C[6]2)(CH3)     C[6](C[6]C[6]O)(C[6]C[6])(OC){2|C<3>,2|H<1>}    O(C[6]C[6]2)(CH3)   1.3643    0.0000    1     1.3643     0.0000    1
