466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30412_1  451_22632_4  1.5109  0.0000  1  1.5109  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_4  451_13293_1  1.5035  0.0000  1  1.5035  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_5  451_18214_1  1.5021  0.0038  3  1.5021  0.0038  3  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_3  451_18967_1  1.4996  0.0000  1  1.4996  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_2  451_21132_1  1.5081  0.0000  1  1.5081  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_4  451_22632_2  1.5053  0.0102  11  1.5030  0.0079  24  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_4  451_22632_5  1.5055  0.0034  2  1.5030  0.0079  24  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_13  451_22632_2  1.5022  0.0000  1  1.5030  0.0079  24  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_1  451_22632_2  1.4985  0.0039  8  1.5030  0.0079  24  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_16  451_22632_6  1.5103  0.0000  1  1.5030  0.0079  24  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_0:C[6]-3_3_2_0  449_30416_16  451_22632_2  1.5022  0.0000  1  1.5030  0.0079  24  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_1:C[6]-3_3_2_0  449_30416_7  451_15690_1  1.5096  0.0031  2  1.5096  0.0031  2  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_12  451_11460_1  1.5151  0.0016  2  1.5151  0.0016  2  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_14  451_12171_1  1.5168  0.0043  2  1.5168  0.0043  2  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_12  451_15690_2  1.5076  0.0000  1  1.5076  0.0000  1  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_12  451_17615_1  1.5053  0.0024  2  1.5053  0.0024  2  
466  643  SP2_SP3  N  3:2:2:1:  3:3:4:  C[6a]-3_2_2:H-3:O[6]-3_3:O[6]-3_3  C[6a]-2_2_0:C[6a]-2_2_2:C[6]-3_3_2_0  449_30416_8  451_19467_1  1.4975  0.0000  1  1.5012  0.0053  2  
