941    992     SP2_SP3    N    3:4:    2:2:2:2:    C[6a]-2_2_2:P-3_3_3_2     N-3_2:O-3_3:O-3_3:O-3_3     N(C[6a]C[6a]2)(PO3)    P(NC[6a])(OC)3     N(C[6a]C[6a]2)(PO3)    P(NC[6a])(OC)3   1.5385    0.0000    1     1.5385     0.0000    1
941    992     SP2_SP3    N    3:4:    2:2:2:3:    C[6a]-2_2_2:P-2_2_2_2     N-3_2:N-3_3_3:O-3_2:O-3_2     N(C[6a]C[6a]2)(PNOO)    P(NC[6a])(OC[6a])2(NCC)     N(C[6a]C[6a]2)(PNOO)    P(NC[6a])(OC[6a])2(NCC)   1.4811    0.0000    1     1.4811     0.0000    1
941    992     SP2_SP3    N    3:4:    2:2:3:2:    C[5]-2_2_2:P-3_2_2_2     N-3_2:N-3_2:N-3_3_0:N-3_3     N(C[5]N[5]2)(PN3)    P(NC[5])2(NCH)(NC)     N(C[5]N[5]2)(PN3)    P(NC[5])2(NCH)(NC)   1.5960    0.0078    2     1.5960     0.0078    2
941    992     SP2_SP3    N    3:4:    2:2:3:3:    C[5]-2_2_2:P-2_2_2_2     N-3_2:N-3_2:N-3_3_0:N-3_3_0     N(C[5]N[5]2)(PN3)    P(NC[5])2(NCH)2     N(C[5]N[5]2)(PN3)    P(NC[5])2(NCH)2   1.5873    0.0069    6     1.5873     0.0069    6
941    992     SP2_SP3    N    3:4:    2:2:4:3:    C[5]-2_2_2:P-3_2_2_2     C-3_2_2:C-3_3_3_0:N-3_2:N-3_2     N(C[5]N[5]2)(PCCN)    P(NC[5])2(CCCH)(COO)     N(C[5]N[5]2)(PCCN)    P(NC[5])2(CCCH)(COO)   1.6104    0.0029    2     1.6104     0.0029    2
941    992     SP2_SP3    N    3:4:    2:3:3:2:    C[6a]-2_2_2:P-3_2_2_2     N-3_2:N-3_3_3:N-3_3_3:N-3_3     N(C[6a]C[6a]2)(PN3)    P(NC[6a])(NCC)2(NP)     N(C[6a]C[6a]2)(PN3)    P(NC[6a])(NCC)2(NP)   1.5563    0.0104    4     1.5563     0.0104    4
941    992     SP2_SP3    N    3:4:    2:3:3:3:    C[6a]-2_2_2:P-3_2_2_2     N-3_2:N-3_3_3:N-3_3_3:N-3_3_3     N(C[6a]N[6a]2)(PN3)    P(NC[6a])(NCC)3     N(C[6a]N[6a]2)(PN3)    P(NC[6a])(NCC)3   1.5673    0.0072    3     1.5673     0.0072    3
941    992     SP2_SP3    N    3:4:    2:3:3:3:    C[6a]-2_2_2:P-3_3_3_2     N-3_2:N-3_3_3:N-3_3_3:N-3_3_3     N(C[6a]C[6a,6a]C[6a])(PN3)    P(NC[6a])(NCC)3     N(C[6a]C[6a,6a]C[6a])(PN3)    P(NC[6a])(NCC)3   1.5553    0.0000    1     1.5553     0.0000    1
941    992     SP2_SP3    N    3:4:    2:4:4:2:    C[6]-2_2_2:P-3_3_3_2     C-3_3_3_0:C-3_3_3_0:N-3_2:S-3_0     N(C[6]C[6]N[6])(PCCS)    P(NC[6])(CCCH)2(SFe)     N(C[6]C[6]N[6])(PCCS)    P(NC[6])(CCCH)2(SFe)   1.6822    0.0000    1     1.6822     0.0000    1
941    992     SP2_SP3    N    3:4:    2:4:4:3:    C[6a]-2_2_2:P-3_3_2_2     C-3_3_3_3:C-3_3_3_3:N-3_2:N-3_3_2     N(C[6a]C[6a]2)(PCCN)    P(NC[6a])(CC3)2(NCN)     N(C[6a]C[6a]2)(PCCN)    P(NC[6a])(CC3)2(NCN)   1.5383    0.0023    2     1.5383     0.0023    2
941    992     SP2_SP3    N    3:4:    2:4:4:4:    C[5]-2_2_2:P-3_3_3_2     C-3_3_3_0:C-3_3_3_0:N-3_2:S-3_2_2_2     N(C[5]N[5]2)(PCCS)    P(NC[5])(CCCH)2(SO3)     N(C[5]N[5]2)(PCCS)    P(NC[5])(CCCH)2(SO3)   1.5801    0.0000    1     1.5801     0.0000    1
941    992     SP2_SP3    N    3:4:    2:4:4:4:    C[6a]-2_2_2:P-3_3_3_2     C-3_3_0_0:C-3_3_3_3:C-3_3_3_3:N-3_2     N(C[6a]C[6a]2)(PC3)    P(NC[6a])(CHHN)(CC3)2     N(C[6a]C[6a]2)(PC3)    P(NC[6a])(CHHN)(CC3)2   1.5748    0.0020    2     1.5748     0.0020    2
