643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C-3_1_0:C[6a]-3_1_1     C[6a](C[6a]C[6a]C)2(PC)    P(C[6a]C[6a]2)(CC[6a]H)     C[6a](C[6a]C[6a]C)2(PC){1|C<3>,2|H<1>}    P(C[6a]C[6a]2)(CC[6a]H)   1.8534    0.0032    4     1.8534     0.0032    4
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C-3_1_0:C[6a]-3_1_1     C[6a](C[6a]C[6a]C)2(PC)    P(C[6a]C[6a]2)(CC[6a]N)     C[6a](C[6a]C[6a]C)2(PC){1|C<3>,2|H<1>}    P(C[6a]C[6a]2)(CC[6a]N)   1.8467    0.0000    1     1.8467     0.0000    1
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C-3_1_0:C[6a]-3_1_1     C[6a](C[6a]C[6a]C)2(PC)    P(C[6a]C[6a]2)(CC[6a]O)     C[6a](C[6a]C[6a]C)2(PC){1|C<3>,2|C<4>}    P(C[6a]C[6a]2)(CC[6a]O)   1.8430    0.0000    1     1.8452     0.0031    2
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C-3_1_0:C[6a]-3_1_1     C[6a](C[6a]C[6a]C)2(PC)    P(C[6a]C[6a]2)(CC[6a]O)     C[6a](C[6a]C[6a]C)2(PC){1|C<3>,2|H<1>}    P(C[6a]C[6a]2)(CC[6a]O)   1.8474    0.0000    1     1.8452     0.0031    2
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C-3_1_0:C[6a]-3_1_1     C[6a](C[6a]C[6a]C)2(PC)    P(C[6a]C[6a]2)(CClP)     C[6a](C[6a]C[6a]C)2(PC){1|C<3>,2|H<1>}    P(C[6a]C[6a]2)(CClP)   1.8516    0.0000    1     1.8516     0.0000    1
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C-3_1_1:C[6a]-3_1_1     C[6a](C[6a]C[6a]C)2(PC)    P(C[6a]C[6a]2)(CC[6a]2)     C[6a](C[6a]C[6a]C)2(PC){1|C<3>,2|H<1>}    P(C[6a]C[6a]2)(CC[6a]2)   1.8291    0.0017    3     1.8291     0.0017    3
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C[3]-3_1_1:C[6a]-3_1_1     C[6a](C[6a]C[6a]C)2(PC[3])    P(C[6a]C[6a]2)(C[3]C[3]2)     C[6a](C[6a]C[6a]C)2(PC[3]){1|C<3>,2|H<1>}    P(C[6a]C[6a]2)(C[3]C[3]2)   1.8725    0.0000    1     1.8725     0.0000    1
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C[5]-3_0_0:C[6a]-3_1_1     C[6a](C[6a]C[6a]H)2(PC[5])    P(C[6a]C[6a]2)(C[5]N[5]2)     C[6a](C[6a]C[6a]H)2(PC[5]){1|C<3>,2|H<1>}    P(C[6a]C[6a]2)(C[5]N[5]2)   1.8287    0.0000    1     1.8287     0.0000    1
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C[5]-3_1_0:C[6a]-3_1_1     C[6a](C[6a]C[6a]C)2(PC[5])    P(C[5]C[5]S[5])(C[6a]C[6a]2)     C[6a](C[6a]C[6a]C)2(PC[5]){1|C<3>,2|H<1>}    P(C[5]C[5]S[5])(C[6a]C[6a]2)   1.8512    0.0000    1     1.8512     0.0000    1
643    730     SP-NON_SP2    N    3:3:2:    3:3:    C[6a]-1_1_0:C[6a]-1_1_0:P-1_1     C[6a]-3_1_1:C[6]-3_0_0     C[6a](C[6a]C[6a]H)2(PC[6])    P(C[6a]C[6a]2)(C[6]N[6]2)     C[6a](C[6a]C[6a]H)2(PC[6]){1|C<3>,2|H<1>}    P(C[6a]C[6a]2)(C[6]N[6]2)   1.8423    0.0000    1     1.8423     0.0000    1
