490    996     3:3:4:2:    4:1:    N[5]-3:C[6a]-3:C-4:C-2:     C-4:N-1:     N    C(N[5]C[5,6a]C[5])(C[6a]C[6a]2)(CCHH)(CN)    C(CC[6a]N[5]C)(N)     C(N[5]C[5,6a]C[5])(C[6a]C[6a]2)(CCHH)(CN)    C(CC[6a]N[5]C)(N)   1.5026    0.0000    1     1.5026     0.0000    1
490    996     3:4:2:1:    4:1:    C[6a]-3:C-4:C-2:H-1:     C-4:N-1:     N    C(C[6a]C[6a]2)(CCHO)(CN)(H)    C(CC[6a]CH)(N)     C(C[6a]C[6a]2)(CCHO)(CN)(H)    C(CC[6a]CH)(N)   1.4667    0.0000    1     1.4667     0.0000    1
490    996     3:4:2:2:    4:2:    C[6a]-3:C-4:C-2:O-2:     C-4:C-2:     N    C(C[6a]C[6a]N[6a])(CCHH)(CC)(OH)    C(CC[6a]CO)(CC[6a])     C(C[6a]C[6a]N[6a])(CCHH)(CC)(OH)    C(CC[6a]CO)(CC[6a])   1.4808    0.0000    1     1.4808     0.0000    1
490    996     3:4:3:2:    4:1:    C[6a]-3:C-4:N-3:C-2:     C-4:N-1:     N    C(C[6a]C[6a]2)(CCHH)(NCH)(CN)    C(CC[6a]CN)(N)     C(C[6a]C[6a]2)(CCHH)(NCH)(CN)    C(CC[6a]CN)(N)   1.5107    0.0000    1     1.5107     0.0000    1
490    996     4:2:1:1:    2:4:    C-4:C-2:H-1:H-1:     C-2:C-4:     N    C(CCHH)(CC)(H)2    C(CC[6])(CCHH)     C(CCHH)(CC)(H)2    C(CC[6])(CCHH)   1.4699    0.0000    1     1.4699     0.0000    1
490    996     4:2:1:1:    4:1:    C-4:C-2:H-1:H-1:     C-4:N-1:     N    C(CCHH)(CN)(H)2    C(CCHH)(N)     C(CCHH)(CN)(H)2    C(CCHH)(N)   1.4770    0.0000    1     1.4770     0.0000    1
490    996     4:2:1:1:    4:1:    N[3x6]-4:C-2:H-1:H-1:     C-4:N-1:     N    C(N[3x6]C[6,6]3)(CN)(H)2    C(CN[3x6]HH)(N)     C(N[3x6]C[6,6]3)(CN)(H)2    C(CN[3x6]HH)(N)   1.4605    0.0000    1     1.4605     0.0000    1
490    996     4:2:2:1:    4:1:    C[5,5]-4:C-2:O-2:H-1:     C-4:N-1:     N    C(C[5,5]C[5,5]O[5]2)(CN)(OS)(H)    C(CC[5,5]HO)(N)     C(C[5,5]C[5,5]O[5]2)(CN)(OS)(H)    C(CC[5,5]HO)(N)   1.4824    0.0000    1     1.4824     0.0000    1
490    996     4:2:2:1:    4:2:    C-4:C-2:O-2:H-1:     C-4:C-2:     N    C(CC[6a]CO)(CC)(OH)(H)    C(CCHO)(CH)     C(CC[6a]CO)(CC)(OH)(H)    C(CCHO)(CH)   1.4698    0.0000    1     1.4698     0.0000    1
490    996     4:3:2:1:    3:4:    C-4:N-3:C-2:H-1:     N-3:C-4:     N    C(CCCH)(NCC)(CN)(H)    C(NC[6]H)(CCHN)     C(CCCH)(NCC)(CN)(H)    C(NC[6]H)(CCHN)   1.5446    0.0000    1     1.5446     0.0000    1
490    996     4:4:2:2:    2:4:    C-4:C-4:C-2:O-2:     C-2:C-4:     N    C(CCHH)(CCHN)(CC)(OH)    C(CC[6a])(CCCO)     C(CCHH)(CCHN)(CC)(OH)    C(CC[6a])(CCCO)   1.4854    0.0000    1     1.4854     0.0000    1
490    996     4:4:2:2:    4:1:    C-4:C-4:C-2:O-2:     C-4:N-1:     N    C(CC[6a]CH)(CH3)(CN)(OC)    C(CCCO)(N)     C(CC[6a]CH)(CH3)(CN)(OC)    C(CCCO)(N)   1.4900    0.0000    1     1.4900     0.0000    1
490    996     4:4:2:2:    4:1:    C[6]-4:C[6]-4:C-2:O-2:     C-4:N-1:     N    C(C[6]C[6]2H)2(CN)(OH)    C(CC[6]2O)(N)     C(C[6]C[6]2H)2(CN)(OH)    C(CC[6]2O)(N)   1.4972    0.0000    1     1.4972     0.0000    1
490    996     4:4:2:2:    4:2:    C-4:C-4:C-2:O-2:     C-4:C-2:     N    C(CH3)2(CC)(OH)    C(CCCO)(CC)     C(CH3)2(CC)(OH)    C(CCCO)(CC)   1.4785    0.0000    1     1.4785     0.0000    1
