490    963     SP3_SP3    N    3:1:1:1:    4:4:1:    S-3:H-1:H-1:H-1:     C[6]-4:C-4:O-1:     C(SC[6]O)(H)3    S(C[6]C[6]2C)(CH3)(O)     C(SC[6]O)(H)3    S(C[6]C[6]2C)(CH3)(O)   1.7947    0.0018    2     1.7947     0.0018    2
490    963     SP3_SP3    N    3:1:1:1:    4:4:3:    S-3:H-1:H-1:H-1:     C-4:C-4:C-3:     C(SCC)(H)3    S(CH3)2(CCN)     C(SCC)(H)3    S(CH3)2(CCN)   1.7909    0.0042    2     1.7909     0.0042    2
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     B-4:C-4:C-4:     C(SBC)(H)3    S(BC[6a]3)(CH3)2     C(SBC)(H)3    S(BC[6a]3)(CH3)2   1.8022    0.0095    4     1.8022     0.0095    4
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     B-4:C-4:C-4:     C(SBC)(H)3    S(BC[6a]HH)(CH3)2     C(SBC)(H)3    S(BC[6a]HH)(CH3)2   1.7896    0.0033    2     1.7896     0.0033    2
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     B-4:C-4:C-4:     C(SBC)(H)3    S(BHHP)(CH3)2     C(SBC)(H)3    S(BHHP)(CH3)2   1.7879    0.0060    4     1.7879     0.0060    4
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     B[6]-4:C-4:C-4:     C(SB[6]C)(H)3    S(B[6]C[6,6a]2H)(CH3)2     C(SB[6]C)(H)3    S(B[6]C[6,6a]2H)(CH3)2   1.7985    0.0022    4     1.7985     0.0022    4
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     C-4:C-4:C-4:     C(SCC)(H)3    S(CB[6,6]HH)(CH3)2     C(SCC)(H)3    S(CB[6,6]HH)(CH3)2   1.7895    0.0001    2     1.7895     0.0001    2
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     C-4:C-4:C-4:     C(SCC)(H)3    S(CCHH)(CH3)2     C(SCC)(H)3    S(CCHH)(CH3)2   1.7909    0.0183    12     1.7909     0.0183    12
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     C-4:C-4:C-4:     C(SCC)(H)3    S(CCHH)2(CH3)     C(SCC)(H)3    S(CCHH)2(CH3)   1.7463    0.0000    1     1.7463     0.0000    1
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     C-4:C-4:C-4:     C(SCC)(H)3    S(CH3)3     C(SCC)(H)3    S(CH3)3   1.7786    0.0062    20     1.7786     0.0062    20
490    963     SP3_SP3    N    3:1:1:1:    4:4:4:    S-3:H-1:H-1:H-1:     C[5,6]-4:C-4:C-4:     C(SC[5,6]C)(H)3    S(C[5,6]C[5,5,6]C[5,6]H)(CCHH)(CH3)     C(SC[5,6]C)(H)3    S(C[5,6]C[5,5,6]C[5,6]H)(CCHH)(CH3)   1.7831    0.0147    2     1.7831     0.0147    2
490    963     SP3_SP3    N    3:1:1:1:    4:6:4:    S-3:H-1:H-1:H-1:     C-4:Nb-6:C-4:     C(SNbC)(H)3    S(CC[6a]HH)(NbCl5)(CH3)     C(SNbC)(H)3    S(CC[6a]HH)(NbCl5)(CH3)   1.8113    0.0008    2     1.8113     0.0008    2
490    963     SP3_SP3    N    3:1:1:1:    5:4:4:    S-3:H-1:H-1:H-1:     B[3x3,3x5,12x6]-5:C-4:C-4:     C(SB[3x3,3x5,12x6]C)(H)3    S(B[3x3,3x5,12x6]B[4x3,3x5,12x6]B[5x3,3x5,11x6]2C[3x3,3x5,12x6])(CH3)2     C(SB[3x3,3x5,12x6]C)(H)3    S(B[3x3,3x5,12x6]B[4x3,3x5,12x6]B[5x3,3x5,11x6]2C[3x3,3x5,12x6])(CH3)2   1.7923    0.0016    3     1.7923     0.0016    3
