643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[5a,6]C[6a])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[5a,6])(O)2     C[6,6a](C[6,6a]C[5a,6]C[6a])(C[6a]C[6a]H)(S[6]N[6]OO){2|H<1>,3|C<3>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[5a,6])(O)2{1|H<1>,4|C<3>}   1.7679    0.0000    1     1.7679     0.0000    1
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]C[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|O<2>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,4|C<3>}   1.7482    0.0000    1     1.7482     0.0000    1
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|Cl<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,1|N<2>,1|N<3>,2|C<3>}   1.7482    0.0034    3     1.7441     0.0092    17
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|Cl<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,1|N<3>,1|O<2>,2|C<3>}   1.7515    0.0000    1     1.7441     0.0092    17
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|Cl<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,1|N<3>,1|S<2>,2|C<3>}   1.7444    0.0000    1     1.7441     0.0092    17
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|H<1>,1|S<4>,2|C<3>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<4>,1|H<1>,1|N<2>,2|C<3>}   1.7523    0.0000    1     1.7441     0.0092    17
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|H<1>,1|S<4>,2|C<3>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|N<2>,2|C<3>,2|H<1>}   1.7491    0.0000    1     1.7441     0.0092    17
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|I<1>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|H<1>,2|C<3>,2|N<3>}   1.7367    0.0000    1     1.7441     0.0092    17
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|S<4>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|C<4>,1|H<1>,1|N<3>,2|C<3>}   1.7341    0.0207    2     1.7441     0.0092    17
643    961     SP2_SP3    Y    3:3:4:    3:2:1:1:    C[6,6a]-2_2_2:C[6a]-2_2_0:S[6]-2_2_2_2     C[6,6a]-3_2_2:N[6]-3_2:O-3:O-3     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO)    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2     C[6,6a](C[6,6a]C[6a]N[6])(C[6a]C[6a]H)(S[6]N[6]OO){1|S<4>,2|C<3>,2|H<1>}    S[6](C[6,6a]C[6,6a]C[6a])(N[6]C[6])(O)2{1|N<3>,2|C<3>,2|H<1>}   1.7444    0.0089    6     1.7441     0.0092    17
