490    678     SP3_SP3    N:O    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:P[5]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:P[5]-3_2_2:P[5]-3_2_2     C(P[5]P[5]2C)(H)3    P[5](P[5]C[6a]P[5])2(CH3)2     C(P[5]P[5]2C)(H)3    P[5](P[5]C[6a]P[5])2(CH3)2{6|C<3>}   1.7933    0.0049    2     1.7933     0.0049    2
490    678     SP3_SP3    N:O    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:P[5]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:P[5]-3_3_2:P[5]-3_3_2     C(P[5]P[5]2C)(H)3    P[5](P[5]C[6]P[5])2(CH3)2     C(P[5]P[5]2C)(H)3    P[5](P[5]C[6]P[5])2(CH3)2{2|H<1>,6|C<4>}   1.7995    0.0041    4     1.7995     0.0041    4
490    678     SP3_SP3    N:O    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:P[5]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:P[5]-3_3_2:P[5]-3_3_3     C(P[5]P[5]2C)(H)3    P[5](P[5]C[6]P[5])2(CH3)2     C(P[5]P[5]2C)(H)3    P[5](P[5]C[6]P[5])2(CH3)2{2|H<1>,7|C<4>}   1.8213    0.0030    2     1.8213     0.0030    2
490    678     SP3_SP3    N:O    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:P[5]-3_3_2_2     C-3_0_0_0:C-3_0_0_0:P[5]-3_3_2:P[5]-3_3_3     C(P[5]P[5]2C)(H)3    P[5](P[5]P[5]C)2(CH3)2     C(P[5]P[5]2C)(H)3    P[5](P[5]P[5]C)2(CH3)2{1|C<4>,2|C<3>}   1.7999    0.0076    2     1.7999     0.0076    2
490    678     SP3_SP3    N:O    4:1:1:1:    3:3:4:4:    H-3:H-3:H-3:P[5]-3_3_2_2     C-3_0_0_0:C[6]-3_3_3_0:P[5]-3_3_2:P[5]-3_3_3     C(P[5]C[6]P[5]2)(H)3    P[5](P[5]C[6]P[5])2(C[6]C[6]2H)(CH3)     C(P[5]C[6]P[5]2)(H)3    P[5](P[5]C[6]P[5])2(C[6]C[6]2H)(CH3){6|H<1>,9|C<4>}   1.8245    0.0000    1     1.8245     0.0000    1
490    678     SP3_SP3    N:O    4:1:1:1:    3:4:4:4:    H-3:H-3:H-3:P[5]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:C[5,6a]-3_2_2:C[5]-3_3_0_0     C(P[5]C[5,6a]C[5]C)(H)3    P[5](C[5,6a]C[5,6a]C[6a])(C[5]P[5]HH)(CH3)2     C(P[5]C[5,6a]C[5]C)(H)3    P[5](C[5,6a]C[5,6a]C[6a])(C[5]P[5]HH)(CH3)2{1|H<1>,2|C<3>,2|C<4>}   1.7786    0.0025    4     1.7786     0.0025    4
490    678     SP3_SP3    N:O    4:1:1:1:    3:4:4:4:    H-3:H-3:H-3:P[5]-3_3_3_2     C-3_0_0_0:C-3_0_0_0:C[5]-3_3_0_0:P[5]-3_3_3     C(P[5]C[5]P[5]C)(H)3    P[5](P[5]C[6]P[5])(C[5]C[5]HH)(CH3)2     C(P[5]C[5]P[5]C)(H)3    P[5](P[5]C[6]P[5])(C[5]C[5]HH)(CH3)2{3|H<1>,4|C<4>}   1.7890    0.0057    4     1.7890     0.0057    4
490    678     SP3_SP3    N:O    4:1:1:1:    4:3:4:1:    Cl-3:H-3:H-3:P[5]-3_3_2_2     C-3_0_0_0:C[5]-3_2_0_0:C[5]-3_2_2:O-3     C(P[5]C[5]2O)(Cl)(H)2    P[5](C[5]O[5]HH)(C[5]C[5]C)(CClHH)(O)     C(P[5]C[5]2O)(Cl)(H)2    P[5](C[5]O[5]HH)(C[5]C[5]C)(CClHH)(O){1|O<2>}   1.8101    0.0000    1     1.8101     0.0000    1
490    678     SP3_SP3    N:O    4:1:1:1:    4:4:3:4:    H-3:H-3:H-3:P[5,5]-3_3_3_2     C-3_0_0_0:C[5,5,6]-3_3_2_0:C[5,5,6]-3_3_2_0:C[6a]-3_2_2     C(P[5,5]C[5,5,6]2C[6a])(H)3    P[5,5](C[5,5,6]C[5,5,6]C[5,6]H)2(C[6a]C[6a]2)(CH3)     C(P[5,5]C[5,5,6]2C[6a])(H)3    P[5,5](C[5,5,6]C[5,5,6]C[5,6]H)2(C[6a]C[6a]2)(CH3){2|C<4>,4|C<3>,4|H<1>}   1.7810    0.0000    1     1.7810     0.0000    1
490    678     SP3_SP3    N:O    4:1:1:1:    7:4:4:4:    H-3:H-3:H-3:P[5]-3_3_3_0     C-3_0_0_0:C-3_0_0_0:C[5]-3_3_0_0:Nb[5]-3_3_3_2_0_0_0     C(P[5]Nb[5]C[5]C)(H)3    P[5](Nb[5]P[5]Cl3OP)(C[5]C[5]HH)(CH3)2     C(P[5]Nb[5]C[5]C)(H)3    P[5](Nb[5]P[5]Cl3OP)(C[5]C[5]HH)(CH3)2{2|C<4>,2|H<1>}   1.8243    0.0077    2     1.8243     0.0077    2
